,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
2/27/2012,-1194.0,47030.4631,6.0974,14.2463,26.3346,8.3093,-0.13023690546570277,-0.17085729195221588,0.7656074657673634,1.527750543872371,0.008976908311398635,0.048990826418957356,0.10664459086936051,0.07331862004878631,0.03378844008734225,0.030956295442922763
2/28/2012,-1194.0,47030.4631,6.0974,14.2463,26.2858,8.3093,-0.1346381129528732,-0.2014781649684778,0.7641887373898887,1.52491950688905,-0.0018530754216885548,0.083704726763002,0.11327203500019056,0.07331862004878631,0.032758903812538716,0.03093476077340314
2/29/2012,-1194.0,47030.4631,6.0974,14.2463,26.031999999999996,8.3093,-0.13717041480916803,-0.2093170481099087,0.7568101869349071,1.5101957940536619,-0.009655403297598064,0.09124597049712202,0.1879760323827515,0.07331862004878631,0.03257464076805312,0.029489725640008613
3/1/2012,-1194.0,47030.4631,6.0974,14.2463,25.622,8.3093,-0.1624142293472114,-0.20325724167464854,0.7448905427798936,1.4864104423495286,-0.015749846342962392,0.05126248328040517,0.109936666637787,0.07331862004878631,0.032621541387370404,0.028868672897573718
3/2/2012,-1194.0,47030.4631,6.0974,14.2463,25.2902,8.3093,-0.17087835711288302,-0.19135871275702898,0.7352443527051777,1.4671617113850615,-0.012949808758098591,0.025326873568344288,0.11489155351789804,0.07331862004878631,0.0327271703644472,0.028826378107025357
3/5/2012,-1194.0,47030.4631,6.0974,14.2463,25.2609,8.3093,-0.18896765618077094,-0.17079231762054292,0.7343925342326366,1.46546192893401,-0.0011585515337956265,-0.02191892205831103,0.1415962797760273,0.07331862004878631,0.03103128336482847,0.02862746353497602
3/6/2012,-1194.0,47030.4631,6.0974,14.2463,24.5581,8.3093,-0.23895925203987722,-0.1409552791989861,0.7139605198127744,1.4246903553299493,-0.02782165322692387,-0.11408483221863885,0.172963394597073,0.044279834033110976,0.0265047954548261,0.027982541608997366
3/7/2012,-1194.0,47030.4631,6.0974,14.2463,24.7826,8.3093,-0.21271343933160736,-0.10635830805152724,0.7204872517952147,1.4377142857142855,0.009141586686266301,-0.11901317075771856,0.19877329695791168,0.044279834033110976,0.026317680984166352,0.027922189773185148
3/8/2012,-1194.0,47030.4631,6.0974,14.2463,24.6752,8.3093,-0.20677905077858794,-0.09099705538196456,0.7173648864726575,1.4314836838288614,-0.004333685731117698,-0.12737251961848717,0.22362228933287698,0.044279834033110976,0.026202526855033072,0.027712704913972593
3/9/2012,-1194.0,47030.4631,6.0974,14.2463,25.0071,8.3093,-0.21603413358747514,-0.14932817525753805,0.7270139837776551,1.4507382160986222,0.01345075217222158,-0.07841561973694378,0.2670612019476801,0.044279834033110976,0.025301801255470713,0.027554881274752224
3/12/2012,-1194.0,47030.4631,6.0974,14.2463,24.4214,8.3093,-0.23463081358906868,-0.14867117964146925,0.7099863360176759,1.4167599709934733,-0.023421348337072434,-0.100971131121108,0.21455995862178723,0.044279834033110976,0.025639366803390563,0.027705596228275266
3/13/2012,-1194.0,47030.4631,6.0974,14.2463,24.6459,8.3093,-0.23368789585127658,-0.17116632516316,0.7165130680001164,1.42978390137781,0.00919275717198853,-0.07543319315594199,0.19441415507189497,0.044279834033110976,0.025602757916444965,0.027562812015318006
3/14/2012,-1194.0,47030.4631,6.0974,14.2463,25.1437,8.3093,-0.22034071740424688,-0.240616937884501,0.7309852603424717,1.458662799129804,0.0201980856856514,0.026700912216514716,0.19424812387194823,0.044279834033110976,0.018856565178342295,0.027561394920754288
3/15/2012,-1194.0,47030.4631,6.0974,14.2463,24.8119,8.3093,-0.24992442380710533,-0.2670378969261651,0.721339070267756,1.4394140681653371,-0.01319614853820228,0.02334837373895704,0.19736416675916058,0.044279834033110976,0.018967055031742692,0.027534789302098767
3/16/2012,-1194.0,47030.4631,6.0974,14.2463,24.8314,8.3093,-0.2570098351630269,-0.24240819367521527,0.7219059801726895,1.4405453226976068,0.0007859132109995226,-0.019273758461891055,0.20797618236833637,0.02570118249018516,0.016210077634081,0.027499154475537066
3/19/2012,-1194.0,47030.4631,6.0974,14.2463,24.5581,8.3093,-0.25715901838189703,-0.259521411265075,0.7139605198127744,1.4246903553299493,-0.011006225988063445,0.003190359477124094,0.14885783655577955,0.02570118249018516,0.014644952494119148,0.027154651086615824
3/20/2012,-1194.0,47030.4631,6.0974,14.2463,24.0798,8.3093,-0.2688201428363213,-0.2566681241801486,0.7000552373753525,1.3969427121102247,-0.019476262414437673,-0.016348039215686394,0.12751093338827335,0.02570118249018516,0.015265394748935332,0.027293382018930622
3/21/2012,-1194.0,47030.4631,6.0974,14.2463,24.4214,8.3093,-0.2569063883521734,-0.2524486908366169,0.7099863360176759,1.4167599709934733,0.014186164336912999,-0.005963065626284791,0.16588849741724188,0.02570118249018516,0.015585131106222018,0.02719371102352806
3/22/2012,-1194.0,47030.4631,6.0974,14.2463,24.1872,8.3093,-0.271603711366285,-0.24749970637924956,0.7031776026979097,1.403173313995649,-0.009589949798127773,-0.03203188781635691,0.1547076852567959,0.02570118249018516,0.015190725036883828,0.027236456303611944
3/23/2012,-1194.0,47030.4631,6.0974,14.2463,24.4507,8.3093,-0.24774946620968874,-0.21711882449220687,0.7108381544902173,1.4184597534445251,0.010894191969306188,-0.03912553102022687,0.17165584493375174,0.02570118249018516,0.014786362742067564,0.027243529264050114
3/26/2012,-1194.0,47030.4631,6.0974,14.2463,24.7045,8.3093,-0.24806800853454758,-0.205583980374193,0.7182167049451987,1.433183466279913,0.010380070918214912,-0.05347831250981794,0.2104234240413918,0.0201980856856514,0.013699927514733234,0.027071729477546765
