,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1493.0,22295.6574,10.6124,13.7218,37.4757,2.6462,-0.0038939774920125902,0.09138487382449711,0.8869589296576013,1.5232166808925742,-0.019189246484457745,-0.08730087213196192,0.00035235235235253626,0.021209186568990512,0.012449802515343153,0.018245500154339525
6/28/1999,1493.0,22295.6574,10.6124,13.7218,37.2313,2.6462,-0.016156352480134917,0.08933294928744506,0.8811745743978376,1.5132829329756532,-0.006521559303762303,-0.09683843845592188,0.009134202302252481,0.021209186568990512,0.012312524884222471,0.018160615989798422
6/29/1999,1493.0,22295.6574,10.6124,13.7218,37.8831,2.6462,0.01124342331809114,0.10040601250870895,0.8966010995955211,1.5397756371174245,0.017506775213328662,-0.08102699201665087,0.011227227227227132,0.021209186568990512,0.013211218080951569,0.01819076486935784
6/30/1999,1493.0,22295.6574,10.6124,13.7218,38.0053,2.6462,0.009643406486851136,0.09296722038770233,0.8994932772254028,1.5447425110758848,0.003225712784856505,-0.07623633385024486,0.014489155822489108,0.021209186568990512,0.01329821266141487,0.018194336438497865
7/1/1999,1493.0,22295.6574,10.6124,13.7218,38.4126,2.6462,0.005473320507283441,0.0545211826141585,0.9091330804058515,1.5612974027557613,0.010716926323433906,-0.0465119742642679,-0.0027312047936279837,0.021209186568990512,0.013046683309687947,0.017894942403303398
7/2/1999,1493.0,22295.6574,10.6124,13.7218,39.1051,2.6462,0.02359993194340837,0.05558653002997116,0.9255228758943385,1.589444376702028,0.01802793874926456,-0.03030220372900605,0.04611116758601863,0.021209186568990512,0.013763806520506289,0.017626135478262788
7/5/1999,1493.0,22295.6574,10.6124,13.7218,39.1051,2.6462,0.05004376849420278,0.08504513793788626,0.9255228758943385,1.589444376702028,0.0,-0.032257984686428154,0.03710274995292551,0.021209186568990512,0.01374593835825311,0.017597936075709884
7/6/1999,1493.0,22295.6574,10.6124,13.7218,40.3679,2.6462,0.06786041171771262,0.06678112087528376,0.9554102892414306,1.640771450636101,0.032292463131407434,0.0010117266056819396,0.07872395575852642,0.032292463131407434,0.015592559600944649,0.018006873562564384
7/7/1999,1493.0,22295.6574,10.6124,13.7218,39.879,2.6462,0.07082440509755261,0.07301282980768731,0.9438392119644323,1.6208998902572855,-0.012111108083402877,-0.0020395140200949458,0.058767306951985177,0.032292463131407434,0.015695784229472636,0.018073704247198858
7/8/1999,1493.0,22295.6574,10.6124,13.7218,39.6346,2.6462,0.05970049489729079,0.053166032560017396,0.9380548567046689,1.610966142340365,-0.006128538829960561,0.006204588958675039,0.03444351936191925,0.032292463131407434,0.01542327600793472,0.017975919898769704
7/9/1999,1493.0,22295.6574,10.6124,13.7218,39.5124,2.6462,0.10499159630964727,0.0674001135407083,0.9351626790747872,1.6059992683819044,-0.0030831647096223325,0.03521779911025402,0.049034262123162975,0.032292463131407434,0.013683326663648326,0.01784078540345465
7/12/1999,1493.0,22295.6574,10.6124,13.7218,39.5532,2.6462,0.1607859249585466,0.12731221294516426,0.9361283161230619,1.607657602731374,0.0010325872384364665,0.02969338185907744,0.053524293023862635,0.032292463131407434,0.01364190522532895,0.017832879266164392
7/13/1999,1493.0,22295.6574,10.6124,13.7218,39.2273,2.6462,0.16078393078020237,0.16078393078020237,0.9284150535242203,1.5944112506604884,-0.00823953561279489,0.0,0.04258881751180743,0.032292463131407434,0.013011753660480435,0.01786989570291147
7/14/1999,1493.0,22295.6574,10.6124,13.7218,39.0643,2.6462,0.12396168708046718,0.12513558849001183,0.9245572388460638,1.5877860423525587,-0.004155269416962093,-0.0010433421727600312,0.02937316862364847,0.032292463131407434,0.013026496094506663,0.01785233231372786
7/15/1999,1493.0,22295.6574,10.6124,13.7218,39.7976,2.6462,0.1903652368461195,0.18183476853776637,0.9419126713828254,1.6175913506482948,0.018771615003980502,0.0072179872647575305,0.04757542734705278,0.032292463131407434,0.013479325183172804,0.01799832143102471
7/16/1999,1493.0,22295.6574,10.6124,13.7218,39.9198,2.6462,0.1854924926351802,0.17823458139313897,0.9448048490127072,1.6225582246067554,0.003070536916798927,0.006159988305095787,0.030967931881396904,0.032292463131407434,0.013466821377692726,0.01784735401686318
7/19/1999,1493.0,22295.6574,10.6124,13.7218,39.5124,2.6462,0.15958854862140304,0.1560022891018209,0.9351626790747872,1.6059992683819044,-0.010205461951212191,0.0031022944793375196,0.02258822555098905,0.032292463131407434,0.013567304005655985,0.017896578655281825
7/20/1999,1493.0,22295.6574,10.6124,13.7218,38.9014,2.6462,0.1649567274578505,0.17837570748360432,0.9207017909253786,1.581164898589603,-0.015463500065802105,-0.011387692346789602,-0.0016142982165725517,0.032292463131407434,0.013993472596041511,0.017979222286073255
7/21/1999,1493.0,22295.6574,10.6124,13.7218,37.8423,2.6462,0.1224606020697816,0.145418628035487,0.8956354625472465,1.538117302767955,-0.0272252412509576,-0.020043349570000202,-0.02980651148958202,0.032292463131407434,0.014661308937560177,0.0183058828295929
7/22/1999,1493.0,22295.6574,10.6124,13.7218,37.8423,2.6462,0.15969330060402132,0.16219090259965108,0.8956354625472465,1.538117302767955,0.0,-0.0021490462453657155,-0.012334626998895981,0.032292463131407434,0.014129897948478142,0.018170272744932745
7/23/1999,1493.0,22295.6574,10.6124,13.7218,37.8831,2.6462,0.16811744354920766,0.17816341822151083,0.8966010995955211,1.5397756371174245,0.0010781585685859518,-0.008526809198903917,-0.042705777409401735,0.032292463131407434,0.014027925415072614,0.01767736244575391
7/26/1999,1493.0,22295.6574,10.6124,13.7218,37.8016,2.6462,0.15987137632244286,0.1498717445199933,0.8946721922564429,1.5364630329634597,-0.0021513550897365175,0.008696301870278589,-0.03486590820890956,0.032292463131407434,0.013358407548385286,0.017634949298535166
7/27/1999,1493.0,22295.6574,10.6124,13.7218,37.7201,2.6462,0.15737070129360076,0.1423727877463854,0.8927432849173648,1.5331504288094948,-0.002155993397104816,0.013128738453935362,-0.04877655134499903,0.032292463131407434,0.013277445734868165,0.017559141214305293
7/28/1999,1493.0,22295.6574,10.6124,13.7218,37.5572,2.6462,0.1710970654909092,0.1812591791107605,0.8888878369966795,1.526529285046539,-0.004318652389574851,-0.008602780659449638,-0.018735809668628645,0.032292463131407434,0.01273982420412215,0.01701426841726168
7/29/1999,1493.0,22295.6574,10.6124,13.7218,36.1722,2.6462,0.1364363247930378,0.19402755305612707,0.8561082460197056,1.4702353371540053,-0.03687708348865215,-0.04823274648535869,-0.08122894981483464,0.032292463131407434,0.014986952863092923,0.0172267327507588
7/30/1999,1493.0,22295.6574,10.6124,13.7218,35.1946,2.6462,0.06935789182636065,0.1671340761244411,0.8329708249806518,1.4305003454863228,-0.027026279850271617,-0.08377459479441629,-0.08143829163067107,0.032292463131407434,0.015605308025796672,0.017232070518981076
8/2/1999,1493.0,22295.6574,10.6124,13.7218,35.4797,2.6462,0.08329669390197725,0.19399052260042238,0.8397184505312187,1.4420883632077388,0.008100674535298058,-0.09270913512559742,-0.09037838835633472,0.032292463131407434,0.015043595948254591,0.017098602303125463
8/3/1999,1493.0,22295.6574,10.6124,13.7218,34.1762,2.6462,0.0710285587141215,0.225492561822894,0.8088677668933232,1.3891070194691704,-0.036739318539897425,-0.1260423832185571,-0.10231066446378245,0.032292463131407434,0.016552962575223814,0.01744386985047914
8/4/1999,1493.0,22295.6574,10.6124,13.7218,33.5652,2.6462,0.03754169152444908,0.2478215309096865,0.7944068787439145,1.3642726496768685,-0.017877938448394026,-0.1685175597442523,-0.17877074469256382,0.018771615003980502,0.014157116987887386,0.014676897197292066
8/5/1999,1493.0,22295.6574,10.6124,13.7218,34.0133,2.6462,0.035989607604845375,0.2146492566635294,0.8050123189726379,1.3824858757062146,0.013350136450847927,-0.1470874395045011,-0.1686330583562481,0.018771615003980502,0.014916046353630143,0.014813260359803616
8/6/1999,1493.0,22295.6574,10.6124,13.7218,33.2393,2.6462,0.009947769651706517,0.20426350347442712,0.7866936161450728,1.351026297605983,-0.0227558043471231,-0.16135649155031206,-0.2095084532532362,0.018771615003980502,0.015279810083776192,0.0144945585945219
8/9/1999,1493.0,22295.6574,10.6124,13.7218,33.2801,2.6462,-0.005765823900385825,0.18042248850569553,0.7876592531933475,1.3526846319554524,0.0012274626721981985,-0.1577302315222564,-0.19926422997986148,0.018771615003980502,0.015381055821417548,0.014470907674638623
8/10/1999,1493.0,22295.6574,10.6124,13.7218,32.7912,2.6462,-0.008499560054788913,0.19596157509456558,0.7760881759163494,1.332813071576637,-0.014690460665682914,-0.1709596189435999,-0.2216681185185887,0.018771615003980502,0.015300492039977439,0.014371527933930555
8/11/1999,1493.0,22295.6574,10.6124,13.7218,32.5876,2.6462,-0.020590454035891215,0.17896353466956394,0.7712694577048607,1.3245376580091859,-0.006208982897850657,-0.1692622229926607,-0.20662790810910825,0.018771615003980502,0.015310460675415706,0.014117450363623364
