,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
3/8/2012,98.0,18.7922,10293.3928,6.1212,21.9236,33.236,7.1861,-0.03175435529919024,0.013342655712870632,0.8747006342605994,1.5886429902968309,0.0044122091266241,-0.0445032198712052,0.205163536152005,0.01394131255326947,0.009308346004578869,0.014340713536798833
3/9/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.298,7.1861,0.005629508004456607,0.0005277663754177375,0.9026502092270443,1.639405382151905,0.03195330364664839,0.005099050521627069,0.23223395846806083,0.03195330364664839,0.011150655511060368,0.01477700047168142
3/12/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.646,7.1861,0.015832991262534346,-0.01770949393068688,0.9118088270126589,1.656039386262607,0.010146364219487891,0.03414721509163643,0.2222104631883446,0.03195330364664839,0.010492912492448162,0.014677858019153663
3/13/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.335,7.1861,-0.044578011520160166,-0.06878704399365543,0.9036239703134459,1.6411739400602268,-0.008976505224268294,0.025997310623038894,0.2077456118751979,0.03195330364664839,0.010734158748983228,0.014759058746922045
3/14/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.015,7.1861,-0.015883578289549782,-0.028092813331790256,0.8952022528094323,1.6258783040963627,-0.009319935925440559,0.012562140922215859,0.17491623778107845,0.03195330364664839,0.010959075524632161,0.014709557487317506
3/15/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.335,7.1861,0.0,-0.023998835008009478,0.9036239703134459,1.6411739400602268,0.009407614287814114,0.024588940944764603,0.17775186087195127,0.03195330364664839,0.011096059761498363,0.014724221892123045
3/16/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.564,7.1861,-0.011779505946934998,-0.046346065873742015,0.9096507619022555,1.6521198795468668,0.006669579146643345,0.0362464398141209,0.1730925875644853,0.03195330364664839,0.011071639064586055,0.014697944589309155
3/19/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.958,7.1861,-0.07997999842092796,-0.12287812195699654,0.931691586045148,1.6709526313273744,0.011399143617636831,0.04890782525204029,0.1747824041402024,0.03195330364664839,0.011249361487095095,0.014710738735207273
3/20/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.326,7.1861,-0.06369166143858596,-0.09091405035323641,0.9148476852962341,1.640743750298743,-0.018078837462097264,0.02994479116658666,0.15782372584072601,0.03195330364664839,0.01209693201577966,0.014921155784961193
3/21/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.427,7.1861,-0.06349119991295116,-0.09613449035662791,0.9175395112070573,1.6455714353998374,0.002942376041484618,0.03611520751196329,0.16264226132180615,0.03195330364664839,0.012055841777212828,0.014913936455192154
3/22/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.042,7.1861,-0.07627601552112451,-0.10783382628279936,0.9072785906558993,1.6271688733808136,-0.011183083045284148,0.03537212202317597,0.14964033636148732,0.03195330364664839,0.012092785344292983,0.015010452508695826
3/23/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.253,7.1861,-0.057196333709504166,-0.08342737607002282,0.9129021081527677,1.6372544333444865,0.006198225721167905,0.028618618618618807,0.1535715488498972,0.03195330364664839,0.011874125894975229,0.015018300834580481
3/26/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.884,7.1861,-0.0180436312456016,-0.06263194933145677,0.9297193571599904,1.6674155155107309,0.018421744080810543,0.04756756756756775,0.20910886970988884,0.03195330364664839,0.01243201179115154,0.014625365341699963
3/27/2012,98.0,18.7922,10293.3928,6.1212,21.9236,34.701,7.1861,-0.015602394258318886,-0.06703355933165,0.9248420884304789,1.6586683236938962,-0.00524595803233574,0.05512648990513247,0.18660237997537954,0.03195330364664839,0.012104762620134936,0.014600066570859709
3/28/2012,98.0,18.7922,10293.3928,6.1212,21.9236,37.045,7.1861,0.05583423587755809,-0.07333409337057495,0.9873137709549319,1.7707088571292005,0.06754848563441973,0.13939039768707895,0.29347067039106145,0.06754848563441973,0.0182366568224125,0.016427122887485
3/29/2012,98.0,18.7922,10293.3928,6.1212,21.9236,36.624,7.1861,0.05123568414707669,-0.05703378397772618,0.9760933877028865,1.750585536064242,-0.011364556620326649,0.1148179715085842,0.2787709497206705,0.06754848563441973,0.018611451319502613,0.01653628431008943
3/30/2012,98.0,18.7922,10293.3928,6.1212,21.9236,36.844,7.1861,0.058948639094070776,-0.04262351622452787,0.9819567708749767,1.7611012857893984,0.006006989951944153,0.10609426598619032,0.24275643404054392,0.06754848563441973,0.01850856956272094,0.01605227279127736
