,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/22/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.625,-1.7442,-0.6338028169014085,-0.5668957746478873,0.35135135135135137,1.0,0.0,-0.15448254331650968,-0.25180717344260783,0.04277665335594327,0.02183754709183109,0.0490028083906191
6/23/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5703,-1.7442,-0.6461295774647887,-0.5704112676056338,0.33952432432432433,1.0,-0.03366153846153841,-0.1762576719299166,-0.2821485714285714,0.04277665335594327,0.022559630050840582,0.049130510499375085
6/24/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5,-1.7442,-0.6666666666666667,-0.5833333333333333,0.32432432432432434,1.0,-0.04476851557027317,-0.19999999999999996,-0.33333333333333337,0.04277665335594327,0.02384091910986457,0.049213849090080516
6/25/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4063,-1.7442,-0.6917698630136986,-0.5993205479452055,0.3040648648648649,1.0,-0.06246666666666656,-0.23073136042886055,-0.47057937732936783,0.04277665335594327,0.0262736208131308,0.04362315169661029
6/28/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4844,-1.7442,-0.6654873239436621,-0.5704112676056338,0.32095135135135133,1.0555358031714426,0.05553580317144258,-0.22131878508104708,-0.34480932203389836,0.05553580317144258,0.02771369562216396,0.04065208416134851
6/29/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5,-1.7442,-0.6666666666666667,-0.5763777777777778,0.32432432432432434,1.06662874208917,0.010509296685529579,-0.21313539317001529,-0.368421052631579,0.05553580317144258,0.028024380305928142,0.04011560137138089
6/30/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4063,-1.7442,-0.6885685180263974,-0.5709318805917265,0.3040648648648649,1.0,-0.06246666666666656,-0.27416774193548377,-0.4078736842105263,0.05553580317144258,0.02942408061167664,0.04072084108283869
7/1/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4688,-1.7442,-0.6736,-0.5798666666666666,0.3175783783783784,1.0444428642537154,0.04444286425371535,-0.22310377657886382,-0.31883318647683523,0.05553580317144258,0.03201742407112283,0.03976572632972197
7/2/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4219,-1.7442,-0.6862048418776069,-0.586211462494207,0.30743783783783785,1.0110929389177272,-0.03193082788671031,-0.2416533333333334,-0.33087058823529414,0.05553580317144258,0.03231444666949781,0.039891281753136665
7/5/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4219,-1.7442,-0.6862048418776069,-0.5810473815461346,0.30743783783783785,1.0110929389177272,0.0,-0.2510008428150021,-0.32089979940777535,0.05553580317144258,0.03194305051820579,0.03988000551470554
7/6/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.3828,-1.7442,-0.6989855892724977,-0.6054464713309242,0.29898378378378376,1.0,-0.027498417610239745,-0.23707586206896547,-0.34445813975538064,0.05553580317144258,0.03128000686291198,0.0399424481164336
7/7/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.3594,-1.7442,-0.6968602265631969,-0.5853625903130854,0.2939243243243243,1.0,-0.01692218686722602,-0.2689039475099495,-0.3408969696969697,0.05553580317144258,0.03003545474547251,0.039912966756008764
7/8/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.3281,-1.7442,-0.6964342857142858,-0.5928457142857142,0.2871567567567568,1.0,-0.0230248639105487,-0.2544209285353394,-0.34108950188529474,0.05553580317144258,0.029442188884260187,0.039914937515961514
7/9/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4063,-1.7442,-0.6874888888888888,-0.6076444444444444,0.3040648648648649,1.058881108350275,0.058881108350274936,-0.20350022655188038,-0.31296106307098537,0.058881108350274936,0.033415166466653455,0.040655409758011636
7/12/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5156,-1.7442,-0.6572514077658924,-0.6042425201836314,0.3276972972972973,1.141179128077705,0.07772168100689747,-0.13394285714285714,-0.2867764705882353,0.07772168100689747,0.03854275797454348,0.041628541580175
7/13/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5156,-1.7442,-0.6632,-0.6093777777777778,0.3276972972972973,1.141179128077705,0.0,-0.1377858686995107,-0.2761486292864648,0.07772168100689747,0.03849382137471345,0.041611622894833576
7/14/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5313,-1.7442,-0.6689081081081081,-0.6249945945945946,0.3310918918918919,1.153000527068745,0.01035893375560848,-0.11710101476014756,-0.2793882352941176,0.07772168100689747,0.038625667364748914,0.041581827751301884
7/15/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5313,-1.7442,-0.664372602739726,-0.626717808219178,0.3310918918918919,1.153000527068745,0.0,-0.10087487522752625,-0.28984835134257747,0.07772168100689747,0.03852638483622813,0.041514327715204816
7/16/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5,-1.7442,-0.6756756756756757,-0.6283675675675675,0.3582089552238806,1.12943302462164,-0.02044014889309742,-0.1272981149639284,-0.2941176470588235,0.07772168100689747,0.03854776272797453,0.04154394987853278
7/19/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4375,-1.7442,-0.6567164179104478,-0.6044656716417911,0.3471719074530261,1.0823733152624049,-0.04166666666666663,-0.1321016724023426,-0.3783783783783784,0.07772168100689747,0.03877500235441475,0.040056453099401604
7/20/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4531,-1.7442,-0.6490605226295706,-0.6075448002704922,0.3522666666666667,1.09411941871847,0.010852173913043606,-0.10578461538461537,-0.3357257142857143,0.07772168100689747,0.0388241898020771,0.039651851863174055
7/21/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4766,-1.7442,-0.6420363636363637,-0.6060606060606061,0.36069177781034734,1.1118138694375423,0.0161723212442364,-0.09132307692307695,-0.32498285714285713,0.07772168100689747,0.03907949837256966,0.03974148319440075
7/22/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4766,-1.7442,-0.6365292307692307,-0.6134646153846154,0.36069177781034734,1.1118138694375423,0.0,-0.05967012672737704,-0.3297626072352595,0.07772168100689747,0.03848035215950625,0.03971528596363384
7/23/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.5,-1.7442,-0.6190476190476191,-0.6190476190476191,0.3664077385314378,1.12943302462164,0.015847216578626533,0.0,-0.33333333333333337,0.07772168100689747,0.03738740238797177,0.039661886254742984
7/26/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4922,-1.7442,-0.6053738132388332,-0.6280908682199243,0.3645024182910743,1.1235599728936074,-0.005199999999999982,0.06108227263030641,-0.3274743104380746,0.07772168100689747,0.0345320939376695,0.03964786903080397
7/27/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4688,-1.7442,-0.6239920129022348,-0.6199984640196605,0.3587864575699839,1.1059408177095098,-0.0156815440289505,-0.010509296685529357,-0.25396180414465663,0.07772168100689747,0.03259770316054474,0.03722793383409006
7/28/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4219,-1.7442,-0.6359982592222819,-0.6160049151370862,0.34733010894523425,1.0706272118063398,-0.03193082788671031,-0.052066666666666706,-0.16511068052375089,0.07772168100689747,0.03322302133561086,0.03345163509975103
7/29/1999,218.5,28.1903,13761.2225,-46.4766,36.6455,1.4063,-1.7442,-0.6249866666666666,-0.6249866666666666,0.3435194684645073,1.058881108350275,-0.010971235670581447,0.0,-0.21052040644473136,0.07772168100689747,0.030311512489849854,0.03289186771943796
