,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,39.4518,10.4757,0.48690116798389904,0.2809342363631566,0.9678596925069735,2.0168600787280813,0.011517180905888269,0.1607943060414454,0.3162797525707155,0.07601808919310882,0.023501424334209587,0.0227201892275199
6/28/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,38.3289,10.4757,0.4649536192998749,0.32904498182610387,0.9403119089149427,1.9594550380859872,-0.028462579654160325,0.10226037442843561,0.3048136170212765,0.07601808919310882,0.02445052680249684,0.022893762408210398
6/29/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,38.0294,10.4757,0.4679991970848003,0.34229664628497325,0.9329643613276124,1.9441439599202497,-0.00781394717823869,0.09364737008598611,0.2672453722987722,0.07601808919310882,0.024588315897235487,0.022838996068366667
6/30/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,37.73,10.4757,0.47963105303612585,0.3812804906743634,0.9256192670115966,1.9288379939675884,-0.007872856263838157,0.07120245527665858,0.25726853163164987,0.07601808919310882,0.024653254909958646,0.022882842703489746
7/1/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,38.3289,10.4757,0.4753573985542392,0.38602893061425614,0.9403119089149427,1.9594550380859872,0.015873310363106352,0.06444920879133065,0.22980690867787956,0.07601808919310882,0.024447371986785,0.02250394907242046
7/2/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,37.8797,10.4757,0.41388590283376625,0.34961853145809063,0.9292918141696045,1.936490976943919,-0.011719616268664024,0.047618915921555205,0.2331153336566978,0.07601808919310882,0.0246627065093518,0.02247237763742472
7/5/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,37.8797,10.4757,0.41000186115764015,0.3013251442397171,0.9292918141696045,1.936490976943919,0.0,0.0835123469326462,0.19817488810514172,0.07601808919310882,0.023291197975617964,0.02223598308661715
7/6/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,36.9814,10.4757,0.3690425949371776,0.3925982689559686,0.9072540779502428,1.8905679668728592,-0.023714548953661208,-0.016914909736639894,0.1767060478110214,0.04108074537486939,0.01728177288773601,0.02246454476124563
7/7/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,38.254,10.4757,0.41229025529322705,0.39294482491277916,0.9384744087002814,1.9556259904912836,0.03441189354648544,0.013888152663662945,0.23035259987327894,0.04108074537486939,0.01889914577002128,0.022743606166223933
7/8/1999,3970.0,34.3716,127579.9562,17.4537,20.5652,39.0026,10.4757,0.43796869124077364,0.3744884490882412,0.9568395977616353,1.993896017586013,0.019569195378261073,0.0461846312310894,0.22645443082157524,0.04108074537486939,0.019086085532025926,0.022702966593416283
