,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/22/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.7425,3.549,-0.02807866765960343,-0.014978674429625749,0.8693249769138774,1.4477499054582126,-0.03132485408724417,-0.013299197580714406,0.05702505199992647,0.0666702559132839,0.03326080858006117,0.035002944439825386
6/23/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.9746,3.549,0.0407985506236499,-0.029301094000418137,0.9044612985754726,1.5062649691163494,0.04041793643883329,0.07221564193675745,0.03783351862145623,0.0666702559132839,0.03289189997819603,0.034568433125941406
6/24/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.757999999999999,3.549,0.03613330454185548,0.0695494133736414,0.8716714352755952,1.4516576326736415,-0.03625347303585191,-0.031243165031882625,-0.025916903505210587,0.04041793643883329,0.030654546941514774,0.034726766322331445
6/25/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.696000000000001,3.549,0.022162404665769575,0.03328847016599368,0.8622856018287238,1.436026723811925,-0.01076762764848882,-0.01076762764848882,0.0028698698874940476,0.04041793643883329,0.029964234286304525,0.034390603252667226
6/28/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.5567,3.549,0.013829845463336321,0.05336714773121187,0.8411977534553492,1.4009076011597126,-0.024455758426966345,-0.0375342086119097,-0.008174921909861688,0.04041793643883329,0.030420881179250046,0.03449013574686738
6/29/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.7889,3.549,0.056195150431498364,0.05336714773121187,0.8763492135579878,1.4594478759611749,0.04178739179728974,0.00268472650431284,0.07472523392247132,0.04178739179728974,0.03184836260441628,0.0345095303732459
6/30/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.8973,3.549,0.10680905371420013,0.08355542209376532,0.89275928364897,1.4867767553258542,0.01872549188965089,0.021460491218346256,0.09484999257388993,0.04178739179728974,0.03209143164077854,0.034574975753053655
7/1/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.7425,3.549,0.005709381950647074,0.049072663269059014,0.8693249769138774,1.4477499054582126,-0.026249300527360075,-0.04133486920084806,0.019366634714381936,0.04178739179728974,0.031524712773635964,0.03429298161180878
7/2/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.8199,3.549,-0.02255550703704956,0.03723422122199449,0.8810421302814236,1.4672633303920333,0.01347845015237259,-0.05764342039216963,0.06521341240207934,0.04178739179728974,0.030844322392011767,0.034096292345652444
7/5/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.8199,3.549,0.003171593553391361,0.06986124278203931,0.8810421302814236,1.4672633303920333,0.0,-0.062334858542244076,0.15669283513862653,0.04178739179728974,0.030803868456092814,0.032497019876754796
7/6/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.9437,3.549,0.005974544715997565,0.07670435312436519,0.8997835202930802,1.4984747258288162,0.02127184315881725,-0.06569102112676062,0.14956289648769916,0.04178739179728974,0.030649879898168093,0.032428854234751996
7/7/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.696000000000001,3.549,0.027787802237459358,0.10321183688199187,0.8622856018287238,1.436026723811925,-0.04167437791274786,-0.06836768073274435,0.02232751812764744,0.04178739179728974,0.030817656410302176,0.031454518570732816
7/8/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.8973,3.549,0.097376256047637,0.12041310011164863,0.89275928364897,1.4867767553258542,0.03534058988764044,-0.020561027054856962,0.07634604854900529,0.04178739179728974,0.03176863281358536,0.03166991715507785
7/9/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.9901,3.549,0.07493943472409148,0.11660834454912505,0.9068077569371906,1.5101726963317788,0.01573601478642761,-0.03731739067547368,0.08108937337568589,0.04178739179728974,0.031051017449531967,0.031696714467287744
7/12/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.0985,3.549,0.15449416931697701,0.1720619415417235,0.9232178270281726,1.5375015756964578,0.01809652593445854,-0.014988774570768748,0.14864483076865098,0.04178739179728974,0.03132300608075604,0.031265730198014534
7/13/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.9901,3.549,0.1608046043834661,0.19979458558610919,0.9068077569371906,1.5101726963317788,-0.017774862671148584,-0.03249721383231308,0.07809294121881871,0.04178739179728974,0.031555373140358056,0.03085878878553934
7/14/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.9746,3.549,0.14425249932968165,0.22133910445474392,0.9044612985754726,1.5062649691163494,-0.00258760287808224,-0.06311646359630563,0.0002846188618592649,0.04178739179728974,0.030740225431660228,0.029398485742646283
7/15/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.9282,3.549,0.15222546161321682,0.2184062196307095,0.8974370619313624,1.4945669986133872,-0.0077662102902285035,-0.05431748209357601,-0.027590053146118954,0.04178739179728974,0.030590310142594238,0.029300778916577473
7/16/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.9592,3.549,0.16170536288671866,0.24919585940698274,0.9021299786547982,1.5023824530442456,0.005229243277891982,-0.0700374531835205,-0.0048760937813105976,0.04178739179728974,0.0301332562610531,0.02921978638173978
7/19/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.0056,3.549,0.1501896043206803,0.23319416248515723,0.9091542152989086,1.514080423547208,0.007786280037588966,-0.06730858829010711,-0.02476413179389747,0.04178739179728974,0.030178499356246898,0.029016210495506695
7/20/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.696000000000001,3.549,0.13747104401310017,0.18384056234523527,0.8622856018287238,1.436026723811925,-0.05155188490741969,-0.03916871900408214,-0.08874206088918035,0.04178739179728974,0.027112859864861845,0.029665776773206403
7/21/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.7889,3.549,0.1739095167602862,0.16450023320422602,0.8763492135579878,1.4594478759611749,0.016309691011235916,0.008080104484109674,-0.040731105108787524,0.04178739179728974,0.02648250116604001,0.02943014372266021
7/22/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.8044,3.549,0.25062483840386096,0.28729638886494846,0.8786956719197058,1.4633556031766042,0.0026775380469519217,-0.028487262745623076,-0.012907504719146923,0.04178739179728974,0.02488620076831857,0.02925232782451475
7/23/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.0366,3.549,0.28375475830976327,0.22450715607256,0.9138471320223444,1.5218958779780662,0.04000413479429388,0.048384855852726893,0.013277381451951342,0.04178739179728974,0.02505992979763363,0.029637115800724898
7/26/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.8663,3.549,0.22761896789854763,0.1919809149123175,0.888066366925534,1.4789613008949956,-0.028211244740416808,0.029898174157303226,-0.0818987104044071,0.04178739179728974,0.02580166275481607,0.02838722665437203
7/27/1999,156.138,12.6821,4286.8938,6.9724,20.5625,5.9901,3.549,0.22229477421592847,0.1338584283877815,0.9068077569371906,1.5101726963317788,0.021103591701754132,0.07799593283783546,-0.06926770148697159,0.04178739179728974,0.0254027589156465,0.02850525526615632
7/28/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.1294,3.549,0.3427238274661002,0.2681329273368529,0.9278956053105653,1.545291818983991,0.023255037478506324,0.058819464837879476,-0.03607598918034838,0.04000413479429388,0.02431924526618584,0.028626510779164255
7/29/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.2687,3.549,0.3825066713715457,0.3005976666740182,0.9489834536839397,1.5804109416362033,0.02272653114497336,0.06297797297068142,-0.05101654631606034,0.04000413479429388,0.024463769774880195,0.028343122666164993
7/30/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.3307,3.549,0.3500021324689726,0.22457030750202578,0.9583692871308114,1.5960418504979201,0.009890407899564524,0.10242925555071847,-0.03259474327628353,0.04000413479429388,0.023542330721348564,0.028349202008911924
8/2/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.3307,3.549,0.3412215842884685,0.23300353806063412,0.9583692871308114,1.5960418504979201,0.0,0.0877678310623895,0.005351754803874842,0.04000413479429388,0.023481014078562967,0.027937253568974415
8/3/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.439,3.549,0.3866994013007712,0.2533703751561356,0.97476421878075,1.623345518719274,0.017107112957492898,0.10637639821990086,0.030124626041883262,0.04000413479429388,0.023621464342011865,0.027996668542319397
8/4/1999,156.138,12.6821,4286.8938,6.9724,20.5625,6.4235,3.549,0.38336133005986994,0.2800318731963647,0.972417760419032,1.6194377915038447,-0.002407206087901903,0.08072412806837481,0.040478813010236925,0.04000413479429388,0.02337445661387739,0.02794910635514407
