,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,12.217,8.3505,-0.5821676527925032,-0.6198228393583912,0.42201803171093993,1.19892051030422,0.029320077512848597,0.09904641957538685,-0.2622139018056646,0.06253373428945941,0.02820053717625304,0.04461342354924262
6/28/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,12.043,8.3505,-0.5839925386023697,-0.597982659159211,0.4202023726448011,1.1818449460255152,-0.01424244904641081,0.034799793778999666,-0.24637046307884858,0.06253373428945941,0.026760511139854695,0.044455545708640035
6/29/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.927,8.3505,-0.5838450802512212,-0.5939288206559665,0.4247355863395178,1.170461236506379,-0.009632151457278026,0.024832445437360295,-0.1953177708811228,0.06253373428945941,0.02687824250912408,0.043577332079684096
6/30/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.985,8.3505,-0.5731989601509918,-0.5855560699405291,0.42857142857142855,1.176153091265947,0.004862916072776002,0.02981611960818009,-0.1914046687356633,0.06253373428945941,0.026885523318436758,0.043585970577987035
7/1/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.811,8.3505,-0.5776506347219739,-0.5693545503307706,0.42499370299737327,1.1590775269872424,-0.014518147684605687,-0.019264302914556164,-0.22728164867517175,0.06253373428945941,0.025992699157533626,0.04339842526403714
7/2/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,12.043,8.3505,-0.5611791284069378,-0.5548389447602391,0.4333417293368356,1.1818449460255152,0.01964270595207851,-0.01424244904641081,-0.20910225257765813,0.06253373428945941,0.02616725587245047,0.04349234646417703
7/5/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,12.043,8.3505,-0.5666582706631644,-0.5499982008563924,0.4333417293368356,1.1818449460255152,0.0,-0.03702222932992161,-0.196919178447586,0.06253373428945941,0.025584464323933954,0.04346408701248568
7/6/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.869000000000002,8.3505,-0.5729192904177611,-0.5333381310496204,0.43524019068573533,1.1647693817468108,-0.014448227185916984,-0.08481764206955045,0.06219795954895302,0.06253373428945941,0.024135401879333437,0.029136583984679745
7/7/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.58,8.3505,-0.5753575357535754,-0.49468280161349465,0.4386031361260511,1.1364082433758587,-0.024349144831072644,-0.15965166908563133,0.08701774148127295,0.029320077512848597,0.019090991468920716,0.028676212042001267
7/8/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,12.100999999999999,8.3505,-0.5416635103401257,-0.48685705628361486,0.46445843248637436,1.1875368007850833,0.04499136442141616,-0.10680543253616781,0.11171336701883328,0.04499136442141616,0.022188277493039317,0.02908424857733114
7/9/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,12.159,8.3505,-0.5333154218162278,-0.49332156290780693,0.4698041033963139,1.1932286555446519,0.004792992314684774,-0.07893341413529265,0.19322865554465185,0.04499136442141616,0.021772986733502905,0.02783280891632014
7/12/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.985,8.3505,-0.5208300015992323,-0.4629777706700783,0.46308102468992696,1.176153091265947,-0.014310387367382327,-0.10772781417510424,0.0952206890249474,0.04499136442141616,0.021327741432122835,0.02640005471815762
7/13/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.869000000000002,8.3505,-0.5243648312895728,-0.47098661537228503,0.4585989722190024,1.1647693817468108,-0.00967876512307031,-0.10090144686008617,0.09039963252181926,0.04499136442141616,0.021178781406203908,0.02642475842102773
7/14/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.811,8.3505,-0.5342481959067786,-0.4748609960960606,0.45635794598354007,1.1590775269872424,-0.004886679585474951,-0.11308853345348058,0.035507627564439925,0.04499136442141616,0.020947867979118972,0.025766404843235
7/15/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,12.043,8.3505,-0.5283358790584733,-0.47620726119139933,0.46532205092538925,1.1818449460255152,0.01964270595207851,-0.09952145954837754,0.08897730355366651,0.04499136442141616,0.021565248622217356,0.025556679311886793
7/16/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,12.043,8.3505,-0.5346779490746107,-0.49889880607395387,0.47816247121416655,1.1818449460255152,0.0,-0.07140103323309444,0.024674551178422544,0.04499136442141616,0.02077094992525374,0.024331111395952756
7/19/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.753,8.3505,-0.526813753120219,-0.48949190756099525,0.46664813785436354,1.1533856722276743,-0.02408037864319512,-0.07310725552050468,-0.004910676488019683,0.04499136442141616,0.020856500676993284,0.024523053426275376
7/20/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.753,8.3505,-0.5333518621456365,-0.4919399666481379,0.4776283171455277,1.1533856722276743,0.0,-0.08150984682713347,0.03042258460459424,0.04499136442141616,0.02067603066713097,0.024122106317967483
7/21/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.464,8.3505,-0.5341163083675377,-0.48234242288779616,0.4805902573991784,1.1250245338567224,-0.024589466519186587,-0.10001570105197044,-0.034122504002022214,0.04499136442141616,0.021167184086057073,0.023781535415993232
7/22/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.58,8.3505,-0.49621508744453147,-0.45592969633690084,0.48545317347195444,1.1364082433758587,0.010118632240055714,-0.0740444586598431,0.0,0.04499136442141616,0.021171876868522597,0.023614647821117843
7/23/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.347999999999999,8.3505,-0.5242726586735977,-0.502431458036388,0.5681101376720901,1.113640824337586,-0.020034542314335102,-0.04389586317297178,0.010327635327635143,0.04499136442141616,0.01862689615729835,0.0234402539357492
7/26/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.347999999999999,8.3505,-0.35526390545991704,-0.3058917106982557,0.5681101376720901,1.113640824337586,0.0,-0.07113039207661465,-0.01510154487068227,0.04499136442141616,0.01720903804782847,0.023213833446463567
7/27/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.29,8.3505,-0.33447300165055427,-0.2900848856401793,0.5652065081351689,1.1079489695780176,-0.005111032781106806,-0.06252594868388273,-0.05798915310805175,0.04499136442141616,0.017035002079522903,0.022644318419417327
7/28/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,11.29,8.3505,-0.32293853073463274,-0.28473763118440787,0.5652065081351689,1.1079489695780176,0.0,-0.053408233419971585,-0.10553002693709401,0.04499136442141616,0.016975168352315894,0.02157042559598515
7/29/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,10.943,8.3505,-0.32014165009940365,-0.255405069582505,0.5478347934918648,1.0738959764474976,-0.03073516386182462,-0.0869420108468919,-0.12090295629820058,0.04499136442141616,0.0179550006371061,0.021829755817030675
7/30/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,10.074,8.3505,-0.34341393469334547,-0.2302026982988985,0.5043304130162702,1.0,-0.07941149593347341,-0.14706629413258832,-0.1981852913085005,0.04499136442141616,0.02429136726648835,0.023867415192495987
8/2/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.958,8.3505,-0.30649766696845193,-0.16129256912041245,0.498523153942428,1.0,-0.011514790549930431,-0.17312961886573108,-0.1849062781370222,0.04499136442141616,0.02350486010945316,0.02368743617312621
8/3/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.552999999999999,8.3505,-0.30674891146589267,-0.12605224963715533,0.47824780976220266,1.0,-0.04067081743321965,-0.20675911317777962,-0.21805680608987488,0.04499136442141616,0.02440670164973546,0.024154981926457646
8/4/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.322000000000001,8.3505,-0.3235123367198838,-0.13867924528301867,0.46668335419274093,1.0,-0.024180885585679657,-0.2145926362793833,-0.22594038030391084,0.04499136442141616,0.02457367477458995,0.024257785368002924
8/5/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.552999999999999,8.3505,-0.30674891146589267,-0.15965166908563133,0.47824780976220266,1.0247800901094184,0.024780090109418396,-0.1750431778929189,-0.21432683608849423,0.04499136442141616,0.025571919633114927,0.02446690464840493
8/6/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.38,8.3505,-0.32498560736902693,-0.12917386298215316,0.46958698372966207,1.0062218408066939,-0.018109494399664805,-0.2248574497975373,-0.2135490902993208,0.024780090109418396,0.022451658243455103,0.024457251797585206
8/9/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.322000000000001,8.3505,-0.29693038690700646,-0.08296251602684968,0.46668335419274093,1.0,-0.006183368869935979,-0.23332510897277736,-0.23332510897277736,0.024780090109418396,0.02217186676845002,0.024281680572508724
8/10/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.09,8.3505,-0.2831230283911672,-0.054810725552050465,0.45506883604505627,1.0,-0.02488736322677554,-0.2415519399249061,-0.25595481705819767,0.024780090109418396,0.02233858284328014,0.024397749141370686
8/11/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.916,8.3505,-0.3125144575526255,-0.08481764206955045,0.44635794743429286,1.0,-0.019141914191419085,-0.24879939337770673,-0.25245241888152925,0.024780090109418396,0.02236716191474477,0.0243457798299209
8/12/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.743,8.3505,-0.3104889589905362,-0.0685331230283911,0.43769712140175215,1.0,-0.01940331987438315,-0.25975785284903896,-0.26695732371929226,0.024780090109418396,0.02231888285395733,0.024412949617367934
8/13/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.857999999999999,8.3505,-0.26799438062970005,-0.004792992314684774,0.4434543178973716,1.0131533798467343,0.013153379846734259,-0.2644689861330234,-0.2500211667090002,0.024780090109418396,0.021870552042026904,0.02450581505275912
8/16/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.032,8.3505,-0.23151535778099208,0.024674551178422544,0.45216520650813513,1.0330550154409242,0.019643260329645695,-0.2500207589471062,-0.2500207589471062,0.024780090109418396,0.02290757959445792,0.024505823774356054
8/17/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.264,8.3505,-0.23075645603255002,-0.02408037864319512,0.46377972465581974,1.0595905295665102,0.025686448184233823,-0.21177571683825414,-0.24878365228673383,0.025686448184233823,0.024275449079204117,0.024538140689910778
8/18/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.206,8.3505,-0.23557253176118909,-0.02408037864319512,0.46087609511889854,1.0529566510351136,-0.006260794473229692,-0.21671062707393862,-0.2428653672176989,0.025686448184233823,0.02417207629496798,0.02450762399472432
8/19/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.264,8.3505,-0.3103037522334724,-0.14651578320428826,0.46377972465581974,1.0595905295665102,0.006300238974581873,-0.19190509420795543,-0.21947931586485814,0.025686448184233823,0.024261276766832002,0.02441010696040315
8/20/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.264,8.3505,-0.33880522446649064,-0.17350653058311327,0.46377972465581974,1.0595905295665102,0.0,-0.20000000000000007,-0.21177571683825414,0.025686448184233823,0.023944150144522208,0.02440149730155297
8/23/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.264,8.3505,-0.32487975513773515,-0.1730068503133656,0.46377972465581974,1.0595905295665102,0.0,-0.18364469510045822,-0.20000000000000007,0.025686448184233823,0.023935585385353876,0.024362543245770425
8/24/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.264,8.3505,-0.3442344446803993,-0.19671550930841664,0.46377972465581974,1.0595905295665102,0.0,-0.18364469510045822,-0.16660669305505582,0.025686448184233823,0.023935585385353876,0.023904348343923264
8/25/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.206,8.3505,-0.34834005804487866,-0.20082112267289598,0.46087609511889854,1.0529566510351136,-0.006260794473229692,-0.1845881310894597,-0.2089706135074756,0.025686448184233823,0.023926752316852977,0.02304957322777296
8/26/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.206,8.3505,-0.3291065442355343,-0.17723363941116466,0.46087609511889854,1.0529566510351136,0.0,-0.1845881310894597,-0.2089706135074756,0.025686448184233823,0.023926752316852977,0.02304957322777296
8/27/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,9.148,8.3505,-0.3189398451459202,-0.1853037522334724,0.4579724655819774,1.0463227725037172,-0.006300238974581762,-0.16403180115142102,-0.21395428767829527,0.025686448184233823,0.023425738226467333,0.023048025277634734
8/30/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.627,8.3505,-0.3377600368465494,-0.22668304291087749,0.4318898623279099,1.0,-0.056952339309138456,-0.14363708556680554,-0.2836502532591546,0.025686448184233823,0.0203201867174953,0.023480383891766578
8/31/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.395,8.3505,-0.35268717711465813,-0.23216901842856053,0.4202753441802252,1.0,-0.02689231482554777,-0.15695922876079538,-0.3128427600884015,0.025686448184233823,0.02075743641557927,0.023505539994494184
9/1/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.568999999999999,8.3505,-0.36204586063132826,-0.28878796902918413,0.42898623279098863,1.0207266229898748,0.02072662298987482,-0.10300429184549353,-0.3148088917319687,0.025686448184233823,0.02022645343803538,0.023449444128332247
9/2/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.916,8.3505,-0.34470086726444216,-0.31486109069528145,0.44635794743429286,1.0620607504466946,0.0404948068619444,-0.043552885646857,-0.3125144575526255,0.0404948068619444,0.022000515736799234,0.023555353510085048
9/3/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.857999999999999,8.3505,-0.3831046730273697,-0.33470297374468994,0.4434543178973716,1.055151876116736,-0.00650515926424422,-0.0727520150737988,-0.35718432510885345,0.0404948068619444,0.021147220758904968,0.021878081403578154
9/6/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.857999999999999,8.3505,-0.4047043010752689,-0.3696236559139785,0.4434543178973716,1.055151876116736,0.0,-0.05565031982942448,-0.3461765574254504,0.0404948068619444,0.020883961889351963,0.021855721393416207
9/7/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.916,8.3505,-0.44002009797764097,-0.4145207888456224,0.44635794743429286,1.0620607504466946,0.006547753443215454,-0.043552885646857,-0.32459662146807056,0.0404948068619444,0.020956761089330995,0.02177716701695736
9/8/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.916,8.3505,-0.47261327339406123,-0.4623210694428014,0.44635794743429286,1.0620607504466946,0.0,-0.019141914191419085,-0.336212030970816,0.0404948068619444,0.020285183191605924,0.02158369903688494
9/9/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.743,8.3505,-0.46640219713152276,-0.4558437595361612,0.43769712140175215,1.0414532459797499,-0.01940331987438315,-0.01940331987438315,-0.33770168926596467,0.0404948068619444,0.020297128248780022,0.02160352081059644
9/10/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.627,8.3505,-0.47161144117106635,-0.4645066454339438,0.4318898623279099,1.0276354973198334,-0.01326775706279304,-0.01326775706279304,-0.3521814222422467,0.0404948068619444,0.020057709387077464,0.0215339077915397
9/13/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.801,8.3505,-0.4722038980509745,-0.46878560719640194,0.4406007509386733,1.0483621203097082,0.02016923611916077,-0.006434861142469939,-0.34193210707342603,0.0404948068619444,0.020351762069049015,0.02175572731633368
9/14/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.627,8.3505,-0.4826386806596702,-0.45835082458770615,0.4318898623279099,1.0276354973198334,-0.019770480627201437,-0.04484056687333915,-0.33479836533271645,0.0404948068619444,0.020256342130352784,0.021609295185424513
9/15/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.337,8.3505,-0.4782853566958699,-0.4202753441802254,0.4173717146433041,1.0,-0.03361539353193477,-0.10006476683937815,-0.34250788643533125,0.0404948068619444,0.02033922430850901,0.02179157417709316
9/16/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.279,8.3505,-0.4947207812023192,-0.43814464449191337,0.41446808510638294,1.0,-0.006956938946863334,-0.10069519878340205,-0.3530009377930603,0.0404948068619444,0.020342275812986355,0.02170054635425855
9/17/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,8.279,8.3505,-0.45421583492649487,-0.3892807699914299,0.41446808510638294,1.0,0.0,-0.10632556131260784,-0.35005495368189665,0.0404948068619444,0.02021579405945327,0.021715197218221863
9/20/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.932,8.3505,-0.4120088954781319,-0.31326908821349153,0.39709637046307883,1.0,-0.041913274550066326,-0.14378238341968896,-0.3657444426675195,0.0404948068619444,0.02169744497230133,0.02212145682363908
9/21/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.353,8.3505,-0.4816355304899542,-0.3469157560803666,0.36811013767209005,1.0,-0.07299546142208779,-0.20628238341968907,-0.38048698289662153,0.0404948068619444,0.0259307685269651,0.022986495598724954
9/22/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.353,8.3505,-0.4795073263962625,-0.3442344446803993,0.36811013767209005,1.0,0.0,-0.20628238341968907,-0.39813374805598756,0.0404948068619444,0.0259307685269651,0.022525147476625308
9/23/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.353,8.3505,-0.46863708628414513,-0.3347304523775112,0.36811013767209005,1.0,0.0,-0.20128177275689763,-0.389437847712364,0.0404948068619444,0.02601916198100927,0.022530634876048807
9/24/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.064,8.3505,-0.4695501989937674,-0.3087031613726816,0.35364205256570713,1.0,-0.039303685570515445,-0.23267434281990007,-0.40773035968810256,0.0404948068619444,0.02664605734585083,0.022882319559208223
9/27/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.237,8.3505,-0.4918907533525241,-0.357719581548831,0.3623028785982478,1.0244903737259343,0.024490373725934322,-0.2088981198076082,-0.3961618690029203,0.0404948068619444,0.027808011006176078,0.023192034293468115
9/28/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.178999999999999,8.3505,-0.47460480093676827,-0.3686329039812647,0.3593992490613266,1.0162797281993203,-0.008014370595550768,-0.16784513735945306,-0.39217678435356873,0.0404948068619444,0.025711557814318484,0.023175690600415664
9/29/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.006,8.3505,-0.48065233506300964,-0.3776871756856931,0.350738423028786,1.0,-0.024098063797186153,-0.16545562835020844,-0.41825126629577347,0.0404948068619444,0.025618084501173623,0.023000846616850486
9/30/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,6.369,8.3505,-0.5528329705820403,-0.39837112967773647,0.3188485607008761,1.0,-0.0909220667998859,-0.25673940949935814,-0.47114506352237817,0.0404948068619444,0.030434686992244307,0.025217533969272024
10/1/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,6.542000000000001,8.3505,-0.5498210845031654,-0.3864574731626754,0.3275093867334168,1.027162819908934,0.02716281990893399,-0.2662628981606101,-0.44881624399696685,0.02716281990893399,0.02937088671004251,0.025633728563893596
10/4/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,6.485,8.3505,-0.5658722720578391,-0.4070156647476235,0.3246558197747184,1.0182132202857592,-0.00871293182513,-0.2678934296680965,-0.4399827288428324,0.02716281990893399,0.02934587176327359,0.025559087489438415
10/5/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,6.079,8.3505,-0.6168053454362078,-0.44162884518406464,0.3043304130162703,1.0,-0.06260601387818054,-0.3137277037706028,-0.4976448227419221,0.02716281990893399,0.03095491181923409,0.025499404726125354
10/6/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,6.6579999999999995,8.3505,-0.5787675566240669,-0.43591041376692385,0.333316645807259,1.0952459286066787,0.09524592860667869,-0.2532525796321221,-0.45242207418373226,0.09524592860667869,0.03929796538572469,0.02871977314514608
10/7/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,6.774,8.3505,-0.5125215889464594,-0.35837651122625214,0.33912390488110133,1.1143280144760652,0.017422649444277738,-0.2402422611036339,-0.43479349186483096,0.09524592860667869,0.0397688272607153,0.02890465762123402
10/8/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,6.716,8.3505,-0.5378475089457748,-0.3983622350674374,0.3362202753441802,1.104786971541372,-0.008562149394744534,-0.2318426169507034,-0.43415620524054266,0.09524592860667869,0.039741577402514265,0.028904327671641347
10/11/1999,2636.0,17.7575,45187.7393,3.7669,19.5478,7.468999999999999,8.3505,-0.4860308285163777,-0.4063446187723644,0.3739173967459324,1.2286560289521302,0.11212030970815956,-0.1342297438275184,-0.36762340191347054,0.11212030970815956,0.04804931588471053,0.032660675433047674
