,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,11.6,8685.199,7.108,12.6573,31.1141,4.6902,0.358818930993672,0.23733180772035856,0.9793978960357083,1.7811240611833667,-0.02060210396429174,0.0981847573264436,0.05955689046899049,0.05032771783441503,0.01722283993725485,0.020406807312580655
6/28/1999,11.6,8685.199,7.108,12.6573,31.8621,4.6902,0.4100333234498845,0.2538246735142744,1.0,1.823943258838615,0.024040547533112022,0.12458572018508907,0.09634918450209917,0.05032771783441503,0.017693715572262455,0.02055464141840446
6/29/1999,11.6,8685.199,7.108,12.6573,32.2361,4.6902,0.39791068594374734,0.2286233423821129,1.0,1.845352857666239,0.011738083804896604,0.1377862016144118,0.13008010376680512,0.05032771783441503,0.017688271712071206,0.020429405000134907
6/30/1999,11.6,8685.199,7.108,12.6573,32.3998,4.6902,0.4064244476277292,0.29175673915874456,1.0,1.8547238505220733,0.005078157717589793,0.08876880994146163,0.13581882876724327,0.039504291063322095,0.014533052918674707,0.02043081389565885
7/1/1999,11.6,8685.199,7.108,12.6573,32.0725,4.6902,0.3866370942986721,0.27040990587858893,0.989898085790653,1.8359875893020696,-0.01010191420934703,0.0914879424997106,0.09830182282659683,0.039504291063322095,0.014400504930894521,0.02030105396400633
7/2/1999,11.6,8685.199,7.108,12.6573,31.9322,4.6902,0.3861266657984983,0.27044754091244516,0.9855678121469886,1.8279561274958782,-0.004374464104762499,0.09105383824268043,0.12772464648462334,0.039504291063322095,0.014412111940316297,0.019899597181734882
7/5/1999,11.6,8685.199,7.108,12.6573,31.9322,4.6902,0.37368792373610504,0.2781558660563721,0.9855678121469886,1.8279561274958782,0.0,0.07474210322602359,0.1437403068150478,0.039504291063322095,0.014216295804854541,0.019794721315753938
7/6/1999,11.6,8685.199,7.108,12.6573,32.5166,4.6902,0.40442881885206594,0.27519662763627895,1.0,1.861410056786957,0.018301275828160657,0.10134295246320835,0.1474192717430809,0.039504291063322095,0.014378378726476087,0.01983277313151692
7/7/1999,11.6,8685.199,7.108,12.6573,32.727,4.6902,0.43652253304129096,0.29800150117855684,1.0,1.8734543872504117,0.006470541200494617,0.10671869927497002,0.15389497288644738,0.039504291063322095,0.014364854094668419,0.019838394349319798
7/8/1999,11.6,8685.199,7.108,12.6573,32.8439,4.6902,0.4490254211116109,0.31701387969752326,1.0,1.8801463180069606,0.003571974210896167,0.10023549747585547,0.16665068218227286,0.039504291063322095,0.014329161621638947,0.019798488524954146
7/9/1999,11.6,8685.199,7.108,12.6573,32.9608,4.6902,0.4601546060646333,0.3017121846412829,1.0,1.8868382487635096,0.0035592606237384583,0.12171847455435225,0.17274431876807905,0.039504291063322095,0.01355974741890732,0.019791134325769955
7/12/1999,11.6,8685.199,7.108,12.6573,32.727,4.6902,0.4879899609440712,0.3317526063808023,0.9929067255649134,1.8734543872504117,-0.007093274435086561,0.11731710064969403,0.17712435932020498,0.039504291063322095,0.013711999056262095,0.01975589267925457
7/13/1999,11.6,8685.199,7.108,12.6573,32.6335,4.6902,0.4963523731354915,0.32699794118860814,0.9900700225722676,1.8681019875435059,-0.002856968252513137,0.12762222659907874,0.21241561741857096,0.039504291063322095,0.01327246738350736,0.019266839435675146
7/14/1999,11.6,8685.199,7.108,12.6573,32.0024,4.6902,0.4721124609574454,0.3505986908381671,0.9709230358486445,1.8319747206448067,-0.01933902278333599,0.08997030053677002,0.19310437389086887,0.039504291063322095,0.014187048991316877,0.019458823686616382
7/15/1999,11.6,8685.199,7.108,12.6573,32.54,4.6902,0.4549584393402162,0.3399836350710266,0.9872333195796219,1.8627495878365998,0.016798740094492892,0.0858031406205162,0.26026824271201665,0.039504291063322095,0.013984296403754376,0.018832625755320777
7/16/1999,11.6,8685.199,7.108,12.6573,32.727,4.6902,0.46483929154898673,0.35497746366659655,0.9929067255649134,1.8734543872504117,0.005746773202212507,0.08108018828970165,0.2384253565576715,0.039504291063322095,0.013920869223539065,0.018666213342503988
7/19/1999,11.6,8685.199,7.108,12.6573,31.791999999999998,4.6902,0.4141845485925768,0.34763442582114523,0.9645396956384553,1.8199303901813517,-0.028569682525132145,0.04938291980102916,0.1780879786260332,0.039504291063322095,0.015611024511357994,0.018959192841110403
7/20/1999,11.6,8685.199,7.108,12.6573,31.605,4.6902,0.41461929933711406,0.3497450954940762,0.9588662896531638,1.8092255907675396,-0.005881982888776949,0.04806404117311547,0.13013441465795617,0.039504291063322095,0.0156416072826915,0.018495503753197848
7/21/1999,11.6,8685.199,7.108,12.6573,31.3712,4.6902,0.4159042800467587,0.3620956567657958,0.9517730152180773,1.7958417292544422,-0.007397563676633356,0.039504291063322095,0.11897330903098569,0.039504291063322095,0.01578388265109539,0.01853413958623554
7/22/1999,11.6,8685.199,7.108,12.6573,30.4361,4.6902,0.41514548480987945,0.4586235435245545,0.9234029513846751,1.7423120076937166,-0.02980759422655177,-0.02980759422655177,0.052351151372657556,0.024040547533112022,0.014754862212309644,0.018564232737739366
7/23/1999,11.6,8685.199,7.108,12.6573,30.7167,4.6902,0.4421798411178095,0.49156760005258504,0.9319160942695566,1.7583749313061,0.00921931522106978,-0.03311131116888999,0.024860200990270753,0.024040547533112022,0.014609699362699211,0.0180395845095214
7/26/1999,11.6,8685.199,7.108,12.6573,30.5764,4.6902,0.39905742393045074,0.42366048959048275,0.9276595228271158,1.7503434694999083,-0.004567547946231154,-0.017281554022131496,0.05042496032100474,0.024040547533112022,0.013966285196581394,0.017658178742810296
7/27/1999,11.6,8685.199,7.108,12.6573,30.7167,4.6902,0.4054770075497598,0.45788606726149617,0.9319160942695566,1.7583749313061,0.00458850616815587,-0.035948666283766695,0.048523307572571506,0.018301275828160657,0.012840521800774279,0.017650554633371465
7/28/1999,11.6,8685.199,7.108,12.6573,31.3712,4.6902,0.4369497705182348,0.4765662932053243,0.9517730152180773,1.7958417292544422,0.0213076274469588,-0.026830168661841847,0.08380980677346583,0.0213076274469588,0.013493099708873201,0.017756982691473692
7/29/1999,11.6,8685.199,7.108,12.6573,31.4647,4.6902,0.466133917338428,0.5097059782861937,0.954609718210723,1.801194128961348,0.0029804406589482024,-0.02886128926721765,0.09320376206044734,0.0213076274469588,0.01345194509107446,0.017734815349202453
7/30/1999,11.6,8685.199,7.108,12.6573,31.418000000000003,4.6902,0.4864263883500659,0.5173916334699051,0.9531928836678722,1.7985207913537278,-0.0014842029321746608,-0.02040689063839718,0.11507829469470043,0.0213076274469588,0.013300826688558408,0.017501642752505698
8/2/1999,11.6,8685.199,7.108,12.6573,30.4829,4.6902,0.4022153631015084,0.46888325643655904,0.9248228198344701,1.7449910697930022,-0.029763193074034078,-0.04538678825762088,0.0747720557643623,0.0213076274469588,0.014711783778520525,0.017937556809146434
8/3/1999,11.6,8685.199,7.108,12.6573,30.6232,4.6902,0.3997129562761106,0.45954420381932715,0.9290793912769107,1.7530225315991939,0.0046025804631448786,-0.04099310413939539,0.07971878063055748,0.0213076274469588,0.01477885072474261,0.017941537779861048
8/4/1999,11.6,8685.199,7.108,12.6573,30.0154,4.6902,0.3719318773939355,0.486255724876818,0.910639304871241,1.718229071258472,-0.019847697170772505,-0.07692071126747557,0.07239603988695587,0.0213076274469588,0.014515601736726901,0.01804846098935759
8/5/1999,11.6,8685.199,7.108,12.6573,30.2024,4.6902,0.3574722459436379,0.4709425142703041,0.9163127108565327,1.728933870672284,0.006230135197265341,-0.07714119839887545,0.08268628252281696,0.0213076274469588,0.014507269485333821,0.018049340385922565
8/6/1999,11.6,8685.199,7.108,12.6573,30.0154,4.6902,0.29900244519940267,0.42141388786705036,0.910639304871241,1.718229071258472,-0.006191560935554841,-0.08611949250850226,0.060903496711119276,0.0213076274469588,0.014418256074589252,0.017999096824555538
8/9/1999,11.6,8685.199,7.108,12.6573,29.5946,4.6902,0.24458967306737978,0.38615393673302867,0.8978726244508629,1.6941404103315625,-0.014019470005397272,-0.10212737554913709,0.0022419094837511366,0.0213076274469588,0.014456742795786771,0.01724935202232575
8/10/1999,11.6,8685.199,7.108,12.6573,28.8933,4.6902,0.2127303252885624,0.37364113326337867,0.8765958350525473,1.6539945502839346,-0.023696890648969737,-0.11714180951507924,-0.020735398287075713,0.0213076274469588,0.015019097811932945,0.01750962486349754
8/11/1999,11.6,8685.199,7.108,12.6573,29.5946,4.6902,0.23735141756941514,0.36440794892485484,0.8978726244508629,1.6941404103315625,0.024272063073446093,-0.09312209845710695,0.0062151925417690546,0.024272063073446093,0.016389741138906004,0.017773473838963997
8/12/1999,11.6,8685.199,7.108,12.6573,29.9686,4.6902,0.24574858563310853,0.33029052197516706,0.9092194364214461,1.7155500091591864,0.012637440614166051,-0.0635514836387272,0.0006778348019753633,0.024272063073446093,0.016429017892238502,0.017695856453046836
8/13/1999,11.6,8685.199,7.108,12.6573,29.3608,4.6902,0.22118887983096824,0.3534197348062622,0.8907793500157763,1.6807565488184648,-0.020281227684976866,-0.09770129071911493,-0.0196171402049532,0.024272063073446093,0.016186386970681206,0.01788238985307249
8/16/1999,11.6,8685.199,7.108,12.6573,29.9219,4.6902,0.3063764762382939,0.42884585998384583,0.9078026018785952,1.7128766715515662,0.019110514699872017,-0.08571210315641509,0.029588466038125594,0.024272063073446093,0.016868374589912173,0.017640421151068997
8/17/1999,11.6,8685.199,7.108,12.6573,30.4829,4.6902,0.3669094105091344,0.42561186694528397,0.9248228198344701,1.7449910697930022,0.018748809400472632,-0.041177025666834344,0.07300529059555294,0.024272063073446093,0.01659758412165243,0.017534398999431978
8/18/1999,11.6,8685.199,7.108,12.6573,30.6232,4.6902,0.4454792192773358,0.49182223690731863,0.9290793912769107,1.7530225315991939,0.0046025804631448786,-0.03106470495174818,0.07003787719960308,0.024272063073446093,0.016628486446619514,0.01752222764714545
8/19/1999,11.6,8685.199,7.108,12.6573,29.8284,4.6902,0.43309999567596646,0.507223538116355,0.9049658988859494,1.70752427184466,-0.025954178531309657,-0.04917886469118182,0.05082858914379118,0.024272063073446093,0.01743818670124325,0.017816990179989577
8/20/1999,11.6,8685.199,7.108,12.6573,29.1738,4.6902,0.41110063121236307,0.4721565213185326,0.8851059440304847,1.6700517494046527,-0.021945528422577132,-0.041473776206544244,0.07586100078549385,0.024272063073446093,0.016892903984436616,0.017092620950144976
8/23/1999,11.6,8685.199,7.108,12.6573,29.3141,4.6902,0.49339249689238485,0.5648472683553074,0.8893625154729254,1.6780832112108444,0.004809109543494561,-0.04566245723010609,0.0320994000507,0.024272063073446093,0.01677503990989444,0.016049908036877884
8/24/1999,11.6,8685.199,7.108,12.6573,28.9868,4.6902,0.4944037449283134,0.5763549845593885,0.8794325380451931,1.6593469499908406,-0.011165275413538178,-0.051987807590167634,0.02310084250131461,0.024272063073446093,0.0168852103792528,0.016114242026522615
8/25/1999,11.6,8685.199,7.108,12.6573,28.9868,4.6902,0.4944037449283134,0.5835880991292424,0.8794325380451931,1.6593469499908406,0.0,-0.05631789873261128,0.02310084250131461,0.024272063073446093,0.016819778264473874,0.016114242026522615
8/26/1999,11.6,8685.199,7.108,12.6573,29.238000000000003,4.6902,0.4400969324428159,0.5451661839746242,0.8870537122885368,1.673726873053673,0.00866601349579832,-0.06799867394297954,0.03196704820999363,0.024272063073446093,0.016132727489373094,0.016146947546143996
8/27/1999,11.6,8685.199,7.108,12.6573,29.3785,4.6902,0.46715707572375287,0.5713415334521901,0.8913163515448654,1.6817697838431944,0.004805390245570695,-0.06630287274310587,-0.012759508303593625,0.024272063073446093,0.01617268197087791,0.014853763108405037
8/30/1999,11.6,8685.199,7.108,12.6573,29.6597,4.6902,0.527268139710918,0.617808353201065,0.899847697871411,1.6978670544055687,0.009571625508450143,-0.05596473359220833,0.009375786987564805,0.024272063073446093,0.016407401770589955,0.014815761350366488
8/31/1999,11.6,8685.199,7.108,12.6573,29.7065,4.6902,0.5260319009580561,0.5659158040736652,0.9012675663212057,1.700546116504854,0.0015778986301275832,-0.025470017616434193,0.0150065089707625,0.024272063073446093,0.01519460607715096,0.014806681973370636
9/1/1999,11.6,8685.199,7.108,12.6573,29.8002,4.6902,0.5021624945811616,0.54364811323608,0.9041103371277397,1.7059099651950906,0.003154191843536047,-0.02687504898247084,0.0029853760328493184,0.024272063073446093,0.015170611701160243,0.014689436083788122
9/2/1999,11.6,8685.199,7.108,12.6573,29.5659,4.6902,0.5062203248222035,0.5291198826238461,0.8970018931579331,1.692497481223667,-0.007862363339843359,-0.014975645835137996,0.0014022252705379046,0.024272063073446093,0.014649974677064876,0.014701864019765563
9/3/1999,11.6,8685.199,7.108,12.6573,30.5968,4.6902,0.529778808847646,0.5100595976160953,0.9282784398436932,1.751511265799597,0.034867871432968434,0.013058564882260981,0.03468239368033754,0.034867871432968434,0.016531187193722718,0.015339222644465834
9/6/1999,11.6,8685.199,7.108,12.6573,30.5968,4.6902,0.5405157743160101,0.5112429133897913,0.9282784398436932,1.751511265799597,0.0,0.019370056704225203,0.02496005252632183,0.034867871432968434,0.016456275525798647,0.015297664564407953
9/7/1999,11.6,8685.199,7.108,12.6573,29.7534,4.6902,0.46380989865197275,0.45599724490799964,0.9026904686779447,1.7032309030958048,-0.02756497411494019,0.005365843768795564,0.012564575520177534,0.034867871432968434,0.017319029100989532,0.01557164918762014
9/8/1999,11.6,8685.199,7.108,12.6573,29.238000000000003,4.6902,0.453397623900184,0.4362628622558036,0.8870537122885368,1.673726873053673,-0.017322390046179414,0.011930101442203078,-0.0017992058912896791,0.034867871432968434,0.016927037360174747,0.015724069777212354
9/9/1999,11.6,8685.199,7.108,12.6573,28.6288,4.6902,0.4149487720616216,0.4626824362060189,0.8685711511856508,1.638853269829639,-0.020835898488268834,-0.032634331938934835,-0.010756700909810402,0.034867871432968434,0.016646127582365583,0.015872749899660154
9/10/1999,11.6,8685.199,7.108,12.6573,29.3785,4.6902,0.39899617613584937,0.4270965775701556,0.8913163515448654,1.6817697838431944,0.026186916671324,-0.019690609504614764,0.0006028446091386197,0.034867871432968434,0.01746193334567747,0.01611147045790706
9/13/1999,11.6,8685.199,7.108,12.6573,29.6128,4.6902,0.4519138838088419,0.43955833827718593,0.898424795514672,1.695182267814618,0.00797521997379036,0.008582872401296848,-0.011872426473041764,0.034867871432968434,0.01696751520415017,0.01592822669681203
9/14/1999,11.6,8685.199,7.108,12.6573,29.1911,4.6902,0.4377869062395332,0.4737819414070965,0.8856308099317978,1.6710420864627218,-0.014240463583315321,-0.024423582727032822,-0.03572219010653244,0.034867871432968434,0.016701549519360717,0.01597240004967951
9/15/1999,11.6,8685.199,7.108,12.6573,28.8163,4.6902,0.4112493266075712,0.4928693863558451,0.8742597267056624,1.6495866917017765,-0.012839529856702891,-0.05467327583661663,-0.04883829165002529,0.034867871432968434,0.016246068157956095,0.016047462765376982
9/16/1999,11.6,8685.199,7.108,12.6573,28.4883,4.6902,0.39518585631029923,0.49974043782751365,0.8643085119293221,1.630810359040117,-0.011382446740212937,-0.0697151179497898,-0.05528989640398474,0.034867871432968434,0.01626873502070793,0.016096823600908576
9/17/1999,11.6,8685.199,7.108,12.6573,29.0974,4.6902,0.4514373506656757,0.48790111386570745,0.8827880391252639,1.6656782377724857,0.021380707167503843,-0.02450684582478435,-0.03583949103681372,0.034867871432968434,0.016253556093506316,0.016336387290764854
9/20/1999,11.6,8685.199,7.108,12.6573,29.0037,4.6902,0.564604529222005,0.5737805733274353,0.8799452683187301,1.6603143890822492,-0.0032202189886382238,-0.00583057400818543,-0.0754673075942267,0.034867871432968434,0.015548560409921997,0.015517390183264269
9/21/1999,11.6,8685.199,7.108,12.6573,28.4414,4.6902,0.5381295664353818,0.5853257548307547,0.8628856095725833,1.6281255724491666,-0.019387181635446393,-0.029770656441780563,-0.10473234577538826,0.034867871432968434,0.01605005739105738,0.015583197456193028
9/22/1999,11.6,8685.199,7.108,12.6573,28.4883,4.6902,0.59683304840111,0.6247750903842382,0.8643085119293221,1.630810359040117,0.001649004620025707,-0.01719748299225854,-0.08439260656744052,0.034867871432968434,0.015899762915247254,0.01539742510609832
9/23/1999,11.6,8685.199,7.108,12.6573,27.3637,4.6902,0.5458756800424833,0.637570546463214,0.8301891944370283,1.5664327257739512,-0.03947585500012274,-0.055994452647411874,-0.14118341226723918,0.034867871432968434,0.018006201459391233,0.015787166623552805
9/24/1999,11.6,8685.199,7.108,12.6573,28.3945,4.6902,0.6254407858582156,0.673726873053673,0.8614627072158443,1.62113478578606,0.03767034428823579,-0.028849442506327483,-0.11917074335915323,0.03767034428823579,0.019922782681292057,0.016481616329657476
9/27/1999,11.6,8685.199,7.108,12.6573,28.581999999999997,4.6902,0.6318397734539141,0.6773145610669589,0.8671512827358558,1.6083687847480133,0.006603391501875278,-0.02711166329118242,-0.11783406070407854,0.03767034428823579,0.01995374080069991,0.016493115700503325
9/28/1999,11.6,8685.199,7.108,12.6573,28.3008,4.6902,0.5925450739415219,0.6690132126859791,0.8586199364093104,1.5740330815693164,-0.009838359806871422,-0.04581637710428632,-0.11759918933665914,0.03767034428823579,0.019883211268829346,0.016491023213538365
9/29/1999,11.6,8685.199,7.108,12.6573,29.4254,4.6902,0.6323593860082213,0.6479532682802349,0.8927392539016044,1.6365810520695445,0.03973739258254194,-0.009462575530607698,-0.07850382998979089,0.03973739258254194,0.02187463816721585,0.017298786658003027
9/30/1999,11.6,8685.199,7.108,12.6573,30.831,4.6902,0.7147576724991378,0.6574266677048688,0.9353838499065557,1.6842847075405216,0.04776825463715029,0.03459037187669889,-0.03448556629358457,0.04776825463715029,0.024256165464175666,0.018364059922883
10/1/1999,11.6,8685.199,7.108,12.6573,30.4093,4.6902,0.6612474119234533,0.6151728206893161,0.9225898643236815,1.588674750408802,-0.013677791832895414,0.02852610608843298,-0.06480689863023792,0.04776825463715029,0.0244059088607446,0.018280818478468217
10/4/1999,11.6,8685.199,7.108,12.6573,30.5499,4.6902,0.596020124025014,0.598470323332271,0.9268555374869543,1.5902295559835513,0.004623585547842257,-0.001532840035559313,-0.06652305435878625,0.04776825463715029,0.023208951168204886,0.018270287270906384
10/5/1999,11.6,8685.199,7.108,12.6573,30.3625,4.6902,0.5804747280204052,0.5926708656498882,0.9211699958738866,1.567210017756122,-0.006134226298613044,-0.007657663546514648,-0.07555132003203024,0.04776825463715029,0.02324991489344041,0.018272649777367037
10/6/1999,11.6,8685.199,7.108,12.6573,30.831,4.6902,0.56512071801328,0.5104168781854732,0.9353838499065557,1.5913924102902919,0.015430218196788692,0.03621770957268744,-0.06461615009344435,0.04776825463715029,0.0225952706901642,0.018382165534574106
10/7/1999,11.6,8685.199,7.108,12.6573,31.4402,4.6902,0.5701180078006003,0.46014053066055416,0.9538664110094416,1.6228372630796548,0.019759333138724022,0.07531978931527461,-0.0393192165490267,0.04776825463715029,0.02246350393230984,0.018546685751545968
10/8/1999,11.6,8685.199,7.108,12.6573,30.4093,4.6902,0.5012193677060091,0.4133212219347959,0.9225898643236815,1.5696256761778917,-0.03278923162066394,0.062192617224613,-0.06815695527601995,0.04776825463715029,0.023253913244180673,0.018987041332854813
10/11/1999,11.6,8685.199,7.108,12.6573,30.1282,4.6902,0.47886611854215255,0.4420665112283717,0.91406155190408,1.5551162406573895,-0.009243882628011901,0.025518661606276805,-0.05856435767317458,0.04776825463715029,0.022778099199847877,0.01887153119384319
10/12/1999,11.6,8685.199,7.108,12.6573,29.238000000000003,4.6902,0.47037672180118406,0.4892253843407244,0.8870537122885368,1.509167114010819,-0.02954706885907543,-0.012656688999351573,-0.10147510755992617,0.04776825463715029,0.023693606567985512,0.019077323080703736
