,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
4/28/2014,556.0,33.1166,28325.6046,4.3655,69.139,47.52,1.8649,0.12847304678223703,0.18665400142483968,0.8649435748088825,1.142857142857143,-0.03786191536748329,-0.04902941765059032,0.02347620073228529,0.026956346811506604,0.013934156684272336,0.01649012476512119
4/29/2014,556.0,33.1166,28325.6046,4.3655,69.139,47.58,1.8649,0.1224345364472752,0.19768813399386653,0.866035675282126,1.1443001443001444,0.0012626262626260765,-0.06283238132755575,-0.002515723270440362,0.026956346811506604,0.013323603655384278,0.01612855913913082
4/30/2014,556.0,33.1166,28325.6046,4.3655,69.139,47.13,1.8649,0.08795013850415523,0.17982456140350878,0.8578449217327995,1.1334776334776335,-0.009457755359394637,-0.07787125807082762,-0.01049758555532232,0.026956346811506604,0.013201528010866909,0.01617234224563552
5/1/2014,556.0,33.1166,28325.6046,4.3655,69.139,48.76,1.8649,0.0974566734188611,0.14944857078550533,0.8875136512559155,1.1726791726791728,0.034585189900275815,-0.04523203446250246,0.05018307129011412,0.034585189900275815,0.015633620783525475,0.016424371848926853
5/2/2014,556.0,33.1166,28325.6046,4.3655,69.139,47.32,1.8649,0.040000000000000036,0.11956043956043949,0.8613032398980707,1.1380471380471382,-0.029532403609515923,-0.07106399685904985,0.015232782664664324,0.034585189900275815,0.016743135926015146,0.01686058526740738
5/5/2014,556.0,33.1166,28325.6046,4.3655,69.139,46.99,1.8649,0.024863685932388302,0.09291166848418753,0.8552966872952312,1.1301106301106303,-0.006973795435333829,-0.06226302135302331,-0.028530080628488608,0.034585189900275815,0.01650528599755774,0.016189553787886887
5/6/2014,556.0,33.1166,28325.6046,4.3655,69.139,46.75,1.8649,0.027021089630931305,0.09204745166959571,0.8509282854022571,1.1243386243386244,-0.005107469674398901,-0.05954536310601488,-0.04591836734693877,0.034585189900275815,0.01647314548952821,0.01610927283075178
5/7/2014,556.0,33.1166,28325.6046,4.3655,69.139,47.35,1.8649,0.043411194358748295,0.12494490965182892,0.8618492901346925,1.1387686387686389,0.012834224598930577,-0.07247796278158658,-0.018245905038357768,0.034585189900275815,0.015454891167243141,0.01607928637269813
5/8/2014,556.0,33.1166,28325.6046,4.3655,69.139,46.99,1.8649,0.04306326304106567,0.13962264150943415,0.8552966872952312,1.1301106301106303,-0.007602956705385466,-0.08472925594078695,-0.03332647603373784,0.034585189900275815,0.015333336442749536,0.016072666221255718
5/9/2014,556.0,33.1166,28325.6046,4.3655,69.139,47.54,1.8649,0.06472564389697655,0.15117581187010076,0.8653076082999637,1.1433381433381433,0.011704618003830491,-0.0750972762645914,-0.0327568667344863,0.034585189900275815,0.015682560787018324,0.016079727502980753
