,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
9/2/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,21.688000000000002,3.4322,-0.14949019607843128,-0.16666666666666663,0.8463609756097562,1.2133146853146854,-0.02253470344330266,0.02061176470588255,-0.04141436464088388,0.05970006686407481,0.021488782979188527,0.01968998278908837
9/3/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,22.063000000000002,3.4322,-0.13052216748768464,-0.16007881773399002,0.8609951219512196,1.2342937062937065,0.017290667650313507,0.03518979026885005,-0.038146307437440075,0.05970006686407481,0.021773450125167234,0.019735276819558244
9/6/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,22.063000000000002,3.4322,-0.1262178217821781,-0.16831683168316836,0.8609951219512196,1.2342937062937065,0.0,0.050619047619047786,-0.01942222222222212,0.05970006686407481,0.021448456637569,0.01959003040183367
9/7/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,21.875,3.4322,-0.12282460502045078,-0.16039778651054615,0.8536585365853658,1.2237762237762237,-0.008521053347233076,0.04475117012131036,-0.02509136286656577,0.05970006686407481,0.021554328654090602,0.019615976987361894
9/8/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,21.625,3.4322,-0.09662461358509489,-0.13054557607151807,0.8439024390243902,1.2097902097902098,-0.011428571428571455,0.039014077739873976,-0.03351955307262566,0.05970006686407481,0.021691603837129925,0.019664368574561417
9/9/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,21.563000000000002,3.4322,-0.10852488837440055,-0.13436414751116255,0.8414829268292684,1.2063216783216784,-0.0028670520231213192,0.029850033432037515,-0.0028670520231213192,0.05970006686407481,0.02169703983325831,0.019204291677050317
9/10/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,20.938000000000002,3.4322,-0.149725888324873,-0.14720812182741116,0.8170926829268294,1.1713566433566436,-0.028984835134257758,-0.0029523809523808175,-0.07202056464122675,0.05970006686407481,0.022695532719823504,0.018734576958676353
9/13/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,20.188,3.4322,-0.17600000000000005,-0.1428571428571429,0.7878243902439024,1.1293986013986013,-0.035820040118445085,-0.03866666666666674,-0.11261538461538467,0.05970006686407481,0.024011539020361315,0.019199775794369017
9/14/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,20.063,3.4322,-0.17902447008756872,-0.13045257386038145,0.7829463414634146,1.1224055944055944,-0.0061917971071924205,-0.05585882352941185,-0.10332960893854759,0.05970006686407481,0.02382654348882882,0.01911567728738916
9/15/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,19.438,3.4322,-0.16395698924731184,-0.06451612903225812,0.7585560975609755,1.0874405594405594,-0.03115187160444599,-0.10629885057471267,-0.11897747359833222,0.05970006686407481,0.023831656964374573,0.019416204983179697
9/16/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,18.688,3.4322,-0.15054545454545465,-0.011363636363636354,0.7292878048780488,1.0454825174825175,-0.038584216483177336,-0.1407816091954024,-0.14814477162913675,0.05970006686407481,0.0248854083755962,0.01995669749892026
9/17/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,18.25,3.4322,-0.12574850299401197,0.05988023952095811,0.7121951219512195,1.020979020979021,-0.02343749999999989,-0.17514124293785316,-0.15116279069767447,0.05970006686407481,0.024491908539720282,0.020010862457940554
9/20/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,16.563,3.4322,-0.1692747517303641,0.1441970107332733,0.646360975609756,1.0,-0.09243835616438367,-0.2739665979923729,-0.19204878048780494,0.05970006686407481,0.028864699817597823,0.02234424886322219
9/21/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,17.0,3.4322,-0.2093023255813954,0.061069767441860545,0.6634146341463415,1.026384109158969,0.026384109158968938,-0.25481085346074617,-0.16049382716049387,0.05970006686407481,0.030086072625532624,0.022618764445498984
9/22/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,17.375,3.4322,-0.15243902439024393,0.06404878048780493,0.6780487804878049,1.049024935096299,0.022058823529411686,-0.20345665428872695,-0.13934020210025755,0.05970006686407481,0.030196738246917838,0.022829454906644883
9/23/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,17.688,3.4322,-0.1450116009280744,0.05437935034802788,0.6902634146341463,1.0679224778119907,0.018014388489208555,-0.1891074130105902,-0.10725281380911522,0.05970006686407481,0.03075561290183959,0.022869432506587524
9/24/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,16.938,3.4322,-0.12297416248123028,0.12618443535442458,0.6609951219512195,1.0226408259373303,-0.0424016282225238,-0.22124137931034493,-0.1531,0.05970006686407481,0.03153148574258193,0.02339471476843845
9/27/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,16.75,3.4322,-0.11842105263157898,0.12173684210526337,0.6536585365853659,1.0112902252007487,-0.011099303341598699,-0.21409468399568343,-0.18292682926829273,0.05970006686407481,0.03146790102992337,0.023154616850817607
9/28/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,16.75,3.4322,-0.13270853829027074,0.07766789209340885,0.6536585365853659,1.0112902252007487,0.0,-0.19521452938067563,-0.17540491310983108,0.05970006686407481,0.03141710879637868,0.02314381496966812
9/29/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,16.688,3.4322,-0.18095705521472394,0.027631901840490913,0.6512390243902438,1.00754694197911,-0.0037014925373135554,-0.2029802273378548,-0.18095705521472394,0.05970006686407481,0.031243705265675527,0.023131960560779413
9/30/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,15.937999999999999,3.4322,-0.17205194805194812,0.15262337662337666,0.621970731707317,1.0,-0.044942473633748814,-0.28168379304128366,-0.2177668711656442,0.026384109158968938,0.027665754023341878,0.023726557456471353
10/1/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,16.313,3.4322,-0.15533578418681715,0.12297416248123039,0.6366048780487804,1.0235286736102396,0.02352867361023958,-0.24783290298782745,-0.20182992465016147,0.026384109158968938,0.028860030130573932,0.023958234721314864
10/4/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,16.0,3.4322,-0.22891566265060237,0.06327710843373513,0.624390243902439,1.003890074036893,-0.019187151351682585,-0.2748039704482619,-0.2195121951219512,0.026384109158968938,0.028027598776944912,0.024027176452805627
10/5/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,16.625,3.4322,-0.24,0.008594285714285776,0.6487804878048781,1.0431045300539592,0.0390625,-0.24647600054389707,-0.19639404485692202,0.0390625,0.030265729197096167,0.024573130883994064
10/6/1999,183.33599999999998,63.5127,14353.6229,3.9835,67.14399999999999,17.625,3.4322,-0.02083333333333337,0.21527777777777768,0.6878048780487804,1.105847659681265,0.06015037593984962,-0.19428571428571428,-0.15822905721654423,0.06015037593984962,0.03421856166928625,0.025771162784626565
