,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
7/5/1999,575.8,7970.3764,15.3806,7.9472,10.8255,2.7157,-0.13734849511120317,-0.170434533153772,0.8167661327438303,2.2099622333367357,0.0,0.039883576842165924,-0.02072440432037348,0.06451018339323555,0.02318706030864342,0.025922561146922898
7/6/1999,575.8,7970.3764,15.3806,7.9472,10.9544,2.7157,-0.14532261839744098,-0.1799563080283998,0.8264914252948145,2.236276411146269,0.011907071266916036,0.04223395651967077,-0.006493742064211827,0.06451018339323555,0.02322931805063796,0.02596354370993134
7/7/1999,575.8,7970.3764,15.3806,7.9472,10.8828,2.7157,-0.15555383123181377,-0.19999999999999996,0.8210893233037324,2.22165969174237,-0.006536186372599118,0.055557710960232765,-0.0281305256389649,0.06451018339323555,0.022811788450001813,0.025902038866562116
7/8/1999,575.8,7970.3764,15.3806,7.9472,10.9687,2.7157,-0.14702199964228213,-0.1993576633253754,0.8275703367259942,2.239195672144534,0.007893189252765831,0.0653670950008256,-0.05315723596184563,0.06451018339323555,0.022816058496652584,0.025542068075306592
7/9/1999,575.8,7970.3764,15.3806,7.9472,11.7706,2.7157,-0.06623299353456824,-0.20027765657847763,0.8880723700590761,2.4028988465856895,0.07310802556364937,0.1676140027180113,-0.04640536643064319,0.07310802556364937,0.026727326348438565,0.025874777081400544
7/12/1999,575.8,7970.3764,15.3806,7.9472,11.8852,2.7157,-0.061341504829449,-0.2038398660548575,0.8967187511788804,2.426293763396958,0.00973612220277631,0.1789820353341467,-0.06108196928521781,0.07310802556364937,0.026670755059143594,0.02569529217838276
7/13/1999,575.8,7970.3764,15.3806,7.9472,11.2838,2.7157,-0.14501769247671947,-0.21988679845730696,0.8513441123878649,2.303521486169235,-0.05060074714771312,0.09597210485931007,-0.05401530838943347,0.07310802556364937,0.02938234023814888,0.02545588964015501
7/14/1999,575.8,7970.3764,15.3806,7.9472,11.341,2.7157,-0.11807019044582523,-0.21271764403972215,0.855659758112584,2.315198530162294,0.0050692142717878586,0.12022046839656642,-0.031784381856522104,0.07310802556364937,0.028968294423042155,0.025366712390995774
7/15/1999,575.8,7970.3764,15.3806,7.9472,11.4699,2.7157,-0.10804631667353581,-0.21160560839236975,0.8653850506635684,2.341512707971828,0.01136584075478364,0.1313546783452686,-0.053193333498427364,0.07310802556364937,0.028974098165140353,0.025027393384767838
7/16/1999,575.8,7970.3764,15.3806,7.9472,11.2551,2.7157,-0.12570882595118615,-0.19912377460499942,0.8491787446903223,2.2976625497601306,-0.018727277482802895,0.0916682832201745,-0.03201919603694714,0.07310802556364937,0.029361169116060026,0.024621992104082332
