,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,56501.0,413263.2536,30.9734,13.3226,29.9424,1.2048,0.12007900525205373,0.0019489458484835964,0.9174822432082953,2.0439753978060082,0.014841803792641661,0.11790027814594262,-0.004137453935902813,0.06982430327159417,0.023786074419192532,0.023968506068236733
6/28/1999,56501.0,413263.2536,30.9734,13.3226,30.4726,1.2048,0.14378049695968764,0.003618346970948094,0.9337284053512445,2.08016874756811,0.01770733140963987,0.13965682314573802,0.021285295349811495,0.06982430327159417,0.023865390987199732,0.024047215179530942
6/29/1999,56501.0,413263.2536,30.9734,13.3226,30.4726,1.2048,0.13224639027398988,-0.0065023371257441065,0.9337284053512445,2.08016874756811,0.0,0.13965682314573802,0.042586022259553324,0.06982430327159417,0.023865390987199732,0.0238960795917502
6/30/1999,56501.0,413263.2536,30.9734,13.3226,31.9478,1.2048,0.187059234433405,-0.0116410412656891,0.9789308542257795,2.180871179799442,0.048410703385992626,0.20104059759173842,0.09305834493754261,0.06982430327159417,0.025370825238611398,0.024632349373257215
7/1/1999,56501.0,413263.2536,30.9734,13.3226,31.8452,1.2048,0.16561982987071922,-0.0423932299673504,0.9757870288092072,2.173867336559925,-0.00321148874100885,0.21722179327426594,0.0964656463580491,0.06982430327159417,0.02486399379898239,0.024619173303990004
7/2/1999,56501.0,413263.2536,30.9734,13.3226,31.6136,1.2048,0.16194858751663155,-0.029098701088674406,0.9686904404419742,2.158057491586514,-0.0072726815972264935,0.19677313113035044,0.07822278914464831,0.06982430327159417,0.02513811156426739,0.02462467552104518
7/5/1999,56501.0,413263.2536,30.9734,13.3226,31.6136,1.2048,0.16679892080622127,0.011537482053420867,0.9686904404419742,2.158057491586514,0.0,0.15349054435196985,0.01592647342374187,0.06982430327159417,0.024321037800537196,0.023403351807779086
7/6/1999,56501.0,413263.2536,30.9734,13.3226,31.8915,1.2048,0.17705569068032756,0.04471789269329718,0.9772057336511887,2.1770279402830206,0.008790520535465696,0.12667323773488914,-0.016662606877796193,0.06982430327159417,0.023606132751698577,0.022814073660729066
7/7/1999,56501.0,413263.2536,30.9734,13.3226,31.3589,1.2048,0.15547080823154436,0.01749848007516719,0.9608860317324133,2.140670757930521,-0.016700374707994348,0.13559954226780224,-0.006246038788186081,0.06982430327159417,0.023164835779940055,0.02265375505488606
7/8/1999,56501.0,413263.2536,30.9734,13.3226,31.6831,1.2048,0.21923258973066373,0.04757928277040424,0.9708200297836093,2.162801810350124,0.010338372838333054,0.16385710349894378,-0.012559955868740702,0.06982430327159417,0.02269229194168008,0.022591722462658722
7/9/1999,56501.0,413263.2536,30.9734,13.3226,31.5673,1.2048,0.19501586171912266,0.02093822636452436,0.9672717355999927,2.1548968878634183,-0.0036549453809759935,0.1705075105028384,-0.018987951507693057,0.06982430327159417,0.022515592385029388,0.022593531789003137
7/12/1999,56501.0,413263.2536,30.9734,13.3226,31.1736,1.2048,0.17608266713951037,0.022673854894873946,0.9552081482071616,2.1280215166802057,-0.012471766669940099,0.15000756253850445,-0.022823235125400854,0.06982430327159417,0.022942015914353922,0.022622424214590958
7/13/1999,56501.0,413263.2536,30.9734,13.3226,30.6872,1.2048,0.151835447789205,0.020925606185721923,0.9403040869730417,2.0948181116928684,-0.015602946082582725,0.1282266218129009,-0.02753200659145638,0.06982430327159417,0.02345689295080652,0.022666783968175435
7/14/1999,56501.0,413263.2536,30.9734,13.3226,30.2935,1.2048,0.13513219820738032,0.03905992385862889,0.9282404995802106,2.0679427405096558,-0.012829453322557915,0.09246076394899316,-0.04696962546993211,0.06982430327159417,0.02358865319512156,0.02270130222356678
7/15/1999,56501.0,413263.2536,30.9734,13.3226,30.4325,1.2048,0.14616876635971598,0.11729280831591438,0.9324996782634809,2.077431378036876,0.004588443065344006,0.02584457523478223,-0.02563930164279793,0.048410703385992626,0.018242489171493213,0.02260624246764713
7/16/1999,56501.0,413263.2536,30.9734,13.3226,30.3167,1.2048,0.15459202132723981,0.11751309149766742,0.9289513840798643,2.0695264555501702,-0.003805142528546801,0.03317986170513687,-0.009610955574648194,0.048410703385992626,0.018069491787588127,0.02246972520998655
7/19/1999,56501.0,413263.2536,30.9734,13.3226,30.4325,1.2048,0.12697101889363727,0.09516438427184326,0.9324996782634809,2.077431378036876,0.0038196769437306433,0.029042794925203674,-0.011781018532048715,0.048410703385992626,0.018022251109531557,0.022462057040149832
7/20/1999,56501.0,413263.2536,30.9734,13.3226,29.9692,1.2048,0.095137343462802,0.1253247678663436,0.9183034373716885,2.04580486173212,-0.01522385607491994,-0.02682552207642075,-0.05236030874210673,0.048410703385992626,0.01587532972072,0.022275462890463883
7/21/1999,56501.0,413263.2536,30.9734,13.3226,30.1314,1.2048,0.11302208579439044,0.11115297524721379,0.9232735005546125,2.0568772142998544,0.005412223215834899,0.001682136113401178,-0.03811910424414622,0.048410703385992626,0.015099311702725899,0.022258876105601573
7/22/1999,56501.0,413263.2536,30.9734,13.3226,30.8725,1.2048,0.22536664748258528,0.17472861140328244,0.9459819704982934,2.107467352943184,0.024595604585250008,0.04310615710535304,0.013123264834638215,0.048410703385992626,0.015510761392261879,0.022208017319285404
7/23/1999,56501.0,413263.2536,30.9734,13.3226,30.1777,1.2048,0.16841930013396422,0.14235436235374288,0.924692205396594,2.06003781802295,-0.022505466029637988,0.022816858445321886,-0.047156407082775464,0.048410703385992626,0.016390478014226925,0.021824915613009217
7/26/1999,56501.0,413263.2536,30.9734,13.3226,30.7104,1.2048,0.18593120066729485,0.15627365266686222,0.9410149714726954,2.096401826733383,0.017652107350792035,0.02564924655338241,-0.004247537401025903,0.048410703385992626,0.01651839160132279,0.021691993114504555
7/27/1999,56501.0,413263.2536,30.9734,13.3226,31.0809,1.2048,0.24143839720085314,0.2171415789936173,0.9523676743658728,2.121693482876081,0.012064316974054412,0.019962195546162853,0.005509436892198849,0.048410703385992626,0.016282958679494707,0.02174241495215775
7/28/1999,56501.0,413263.2536,30.9734,13.3226,30.7335,1.2048,0.2398839733090199,0.22935846438109686,0.941722791815023,2.097978715415964,-0.011177282511124154,0.008561789935876751,0.007038307660549137,0.048410703385992626,0.0165007813540047,0.02172875902481327
7/29/1999,56501.0,413263.2536,30.9734,13.3226,29.7376,1.2048,0.2522623815118479,0.3453347987754294,0.9112068490044554,2.0299950167587086,-0.03240437958579401,-0.06918160248906025,-0.025594143918318935,0.024595604585250008,0.014013011588203098,0.022117063126989796
7/30/1999,56501.0,413263.2536,30.9734,13.3226,28.487,1.2048,0.18716114002808815,0.32711004796652765,0.8728864974843269,1.9446245844454606,-0.04205450338964822,-0.10545388315978543,-0.06232307672051729,0.024595604585250008,0.016364966545417095,0.022733025310891376
8/2/1999,56501.0,413263.2536,30.9734,13.3226,28.927,1.2048,0.24662239326331759,0.36240265812801953,0.8863687897191395,1.974660559351769,0.01544564187173103,-0.08498241263253792,-0.02186409500365194,0.024595604585250008,0.01695873051401815,0.022579886251863763
8/3/1999,56501.0,413263.2536,30.9734,13.3226,29.1586,1.2048,0.25172141422119965,0.35710974122980255,0.8934653780863725,1.9904704043251802,0.008006360839354354,-0.0776564516537187,0.019335442484836873,0.024595604585250008,0.017144073336283868,0.02221055173299144
8/4/1999,56501.0,413263.2536,30.9734,13.3226,29.066,1.2048,0.20787742533359377,0.32529494632994926,0.8906279684024097,1.984149196878989,-0.0031757354605502774,-0.08859727513600812,0.004763517951341445,0.024595604585250008,0.01690533780787867,0.02217250123867171
8/5/1999,56501.0,413263.2536,30.9734,13.3226,29.1355,1.2048,0.16373491184764455,0.2525423187224898,0.8927575577440449,1.988893515642599,0.002391109887841525,-0.07090172168028852,-6.864430921460496e-06,0.024595604585250008,0.016715759787576206,0.022156830884043185
8/6/1999,56501.0,413263.2536,30.9734,13.3226,28.0701,1.2048,0.1428588877624557,0.2899602219752213,0.8601120255918421,1.9161654982217338,-0.03656707453107033,-0.11403555838917279,-0.04861631276584932,0.024595604585250008,0.017886430568553022,0.022575864746556127
8/9/1999,56501.0,413263.2536,30.9734,13.3226,28.0238,1.2048,0.18915730646988704,0.3395216009437285,0.8586933207498607,1.9130048944986382,-0.0016494419328751952,-0.11225223569960052,-0.07687087827020755,0.024595604585250008,0.01790265407009096,0.02225900923838369
8/10/1999,56501.0,413263.2536,30.9734,13.3226,27.5374,1.2048,0.19841936452535247,0.35666569472671794,0.8437892595157407,1.879801489511301,-0.01735667539734087,-0.11664357020042593,-0.11111469768913185,0.024595604585250008,0.018029064450799152,0.022179390781676918
8/11/1999,56501.0,413263.2536,30.9734,13.3226,28.5102,1.2048,0.22985803457037246,0.3237683172502448,0.8735973819839807,1.9462082994859753,0.03532650141262428,-0.07094163038661072,-0.022240360509899193,0.03532650141262428,0.019957223324468094,0.021424197520479464
8/12/1999,56501.0,413263.2536,30.9734,13.3226,28.0701,1.2048,0.20851684899835954,0.3042420641583681,0.8601120255918421,1.9161654982217338,-0.015436580592209093,-0.0733952828164458,-0.03197872912743893,0.03532650141262428,0.02002740770341411,0.02150066236878414
8/13/1999,56501.0,413263.2536,30.9734,13.3226,29.3208,1.2048,0.26113679864083084,0.308952880707112,0.8984354412692965,2.0015427568929147,0.044556307245075644,-0.03653002546619577,0.010351339058041864,0.044556307245075644,0.022565853928312056,0.022230786014571728
8/16/1999,56501.0,413263.2536,30.9734,13.3226,29.7376,1.2048,0.4138476972010783,0.4413804907502936,0.9112068490044554,2.0299950167587086,0.01421516466126449,-0.01910168323069461,0.0055454865149999755,0.044556307245075644,0.0228161683720922,0.02217348386797268
8/17/1999,56501.0,413263.2536,30.9734,13.3226,30.7567,1.2048,0.5043555668595407,0.488498466625255,0.9424336763146768,2.099562430456478,0.03426974604541044,0.01065308469563786,0.040005274974977745,0.044556307245075644,0.024049963702063512,0.02258191002337173
8/18/1999,56501.0,413263.2536,30.9734,13.3226,30.941999999999997,1.2048,0.6133607249747113,0.5626375230725915,0.9481115598399285,2.112211671706794,0.00602470356052498,0.03245999225871876,0.061996107867667405,0.044556307245075644,0.023788537420743435,0.022500998834405688
8/19/1999,56501.0,413263.2536,30.9734,13.3226,30.5483,1.2048,0.5436854445859358,0.5226183979140135,0.9360479724470975,2.0853363005235814,-0.012723805830262891,0.013836064703266482,0.09166571371394272,0.044556307245075644,0.023978981764814028,0.021964609513174783
