,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
3/12/1999,1235.0,19098.3358,31.4038,10.0561,16.8587,1.3535,-0.10275951994465005,-0.16587987972005636,0.7888365868722977,1.338735805606289,-0.020486540819113164,0.07567298550983548,0.052202243123646186,0.02664096895002488,0.013042285735269298,0.017914817973449817
3/15/1999,1235.0,19098.3358,31.4038,10.0561,17.1792,1.3535,-0.08721779742517533,-0.16726264166582527,0.8038331243332273,1.3641864527912333,0.019010955767645443,0.09612255705781392,0.08077910312547187,0.02664096895002488,0.013436619435218476,0.01802025465357557
3/16/1999,1235.0,19098.3358,31.4038,10.0561,17.019000000000002,1.3535,-0.09870835517849474,-0.17000566650249693,0.7963371951561886,1.3514650996585407,-0.009325230511315952,0.0859009615445967,0.04153534512830248,0.02664096895002488,0.013742201534391648,0.0177427864284931
3/17/1999,1235.0,19098.3358,31.4038,10.0561,16.6023,1.3535,-0.11051641834225368,-0.1671354560114866,0.7768393569035542,1.318375287858334,-0.024484399788471833,0.067981087774597,0.022000751004930708,0.02664096895002488,0.014881997204888642,0.018008850925901865
3/18/1999,1235.0,19098.3358,31.4038,10.0561,16.8267,1.3535,-0.10594717518476993,-0.17571078652759986,0.7873392726796308,1.336194711347574,0.013516199562711106,0.08463487111391865,0.035814317108753935,0.02664096895002488,0.014992561078945539,0.01808309262936792
3/19/1999,1235.0,19098.3358,31.4038,10.0561,16.41,1.3535,-0.12228153314577295,-0.14811565986671094,0.7678414344269966,1.3031048995473675,-0.024764214017008568,0.030325861744207927,0.028272802466350777,0.021696644062118242,0.015301556106182326,0.01822196031070798
3/22/1999,1235.0,19098.3358,31.4038,10.0561,16.3459,1.3535,-0.14561173340581335,-0.1575395809049901,0.7648421269348107,1.2980147701103788,-0.003906154783668514,0.014158347655062409,-0.009291359581070524,0.021696644062118242,0.015151574807197735,0.01772470022998922
3/23/1999,1235.0,19098.3358,31.4038,10.0561,15.8972,1.3535,-0.1704178386361146,-0.14066242583325061,0.7438469744895094,1.262383864051457,-0.02745030864008713,-0.03462598831630992,-0.029000732958709974,0.019047109653111072,0.01554952494588678,0.018035088272223065
3/24/1999,1235.0,19098.3358,31.4038,10.0561,15.9292,1.3535,-0.16874794524837056,-0.14232188238732135,0.7453442886821763,1.2649249583101723,0.0020129330951361712,-0.030811166005500268,-0.027046176398729527,0.019047109653111072,0.015568639135411141,0.018037423172051974
3/25/1999,1235.0,19098.3358,31.4038,10.0561,15.8972,1.3535,-0.1690649550222928,-0.14756660411777311,0.7438469744895094,1.262383864051457,-0.002008889335308739,-0.025219977312444408,-0.011730770426273907,0.019047109653111072,0.015501685864958755,0.017904304816997157
3/26/1999,1235.0,19098.3358,31.4038,10.0561,15.6728,1.3535,-0.17946033108907566,-0.14784352324010752,0.7333470587134328,1.2445644405622172,-0.014115693329642909,-0.037102115293640714,-0.037102115293640714,0.019047109653111072,0.01576018176888404,0.017925163001759704
