,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,152.399,9128.667,33.4336,29.9356,4.4691,2.7802,0.016790662753395802,0.05462653288740249,0.9566529668636014,1.1529590836386152,-0.00801296279854391,-0.03587608404884146,0.07023803822022145,0.009774554627148158,0.007430888732071071,0.01071571546793332
6/28/1999,152.399,9128.667,33.4336,29.9356,4.4474,2.7802,0.018270903928931048,0.057995237659126175,0.9520078773867626,1.1473608172952892,-0.004855563760041148,-0.03754679824276652,0.059611169350995974,0.009774554627148158,0.007456866030012932,0.010729535869696964
6/29/1999,152.399,9128.667,33.4336,29.9356,4.4546,2.7802,0.019919406539060214,0.057995237659126175,0.9535491052316124,1.1492183065889274,0.0016189234159285082,-0.035988660217706414,0.05659392789373818,0.009774554627148158,0.007484658855931674,0.010720521060961132
6/30/1999,152.399,9128.667,33.4336,29.9356,4.5269,2.7802,0.02030742877749736,0.025198341146772663,0.9690256015069785,1.1678705949125434,0.01623041350514076,-0.0047706986765159165,0.07374288425047437,0.01623041350514076,0.007746303675272735,0.010891451810312461
7/1/1999,152.399,9128.667,33.4336,29.9356,4.5522,2.7802,0.016479099678456732,0.010829760628796148,0.974441304906242,1.1743976059026882,0.005588813536857362,0.005588813536857362,0.07606845688350972,0.01623041350514076,0.007770441223700181,0.010902056659874992
7/2/1999,152.399,9128.667,33.4336,29.9356,4.5376,2.7802,0.019525018536409977,0.02037881681533249,0.9713160373319635,1.170631030390589,-0.0032072404551645173,-0.0008367463777689821,0.07261724659606661,0.01623041350514076,0.007776363438494808,0.010915338569613065
7/5/1999,152.399,9128.667,33.4336,29.9356,4.5376,2.7802,0.02113103944910777,0.03011004343227497,0.9713160373319635,1.170631030390589,0.0,-0.008716548334243401,0.07628083491461113,0.01623041350514076,0.007559971673352564,0.010900738404931304
7/6/1999,152.399,9128.667,33.4336,29.9356,4.4788,2.7802,0.012615871580375249,0.02349084331901441,0.9587293432656905,1.1554615344925443,-0.012958392101551586,-0.010625372771654096,0.07338350189330378,0.01623041350514076,0.007704331114666833,0.010951202875552858
7/7/1999,152.399,9128.667,33.4336,29.9356,4.4421,2.7802,0.009063649993185319,0.023397392212984647,0.9508733624454149,1.1459934987874723,-0.008194159149772173,-0.014006037467815036,0.06275419876549115,0.01623041350514076,0.007834165914710702,0.01101441425163182
7/8/1999,152.399,9128.667,33.4336,29.9356,4.3981,2.7802,0.015024232633279455,0.039741518578352286,0.941454747838,1.1346421753263507,-0.009905225006190621,-0.023772529521441932,0.04858975275969768,0.01623041350514076,0.008087650501752466,0.011095160282014562
7/9/1999,152.399,9128.667,33.4336,29.9356,4.4201,2.7802,0.036657441718654704,0.04814953797082411,0.9461640551417073,1.1403178370569114,0.005002160023646507,-0.01096417623235113,0.06117206443713519,0.01623041350514076,0.008031016657195368,0.01106281731976478
7/12/1999,152.399,9128.667,33.4336,29.9356,4.4715,2.7802,0.052142403350667,0.05837784418456904,0.9571667094785512,1.1535782467364946,0.011628696183344278,-0.0058915073365941595,0.06978802813531737,0.01623041350514076,0.008328224516167831,0.011139611796996848
7/13/1999,152.399,9128.667,33.4336,29.9356,4.5009,2.7802,0.06775318482670256,0.05162147415367824,0.9634600565116876,1.1611629946855166,0.006574974840657388,0.01533984524803178,0.06575582496684973,0.01623041350514076,0.007779148992775801,0.011098859821805071
7/14/1999,152.399,9128.667,33.4336,29.9356,4.5155,2.7802,0.08728629906091978,0.06913074885624848,0.9665853240859664,1.1649295701976163,0.0032437956853075267,0.016981599513524515,0.03897747405720087,0.01623041350514076,0.007796217585532546,0.010507993713650974
