,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
1/31/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.6945,2.5543,0.08321675764142245,0.06307887831326409,0.9817118897575811,1.3995900671014083,0.0071323220001104914,0.018942977552249163,0.16362841680335527,0.016831339479989493,0.007695833922227716,0.013423836479866199
2/1/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.5924,2.5543,0.09084183708854843,0.08588985421473372,0.9774816766725086,1.393559209904546,-0.004309016860452819,0.004560299421340286,0.15288460598715803,0.016831339479989493,0.007485863852478838,0.013447148682553313
2/2/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.4829,2.5543,0.07736033436254108,0.07747044277344717,0.9729448663608982,1.3870912484642284,-0.004641325172513255,-0.00010219158367141823,0.1618985888732758,0.016831339479989493,0.007561540447847159,0.01334568741385896
2/3/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.2932,2.5543,0.07630603739060526,0.09052851426406305,0.9650852050265372,1.375886022115112,-0.008078218618654542,-0.013041820261853299,0.14473587214531092,0.016831339479989493,0.007671544337874895,0.01339943711200168
2/6/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.5413,2.5543,0.09382492333426273,0.10465570114301648,0.9753644985270904,1.3905408278990643,0.010651177167585457,-0.009804663840096928,0.20486114665329147,0.016831339479989493,0.00787382956196525,0.012310925821979558
2/7/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.2348,2.5543,0.05136268818128764,0.07316388910256699,0.9626655728603449,1.372436442680276,-0.013019671810817535,-0.020314884932916222,0.17183536164053326,0.016831339479989493,0.00833335477223933,0.0123809724805202
2/8/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.4026,2.5543,0.058955551432824826,0.08526812581166276,0.9696178721323837,1.3823480767413288,0.007221925732091572,-0.02424522913096605,0.17430465304156284,0.016831339479989493,0.008078965239155694,0.012390766230443287
2/9/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.8186,2.5543,0.10058313079318726,0.11524457300224555,0.9868536081107396,1.4069204234004347,0.017775802688590137,-0.013146391889260367,0.1882801352982848,0.017775802688590137,0.008947360964715073,0.012531247037166137
2/10/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.607,2.5543,0.10156599970135893,0.11578878602359266,0.9780865847140566,1.3944216047632547,-0.008883813490297543,-0.012746844654103806,0.16803887030696463,0.017775802688590137,0.008928283479315116,0.012596921236580766
2/13/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.7675,2.5543,0.10759788616219135,0.10691284613162089,0.9847364299653213,1.403902041394953,0.006798830855254678,0.0006188744063857499,0.18402371285525687,0.017775802688590137,0.008952904387008853,0.012550694810090125
2/14/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.5778,2.5543,0.09731556118174889,0.1054600964312975,0.9768767686309605,1.3926968150458368,-0.007981487325128822,-0.007367552456973514,0.15176591275462847,0.017775802688590137,0.009123701247901914,0.012429822541553783
2/15/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.461,2.5543,0.09187966565519301,0.11252489900776297,0.9720375042985759,1.3857976561761647,-0.004953812484625453,-0.018557097797076705,0.14890011948835458,0.017775802688590137,0.009042444652843217,0.012449176645599441
2/16/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.5924,2.5543,0.09980187865650425,0.10626762697247294,0.9774816766725086,1.393559209904546,0.005600784280294979,-0.005844651111832189,0.1415935198536742,0.017775802688590137,0.009022370458770806,0.012394115633949676
2/17/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.5194,2.5543,0.09209188293144988,0.10863155353104781,0.9744571364647683,1.3892472356110008,-0.0030942167816754296,-0.014918996800080353,0.13726324544140178,0.017775802688590137,0.008922244831081493,0.012410630351287406
2/20/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.5194,2.5543,0.08499331088250228,0.09275730036444152,0.9744571364647683,1.3892472356110008,0.0,-0.007104953203561304,0.16121100808721156,0.017775802688590137,0.008769010798531972,0.012068357669902904
2/21/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.4026,2.5543,0.07680840001288347,0.09125627493293709,0.9696178721323837,1.3823480767413288,-0.0049661130811160525,-0.013239671791066221,0.15544430291001365,0.017775802688590137,0.008819053016959403,0.012100769833864397
2/22/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.5194,2.5543,0.08042777211212493,0.08516854551969355,0.9744571364647683,1.3892472356110008,0.004990898447181147,-0.004368697772472063,0.12196960300726079,0.017775802688590137,0.008864528420434978,0.011364852753629267
2/23/2012,186.0,34.3186,44415.9722,15.7333,22.5687,23.5851,2.5543,0.08099771288712465,0.10094005380902815,0.9771792226517346,1.3931280124751915,0.0027934386081276408,-0.01811392078334062,0.1329186281102892,0.017775802688590137,0.008005989068567204,0.011309414436839055
