,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
9/1/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,19.275,4.61,1.0494417862838916,0.8553960659223818,1.0,3.0474308300395254,0.0,0.10458452722063027,0.5594660194174756,0.03432432432432431,0.012552918630648177,0.03473283625827791
9/2/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,19.565,4.61,1.0802764486975014,0.8474215842636896,1.0,3.093280632411067,0.01504539559014284,0.12604316546762595,0.3309523809523811,0.03432432432432431,0.012559896000921143,0.025828129984621008
9/3/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,18.75,4.61,0.9736842105263157,0.7878947368421052,0.9583439815997955,2.9644268774703555,-0.0416560184002045,0.10391521931115699,0.2755102040816326,0.03432432432432431,0.01514846174439373,0.0264798756406752
9/4/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,18.87,4.61,1.0966666666666667,0.8761111111111113,0.9644773830820342,2.983399209486166,0.006399999999999961,0.11755996446550188,0.3788819875776397,0.03432432432432431,0.014949839396253542,0.02476367774996831
9/5/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.72,4.61,1.084705882352941,0.9623529411764706,0.90569895221058,2.801581027667984,-0.06094329623741401,0.062350119904076795,0.20421338769962616,0.03432432432432431,0.02055682223641344,0.024511125162451994
9/8/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.4,4.61,1.0470588235294116,0.9876470588235293,0.8893432149246101,2.75098814229249,-0.018058690744921058,0.029890500147972787,0.16778523489932873,0.03432432432432431,0.020925211315917343,0.024626702327616323
9/9/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.24,4.61,1.0282352941176467,1.0058823529411764,0.8811653462816252,2.725691699604743,-0.00919540229885063,0.011143695014662613,0.11225806451612885,0.03432432432432431,0.020977360178736474,0.024196359664702946
9/10/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,16.5,4.61,1.0307692307692307,1.1384615384615384,0.8433427038078201,2.608695652173913,-0.04292343387470987,-0.05035971223021585,0.0927152317880795,0.03432432432432431,0.02257105554480906,0.024605993981881104
9/11/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.0,4.61,1.0923076923076924,1.1513846153846155,0.8688985433171479,2.6877470355731226,0.030303030303030276,-0.027459954233409634,0.07594936708860756,0.03432432432432431,0.023611447790411053,0.024216126642541424
9/12/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.285,4.61,1.1130806845965773,1.1454767726161372,0.8834653718374648,2.7328063241106717,0.016764705882353015,-0.015099715099715083,0.13269986893840113,0.03432432432432431,0.023910451229226613,0.02385513299986411
9/15/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.475,4.61,1.123329283110571,1.1512758201701092,0.8931765908510094,2.7628458498023716,0.010992189759907456,-0.012990680598700788,0.13658536585365866,0.03432432432432431,0.023956970818931063,0.02387143458465426
9/16/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,18.015,4.61,1.3533638145003266,1.3514043109079035,0.9207768975210835,2.8482213438735178,0.03090128755364807,0.0008333333333334636,0.21313131313131328,0.03432432432432431,0.02465375017568833,0.023674965480090186
9/17/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.835,4.61,1.2018518518518522,1.2314814814814814,0.9115767952977255,2.8197628458498025,-0.009991673605328821,-0.01327800829875514,0.208742799051169,0.03432432432432431,0.02473714369976161,0.023703137437974264
9/18/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,18.47,4.61,1.2662576687116562,1.234969325153374,0.9440327114745718,2.920158102766798,0.0356041491449397,0.013999451001921459,0.28486956521739115,0.0356041491449397,0.02591158029980421,0.0237510857977668
9/19/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.965,4.61,1.2498434564809018,1.2986850344395742,0.9182213135701507,2.840316205533597,-0.027341635083919846,-0.021247616453282547,0.28550983899821114,0.0356041491449397,0.02657757539532777,0.023740605268303586
9/22/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.625,4.61,1.22397476340694,1.284542586750789,0.9008433427038077,2.7865612648221343,-0.018925688839409927,-0.026512013256006606,0.20061307901907366,0.0356041491449397,0.026731484381267934,0.023166142251663368
9/23/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.965,4.61,1.3376707872478857,1.4001301236174366,0.9182213135701507,2.840316205533597,0.019290780141844044,-0.026023312550826794,0.20691971783674834,0.0356041491449397,0.026750569171750935,0.023215840679228796
9/24/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,17.15,4.61,1.36551724137931,1.5510344827586207,0.8765652951699462,2.7114624505928853,-0.045365989423879816,-0.07272235739389032,0.11945169712793713,0.0356041491449397,0.02842974456483266,0.023765503108264908
9/25/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,16.985,4.61,1.4177935943060498,1.6334519572953736,0.868131868131868,2.6853754940711463,-0.00962099125364424,-0.08189189189189194,0.12669983416252073,0.0356041491449397,0.028451313305891526,0.023700872776339386
9/26/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,16.45,4.61,1.3720259552992071,1.7591925018024517,0.8407871198568873,2.6007905138339917,-0.03149838092434498,-0.14031878756205918,0.09447771124417836,0.0356041491449397,0.02767129657318603,0.02407028208291269
9/29/2003,88.78299999999999,13.3327,15992.4667,4.4913,18.6679,16.815,4.61,1.3533939818054588,1.6976906927921624,0.8594428826986966,2.658498023715415,0.022188449848024483,-0.12762645914396875,0.11100099108027761,0.0356041491449397,0.02823533559552237,0.02419980032712882
