,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/28/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,17.7614,10.5387,-0.2888897785963086,-0.2063858750050045,0.7010036665601035,1.0944168191705024,-0.009126917712691918,-0.10395972172474166,-0.002678405983458032,0.019288761811155464,0.015138521730178392,0.01617765853055434
6/29/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,17.7796,10.5387,-0.29224155089367465,-0.21093507424067515,0.7017219808107479,1.0955382615178906,0.001024693999347015,-0.1030415546284198,0.0075768308785608696,0.019288761811155464,0.015157434220593848,0.016134569958531127
6/30/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,18.1795,10.5387,-0.2731979370727222,-0.19810098748650706,0.717505160416938,1.1201791843047366,0.022492069562869865,-0.09364888647365877,0.03023931904861743,0.022492069562869865,0.015907731294674966,0.01637604422718436
7/1/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,18.8522,10.5387,-0.25594483978040106,-0.21408527416318357,0.7451138488049927,1.1616294187601284,0.03700321791028349,-0.05326222329356001,0.07388124316441846,0.03700321791028349,0.01828581988564875,0.01698695596560189
7/2/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,18.8522,10.5387,-0.25488615119500735,-0.21081692100343474,0.7504557939572469,1.1616294187601284,0.0,-0.05584158019151397,0.08622527469361652,0.03700321791028349,0.018256852263211214,0.016910760218029983
7/5/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,18.8522,10.5387,-0.24954420604275307,-0.19288642968034708,0.7597129144183534,1.1616294187601284,0.0,-0.0701980222435945,0.1023517992258125,0.03700321791028349,0.017800301064872653,0.01678633695664166
7/6/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,18.5068,10.5387,-0.2542061422774221,-0.20777839120850783,0.7562222394750068,1.140346661244308,-0.018321469112358324,-0.05860449974311899,0.04771286231884031,0.03700321791028349,0.017060053327987768,0.016488733028893737
7/7/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,18.3977,10.5387,-0.24490348742237744,-0.19314007560117707,0.7517642107327758,1.1336241689311177,-0.005895130438541396,-0.06415414901138916,0.04368125166641135,0.03700321791028349,0.01706132805248531,0.01650682122463157
7/8/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,18.3613,10.5387,-0.2447235168053573,-0.2002986339348518,0.7502768390900881,1.1313812842363409,-0.00197850818308809,-0.055551840669091024,0.02267436031680603,0.03700321791028349,0.016961778796627067,0.016353430605270038
7/9/1999,1374.0,59.8211,228791.8395,25.6316,25.0238,18.5613,10.5387,-0.23194408812162237,-0.20378538975279925,0.7584492107532066,1.1437048265153336,0.010892474933692053,-0.035365714226319844,0.01034221856918105,0.03700321791028349,0.017110352089788283,0.016149256071108176
