,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/11/1999,102.0,7480.5479,2.5081,9.0341,24.7711,5.5397,0.283356992612088,0.3778041426188232,0.8815902798044003,1.917104580879337,0.010224139899838613,-0.06854903907257626,-0.07252481456936288,0.06335058380736491,0.024580743845149293,0.022006289474466634
6/14/1999,102.0,7480.5479,2.5081,9.0341,24.6116,5.5397,0.2587444060861783,0.30769466820099733,0.8759137596002591,1.9047604306134926,-0.006438955072645136,-0.03743248581273195,-0.06815892896356934,0.06335058380736491,0.0232253773801574,0.021979506278087084
6/15/1999,102.0,7480.5479,2.5081,9.0341,24.2697,5.5397,0.2558966291669684,0.3278308477277667,0.8637457203664293,1.878299835153354,-0.013891823367842782,-0.054174233626138935,-0.11250191982798341,0.06335058380736491,0.02334490551145077,0.021540595033176627
6/16/1999,102.0,7480.5479,2.5081,9.0341,24.7027,5.5397,0.24740950957421015,0.3107023107376585,0.879155960168267,1.9118109139314765,0.01784117644635086,-0.04828922680988279,-0.07822994716260179,0.06335058380736491,0.02357209322234926,0.021548672738090673
6/17/1999,102.0,7480.5479,2.5081,9.0341,25.0901,5.5397,0.3265078458740429,0.3373514359429852,0.8929433202126827,1.9417928814110255,0.015682496245349675,-0.00810825769315926,-0.06694954333144909,0.06335058380736491,0.023240009401488928,0.021645063435449075
6/18/1999,102.0,7480.5479,2.5081,9.0341,25.5915,5.5397,0.3211789243270591,0.3129394637123002,0.9107878796506538,1.9805976271370085,0.019983977744209902,0.006275583027614884,-0.018354430379746822,0.06335058380736491,0.023628204115568336,0.02146398243883065
6/21/1999,102.0,7480.5479,2.5081,9.0341,26.1384,5.5397,0.34466473923019136,0.3001142057555586,0.9302517598992107,2.022923744882402,0.021370376882949405,0.03426663079090231,-0.0008715196550617144,0.06335058380736491,0.023995550095482914,0.02162936157823655
6/22/1999,102.0,7480.5479,2.5081,9.0341,26.0244,5.5397,0.33880011935015886,0.23915302542364159,0.9261945605056552,2.0141009666359677,-0.004361399320539916,0.08041548693507816,-0.025598975591674455,0.06335058380736491,0.021319303741814847,0.02147321074192361
6/23/1999,102.0,7480.5479,2.5081,9.0341,26.2295,5.5397,0.37023764124478276,0.2333366418873386,0.9334939604672187,2.029974228200386,0.007881065461643688,0.11100051251858423,-0.006902217948038247,0.06335058380736491,0.02062092882925154,0.021450815053770517
6/24/1999,102.0,7480.5479,2.5081,9.0341,25.8877,5.5397,0.2968035385994878,0.18265064345003412,0.9213294801802251,2.00352137201941,-0.01303112907222792,0.09652292144064312,-0.01303112907222792,0.06335058380736491,0.020978980919552675,0.021496999651555732
