,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
9/21/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.2663,5.0739,0.2086933333333334,0.21936000000000022,0.8988616983302266,1.1841885254467552,0.023160270880361322,-0.008747758386913329,-0.08708962739174209,0.03421524663677111,0.019385366536238003,0.021181260613456238
9/22/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.2188,5.0739,0.12698090207232826,0.15999593661113343,0.8800222107642882,1.1593687950674052,-0.02095927282354515,-0.028461336369209222,-0.08785200411099703,0.03421524663677111,0.019906884856552367,0.021193295352189254
9/23/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.1975,5.0739,0.08181952444247531,0.12307389356569676,0.8715741879189306,1.148239105444665,-0.009599783666846995,-0.036733441458817406,-0.08677222291484854,0.03421524663677111,0.019991308520284187,0.021185310814456976
9/24/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.2275,5.0739,0.10683229813664585,0.13356521739130423,0.8834728116447864,1.163914724631623,0.013651877133106005,-0.023583044755183358,-0.07908880436580124,0.03421524663677111,0.020265663366053666,0.021253288494193855
9/27/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.2013,5.0739,0.1288717948717948,0.1468205128205129,0.8730813469242057,1.150224683875013,-0.011762065095398566,-0.01565085185350812,-0.04964814574968712,0.03421524663677111,0.019968887049792872,0.020634935617406504
9/28/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.275,5.0739,0.18181818181818166,0.15522077922077937,0.9023122992107245,1.1887344550109729,0.03348021623586073,0.02302365320622335,0.0055248618784529135,0.03421524663677111,0.02125545061318257,0.020867433663426603
9/29/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.2913,5.0739,0.19725154143588686,0.19134705820879927,0.9087772181017729,1.1826064516129033,0.007164835164835237,0.004956140350877325,-0.0032625717765790707,0.03421524663677111,0.020591288109300943,0.02078923214148469
9/30/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.2838,5.0739,0.1235855554462264,0.08914690544130677,0.9058025621703089,1.1787354838709676,-0.003273250992886223,0.03161983919053202,-0.0065251435531582525,0.03421524663677111,0.019485277513013658,0.02079373057899122
10/1/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.3688,5.0739,0.18363064008394536,0.12052166092040184,0.9395153293935667,1.2226064516129032,0.03721867063665818,0.05632107023411348,0.002666666666666595,0.03721867063665818,0.020858935375195425,0.021030463378303253
10/4/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.25,5.0739,0.11801242236024834,0.10062111801242213,0.8923967794391782,1.1612903225806452,-0.050151975683890515,0.015801354401805856,-0.05115337578543422,0.03721867063665818,0.023677063665264956,0.02196208632997726
10/5/2004,172.53400000000002,38.6822,10811.9649,5.0256,18.1273,2.2763,5.0739,0.14889214152324226,0.11795285923383636,0.902827906238845,1.1748645161290323,0.01168888888888886,0.027674943566591503,-0.04457502623294851,0.03721867063665818,0.02378912200253867,0.022006782561752668
