,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-445.0,11711.4221,-0.9895,9.2432,32.4216,0.4247,0.10691325738048008,0.0933318766409128,0.9679331973954866,1.500166574125486,-0.014511079364114554,0.012422011129222588,0.034855216791787935,0.023751842111051635,0.01462263534474959,0.015370087093727166
6/28/1999,-445.0,11711.4221,-0.9895,9.2432,32.8592,0.4247,0.11887388016248934,0.10262155195603406,0.9809975608809489,1.5204145844900983,0.013497174723024363,0.014739715705378575,0.050146851560078254,0.023751842111051635,0.014714120961742443,0.015452579425475635
6/29/1999,-445.0,11711.4221,-0.9895,9.2432,33.0979,0.4247,0.11003826688891216,0.08602503949102691,0.9881238487328226,1.5314593744216178,0.007264327798607528,0.0221111176305282,0.058445233976009314,0.023751842111051635,0.014779599972266584,0.015472009807464276
6/30/1999,-445.0,11711.4221,-0.9895,9.2432,33.2968,0.4247,0.13755487606976313,0.07028236620488215,0.9940619243664112,1.5406625948547104,0.006009444707972156,0.06285491753304573,0.06480590208600479,0.023751842111051635,0.012620901579630209,0.015484141621658353
7/1/1999,-445.0,11711.4221,-0.9895,9.2432,34.172,0.4247,0.17686765576999885,0.09603463239244525,1.0,1.5811586155839348,0.026284808149731997,0.07375042812389032,0.07578199768296967,0.026284808149731997,0.01333689130420208,0.01569916780785271
7/2/1999,-445.0,11711.4221,-0.9895,9.2432,34.6494,0.4247,0.19170845456984265,0.1205623998294092,1.0,1.603248195446974,0.013970502165515652,0.06349138142709809,0.1186752589301856,0.026284808149731997,0.012751430776892492,0.015414644762722097
7/5/1999,-445.0,11711.4221,-0.9895,9.2432,34.6494,0.4247,0.19090974706907393,0.12254381352058275,1.0,1.603248195446974,0.0,0.060902686135767325,0.11953912315789816,0.026284808149731997,0.012768020466569845,0.015412795442842346
7/6/1999,-445.0,11711.4221,-0.9895,9.2432,34.6096,0.4247,0.17691305841106408,0.11874343270842758,0.9988513509613443,1.6014066259485473,-0.0011486490386557469,0.05199550138302067,0.1240313602203269,0.026284808149731997,0.012755284721998213,0.015391530114315967
7/7/1999,-445.0,11711.4221,-0.9895,9.2432,35.2254,0.4247,0.210707031129167,0.10203506456458022,1.0,1.6299000555247087,0.01779275114419132,0.09861026210406809,0.1396117761242317,0.026284808149731997,0.011448776960967747,0.01551860702062461
7/8/1999,-445.0,11711.4221,-0.9895,9.2432,36.065,0.4247,0.2521612932345445,0.11116164737415901,1.0,1.6687488432352398,0.023835073554878017,0.12689390980474236,0.15268202723736635,0.026284808149731997,0.012084723194179017,0.015707416759472407
7/9/1999,-445.0,11711.4221,-0.9895,9.2432,36.5848,0.4247,0.24656031292804426,0.08912179797332764,1.0,1.6928002961317787,0.014412865659226393,0.14455547143366632,0.1611752420913648,0.026284808149731997,0.012113130185482898,0.015770260671225275
7/12/1999,-445.0,11711.4221,-0.9895,9.2432,36.6648,0.4247,0.2551280295768863,0.10034232507188823,1.0,1.6965019433647974,0.002186700487634141,0.14067049951467192,0.1823769566647533,0.026284808149731997,0.012148936481666026,0.015595826656477643
7/13/1999,-445.0,11711.4221,-0.9895,9.2432,35.9051,0.4247,0.2153217098738478,0.10818550147747219,0.9792798542471253,1.6613501758282436,-0.02072014575287473,0.09667714318003418,0.18447079160233826,0.026284808149731997,0.013157943346522104,0.015552115030161722
7/14/1999,-445.0,11711.4221,-0.9895,9.2432,35.5852,0.4247,0.21735798710295406,0.12750628602705993,0.9705548646112894,1.6465482139552101,-0.008909597800869418,0.07969064313823049,0.1942905279550009,0.026284808149731997,0.013464183415689503,0.015417508475094828
7/15/1999,-445.0,11711.4221,-0.9895,9.2432,36.105,0.4247,0.2527019572058553,0.15181963589933978,0.9847319499901812,1.670599666851749,0.014607196250126409,0.08758517233277296,0.21987890746421934,0.026284808149731997,0.013654433814920963,0.01543659907699622
7/16/1999,-445.0,11711.4221,-0.9895,9.2432,35.1854,0.4247,0.1956964253552047,0.13827578355710957,0.9596506731251774,1.6280492319081994,-0.02547015648802098,0.050445281036073375,0.19847403648006545,0.026284808149731997,0.015037455590629927,0.01579446522379417
7/19/1999,-445.0,11711.4221,-0.9895,9.2432,34.7456,0.4247,0.17762932685301003,0.12785081698847978,0.9476555170081387,1.607699426244679,-0.012499502634615411,0.04413572177696867,0.15531378638452398,0.026284808149731997,0.015270333375110906,0.015671997801708717
7/20/1999,-445.0,11711.4221,-0.9895,9.2432,34.2258,0.4247,0.144867034621174,0.12044489044990803,0.9334784316292466,1.5836479733481401,-0.014960167618346065,0.02179682765250468,0.1275920007906961,0.026284808149731997,0.015677385604168145,0.015797962873154596
7/21/1999,-445.0,11711.4221,-0.9895,9.2432,32.7064,0.4247,0.07371745417896403,0.08134690701850578,0.8920381401234972,1.5133444382750325,-0.04439341081873904,-0.0070555090045781865,0.04867194213233117,0.026284808149731997,0.018216469325519277,0.016508517892144952
7/22/1999,-445.0,11711.4221,-0.9895,9.2432,33.746,0.4247,0.14983338217155162,0.138596048874563,0.9203923108812813,1.5614473440681105,0.03178582785020678,0.009869464511224946,0.10815204006239232,0.03178582785020678,0.01927301791198885,0.01665754293876938
7/23/1999,-445.0,11711.4221,-0.9895,9.2432,33.9859,0.4247,0.1704584590376217,0.13302613271617703,0.9269353712552639,1.5725476587081253,0.007108990695193551,0.03303747834280668,0.1123989015413116,0.03178582785020678,0.018955888697474953,0.016670150910139517
7/26/1999,-445.0,11711.4221,-0.9895,9.2432,33.9859,0.4247,0.17282540427499682,0.1188427002740029,0.9269353712552639,1.5725476587081253,0.0,0.04824869839859858,0.10663245536630095,0.03178582785020678,0.018595652524272907,0.016666028444514314
7/27/1999,-445.0,11711.4221,-0.9895,9.2432,33.626,0.4247,0.1596212074185961,0.13317745728927433,0.9171194169885012,1.5558948732185822,-0.010589685722608544,0.023335930272191607,0.08997319312940211,0.03178582785020678,0.018620560925962523,0.016734015839275078
7/28/1999,-445.0,11711.4221,-0.9895,9.2432,33.1862,0.4247,0.14445433038824174,0.14140922979301607,0.9051242608714626,1.5355450675550621,-0.013079164931897869,0.0026678429749318333,0.08551671802118288,0.03178582785020678,0.01882095324032377,0.01678286752186444
7/29/1999,-445.0,11711.4221,-0.9895,9.2432,32.5465,0.4247,0.15026029425797605,0.17677744045746757,0.8876770090113679,1.5059457708680364,-0.01927608463759023,-0.022533696931837155,0.054301559432721636,0.03178582785020678,0.019241311727063063,0.016948627873321583
7/30/1999,-445.0,11711.4221,-0.9895,9.2432,31.9867,0.4247,0.11358018674149317,0.18965889389434687,0.8724089590015491,1.480043494354988,-0.017200006145054125,-0.0639500175582347,0.04153547088837595,0.03178582785020678,0.018493949576673652,0.01708634895690735
8/2/1999,-445.0,11711.4221,-0.9895,9.2432,32.7064,0.4247,0.13709183957278737,0.20464343327585244,0.8920381401234972,1.5133444382750325,0.02249997655275493,-0.05607600708814575,0.05000850757816533,0.03178582785020678,0.018972271401363556,0.01722225943229979
8/3/1999,-445.0,11711.4221,-0.9895,9.2432,31.9067,0.4247,0.11382352222466574,0.20956779456889407,0.8702270297396959,1.4763418471219694,-0.024450872000587043,-0.07915577181711653,0.02368416831095499,0.03178582785020678,0.019548056934109638,0.017516464904522692
8/4/1999,-445.0,11711.4221,-0.9895,9.2432,31.6269,0.4247,0.11930647866986588,0.22486710693025858,0.8625957321463638,1.4633953359244865,-0.008769318042918917,-0.08618129074014147,-0.013619805636297944,0.03178582785020678,0.01956833704311175,0.017176646958035398
8/5/1999,-445.0,11711.4221,-0.9895,9.2432,31.9467,0.4247,0.12363751472838236,0.2389567908833512,0.8713179943706225,1.4781926707384787,0.010111645466359453,-0.09307772232536748,-0.007955805222511048,0.03178582785020678,0.019207125444029555,0.017215888539049404
