,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.8529,3.3393,0.00695053763440856,0.028335483870967737,0.9102063667325009,1.1302962419373526,-0.0021141288595639685,-0.0207956902897678,0.09167381654045581,0.01898067977318263,0.009357177087402968,0.012061976770426846
6/28/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.9523,3.3393,0.019980465068457853,0.02849700978460179,0.9256644324526072,1.1494921015024526,0.016983034051495816,-0.00828057314228603,0.14949210150245262,0.01898067977318263,0.010097289740951603,0.011323620720953546
6/29/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.9399,3.3393,0.017855612865637305,0.02849700978460179,0.9237360620810848,1.1470974469893012,-0.002083228331905329,-0.010346551149616912,0.11551607572115374,0.01898067977318263,0.010103936769029716,0.010833388226597346
6/30/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.6417,3.3393,-0.03324365543122498,0.017855612865637305,0.8773618649207657,1.0895098682940016,-0.05020286536810381,-0.05020286536810381,0.059513972355769384,0.01898067977318263,0.01473740108308799,0.012659894537780434
7/1/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.7784,3.3393,-0.00784670592881287,0.017753816040246617,0.898620593129403,1.1159090031285002,0.024230285197724077,-0.025153943483762098,0.08767834958400789,0.024230285197724077,0.015838235648794195,0.012985549570929011
7/2/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.8281,3.3393,-0.0013023287694706731,0.00933906814949359,0.9063496259894562,1.12550693291105,0.008600996815727457,-0.01054293572374454,0.10211607193509953,0.024230285197724077,0.015926892792751977,0.01299328686317945
7/5/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.8281,3.3393,0.0006868013942069595,0.024158239041225382,0.9063496259894562,1.12550693291105,0.0,-0.02291778433476399,0.10466460698648583,0.024230285197724077,0.01564544039724112,0.01298526631270189
7/6/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.7784,3.3393,-0.00784670592881287,0.028416407685307732,0.898620593129403,1.1159090031285002,-0.008527650520752883,-0.03526111927340725,0.08518629807692313,0.024230285197724077,0.01568179180116623,0.01301072457868248
7/7/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.8032,3.3393,-0.00952380952380949,0.003208738692609625,0.9024773338724477,1.1206983121548029,0.0042918454935623185,-0.01269182347136677,0.08984375000000022,0.024230285197724077,0.015225403413619014,0.013014606909524001
7/8/1999,-112.7,64.1386,12935.7084,23.0862,23.7668,5.8778,3.3393,0.0072142159466730416,0.019980465068457853,0.9140786588495093,1.1351048626936,0.012854976564653953,-0.012516170219915024,0.09135133127854722,0.024230285197724077,0.015233244877302042,0.013033136959080871
