,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/17/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,11.9005,18.5652,1.0457436567420753,0.6862751839372896,1.0,4.439656780451408,0.0868036529680365,0.21317307888351977,0.2671969503364853,0.09411776840324682,0.04149211148376261,0.05109576261600241
6/18/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,12.3188,18.5652,1.0836236933797907,0.633452860187409,1.0,4.595709755642604,0.035149783622536956,0.27559462789806677,0.3875803962648823,0.09411776840324682,0.04140444306265581,0.05065499972956419
6/21/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,12.8891,18.5652,1.346032034947215,0.6920458682198762,1.0,4.808468569296773,0.04629509367795559,0.386506169253773,0.4580594803108631,0.09411776840324682,0.04038014064669543,0.05088261898085352
6/22/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,12.6229,18.5652,1.2975791772843102,0.5743902439024389,0.9793468900078361,4.709158739041223,-0.020653109992163854,0.4593454108234969,0.3551008577470989,0.09411776840324682,0.036387351358866005,0.050648579832435335
6/23/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,12.794,18.5652,1.2508400626308473,0.4983374676729826,0.9926216725760527,4.772990113784742,0.013554729895665973,0.5022250402151067,0.4504353346635226,0.09411776840324682,0.035568108561249354,0.05008655920296873
6/24/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,12.3948,18.5652,1.123779171378637,0.4136767074466263,0.9616497660814177,4.624062674874091,-0.031202125996560914,0.5023089509726681,0.29622890129886414,0.09411776840324682,0.03556419965866806,0.04933038010118366
6/25/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,12.5849,18.5652,1.1150026049106767,0.40893736450262996,0.9763986624357015,4.6949822794254805,0.015337076838674246,0.5011331647502266,0.32931595403075864,0.09411776840324682,0.035569121955416685,0.049307330556157394
6/28/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,13.0221,18.5652,1.231263493368973,0.44624927178643636,1.0,4.858086177951875,0.034740045610215375,0.5427931663625809,0.47629466715037183,0.09411776840324682,0.035568562192811015,0.04851659217123626
6/29/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,13.6875,18.5652,1.3529361204703294,0.4509729766898165,1.0,5.106323447118076,0.05109774921095678,0.621626424661754,0.3308733446123331,0.09411776840324682,0.03577506493758775,0.04444726348606764
6/30/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,14.2008,18.5652,1.4019485132438008,0.4533845269104564,1.0,5.297817571348629,0.037501369863013556,0.652658652111676,0.3807829181494662,0.09411776840324682,0.03586791576697002,0.0446231508594552
7/1/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,13.3833,18.5652,1.4444383561643837,0.6319452054794523,0.9424328206861586,4.9928371572467825,-0.057567179313841366,0.4978679112245239,0.3085474598146192,0.09411776840324682,0.03989926505334464,0.045318011953039014
7/2/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,13.5544,18.5652,1.2563214755380954,0.4556955703893595,0.9544814376654837,5.0566685319903,0.012784589749912145,0.5499954258530784,0.3925801115757246,0.09411776840324682,0.03880746929809402,0.04480328655137395
7/5/1999,395.82599999999996,45.32899999999999,38711.3997,21.5479,19.22,13.5544,18.5652,1.292615270119414,0.5627177700348431,0.9544814376654837,5.0566685319903,0.0,0.4670693032871165,0.38177666320060344,0.09411776840324682,0.038234148240392465,0.04480967785871946
