,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,329.0,34.6174,13316.714,10.1073,17.8231,15.2726,13.7211,-0.10087659910161839,-0.10689917049823094,0.8699510700228416,1.3425517326253977,-0.006647240939719579,0.006743439483728242,-0.017542279660090143,0.03063019114985166,0.023225113857692704,0.02831460354039472
6/28/1999,329.0,34.6174,13316.714,10.1073,17.8231,15.2385,13.7211,-0.08940159908214118,-0.06903063114744301,0.8680086809412327,1.339554141247209,-0.002232756701543992,-0.02188145884950632,-0.011058544088156763,0.03063019114985166,0.022426712217362872,0.028293481154303614
6/29/1999,329.0,34.6174,13316.714,10.1073,17.8231,15.3407,13.7211,-0.0986450915415169,-0.08462008507838026,0.8738301520303946,1.3485381247912236,0.006706696853364891,-0.015321514307354511,0.015799127273690372,0.03063019114985166,0.022486503570936924,0.028186642579121075
6/30/1999,329.0,34.6174,13316.714,10.1073,17.8231,15.7498,13.7211,-0.0863113194412215,-0.06851301805355736,0.897133124854036,1.384500430738937,0.026667622729080298,-0.019107407545806643,0.04288807516835402,0.026667622729080298,0.022227427798440523,0.028376521978567593
7/1/1999,329.0,34.6174,13316.714,10.1073,17.8231,16.3635,13.7211,-0.061661352845379436,-0.05775626763309405,0.9320904321673301,1.4384482849557831,0.03896557416602109,-0.00414445337033531,0.05263327179276045,0.03896557416602109,0.02330628105135584,0.028556474880346044
7/2/1999,329.0,34.6174,13316.714,10.1073,17.8231,16.3294,13.7211,-0.03770927498482557,-0.0477568314544502,0.9301480430857213,1.4354506935775946,-0.0020839062547742815,0.010551460804881563,0.10879942419077748,0.03896557416602109,0.023000752986228428,0.027716932228978575
7/5/1999,329.0,34.6174,13316.714,10.1073,17.8231,16.3294,13.7211,-0.03961088990701589,-0.027583529868434264,0.9301480430857213,1.4354506935775946,0.0,-0.012368527691591136,0.1139580732524268,0.03896557416602109,0.022418193507195514,0.02770515952625904
7/6/1999,329.0,34.6174,13316.714,10.1073,17.8231,16.2953,13.7211,-0.024291958565355376,0.012448356385845072,0.9282056540041126,1.4324531021994058,-0.002088257988658415,-0.03628858175280458,0.10392786494322959,0.03896557416602109,0.021788623347615357,0.02770289931390397
7/7/1999,329.0,34.6174,13316.714,10.1073,17.8231,16.2953,13.7211,-0.020361909342310858,0.01857640976313557,0.9282056540041126,1.4324531021994058,0.0,-0.038228176828188465,0.12735914323666164,0.03896557416602109,0.021776651231043446,0.02755119704504345
7/8/1999,329.0,34.6174,13316.714,10.1073,17.8231,16.0566,13.7211,-0.03080238306502725,0.02476021464486422,0.9146089304328507,1.4114699625520841,-0.01464839554963715,-0.054220096482909375,0.07045427272363636,0.03896557416602109,0.021940348228310088,0.027252659540573623
