,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/15/1999,980.0,69.4005,149304.4542,18.2066,25.7942,26.7478,6.5056,0.16159936074209513,0.13168625986354976,0.8270170827858082,1.4462726353525142,0.007784124304854423,0.026432326643386128,0.04959190080050235,0.1093766614916738,0.03141973134425133,0.024339093851626595
6/16/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.1611,6.5056,0.1667991219290068,0.07901779769141215,0.8397959341423823,1.4686200613161895,0.015451738086870614,0.08135299012250341,0.0629402648633417,0.1093766614916738,0.030311968019871287,0.024405929664656302
6/17/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.0693,6.5056,0.15939403284249476,0.062040106562502695,0.8369575635773362,1.463656369800425,-0.003379833659167053,0.09166690191681814,0.07478420379737782,0.1093766614916738,0.03011775301330589,0.02433167413754366
6/18/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.4137,6.5056,0.13519456372754024,0.04867302444417754,0.8476060910566591,1.482278323591593,0.012722900111934887,0.08250573559782493,0.11381661276429766,0.1093766614916738,0.0299377727777644,0.024172712468241667
6/21/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.3218,6.5056,0.11552610412252018,0.017099251601523813,0.8447646285846796,1.4773092250044608,-0.0033523384293254743,0.09677212166463933,0.0927714650252176,0.1093766614916738,0.02962575726001529,0.02411626599928354
6/22/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.6892,6.5056,0.1305267369744776,-0.01665013085745326,0.8561242946587307,1.497174805210254,0.01344713745068038,0.14966887417218544,0.08848896541421958,0.1093766614916738,0.02835611364205168,0.024079484456977725
6/23/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.758000000000003,6.5056,0.09843493401396897,-0.08418115985041841,0.8582515266290485,1.5008948703113936,0.0024847232856133328,0.19940198416813582,0.08337854240741249,0.1093766614916738,0.026356496871128066,0.024069156261816823
6/24/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.6203,6.5056,0.12351629935160546,-0.06793904929262362,0.8539939707814794,1.493449333037747,-0.004960732041213389,0.20541076042175832,0.055329700980429664,0.1093766614916738,0.02620012713065787,0.023946192189525976
6/25/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.0463,6.5056,0.1073838418578752,-0.03738597094613405,0.8362464249826079,1.4624127433857999,-0.020781816272813947,0.15039237787371595,0.02888891425006368,0.1093766614916738,0.026686880127531752,0.02410047432021504
6/28/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.2989,6.5056,0.10632046491647551,0.05700414177683033,0.8440565818968848,1.4760710056612039,0.009339539974044575,0.046656698105973504,0.03669202170685115,0.02816885208189568,0.012835361435800816,0.024124604006802327
6/29/1999,980.0,69.4005,149304.4542,18.2066,25.7942,27.6892,6.5056,0.08295884324607616,0.020099264317645638,0.8561242946587307,1.497174805210254,0.014297279377557315,0.0616210413311864,0.06826441562049101,0.02816885208189568,0.01308664513936735,0.024088855854850585
