,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.4619,1.1542,0.47047352688365174,0.2990365248181457,0.9784536848125795,2.1035640875055055,0.007834482273494592,0.13197242632535344,0.35915618218685896,0.07825738940299076,0.022718737009609663,0.028355559278523117
6/28/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.4619,1.1542,0.4874766403654487,0.29479858803986714,0.9784536848125795,2.1035640875055055,0.0,0.1488092851701881,0.43494372597869213,0.07825738940299076,0.02226797364120908,0.0273743056750714
6/29/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.5361,1.1542,0.4913578012488202,0.28982715602497655,0.9847878234294836,2.1171817647922477,0.006473621301878341,0.1562462414304615,0.4577931104202997,0.07825738940299076,0.022213039273626046,0.02730312660530476
6/30/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.64,1.1542,0.48484539238697844,0.2575773038065108,0.9936573248081405,2.136250183526648,0.009006509999046619,0.18071898076767035,0.4709227386458412,0.07825738940299076,0.021779779544018597,0.02729287091755569
7/1/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.64,1.1542,0.49903412749517084,0.29635544108177725,0.9936573248081405,2.136250183526648,0.0,0.15634499612564823,0.430660881749241,0.07825738940299076,0.02163998385737339,0.0271629658991842
7/2/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.3282,1.1542,0.4588795878943981,0.3001802962009015,0.9670402840972147,2.0790265746586405,-0.026786941580756007,0.12205944987569217,0.41820549094232384,0.07825738940299076,0.02286723182032079,0.02730723109323048
7/5/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.3282,1.1542,0.45332084621601876,0.25713625925308214,0.9670402840972147,2.0790265746586405,0.0,0.15605674048372298,0.28884793046169244,0.07825738940299076,0.0214644993519136,0.02449072468068337
7/6/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.3728,1.1542,0.45076028166139404,0.2575773038065108,0.9708475965273213,2.087211863162531,0.003937077382108356,0.15361519110606192,0.2578026499148398,0.07825738940299076,0.021474851007200143,0.024290865985218808
7/7/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.2985,1.1542,0.4277680895695908,0.2551621300578766,0.9645049213354618,2.0735758332109824,-0.006533131682611049,0.13751686366107574,0.25163398692810457,0.07825738940299076,0.02167716312113178,0.024316793651567286
7/8/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.0758,1.1542,0.394392617491911,0.23738842517405034,0.945493968909794,2.032704448685949,-0.0197105810505821,0.12688351460518676,0.24126414882886915,0.07825738940299076,0.02212562869746821,0.024421981703640457
7/9/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.1649,1.1542,0.4162005149866179,0.2994406179839415,0.9531000571950522,2.0490566730289235,0.008044565629570899,0.08985396899769627,0.23279155532981477,0.07825738940299076,0.020514825167938854,0.024386092423155536
7/12/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.1946,1.1542,0.43893159207177557,0.41984369778143393,0.9556354199568049,2.0545074144765816,0.002660122347714733,0.013443658847919204,0.20833288358788926,0.0258158390834049,0.011571513835258047,0.024260210723839184
7/13/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.1649,1.1542,0.42693369459639063,0.39467563008026163,0.9531000571950522,2.0490566730289235,-0.0026530648705626048,0.02312943871706752,0.2368339426165944,0.0258158390834049,0.011227845132311677,0.023989475275806502
7/14/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.1055,1.1542,0.4412245639534884,0.41617784468438535,0.9480293316715467,2.0381551901336072,-0.005320244695429466,0.01768613974799549,0.1948849820318046,0.0258158390834049,0.011314768894238903,0.023782940975157287
7/15/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.3876,1.1542,0.4893149538332766,0.42524391200857936,0.9721110096207201,2.0899280575539567,0.025401827923101417,0.0449544399276911,0.18730906778158918,0.0258158390834049,0.012493663722092608,0.023668981105878544
7/16/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.254000000000001,1.1542,0.42750231490290114,0.384185090756878,0.9607061454803105,2.0654088973718987,-0.011732059433067543,0.0312943871706759,0.1415645540858559,0.0258158390834049,0.012857475739834028,0.02352326293913258
7/19/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.2243,1.1542,0.4210492998759272,0.3834603600638089,0.9581707827185576,2.05995815592424,-0.0026390616669630385,0.027170232626242186,0.11176814350379849,0.0258158390834049,0.012889959832932283,0.0233657235853324
7/20/1999,497.36699999999996,41.5683,16453.7503,4.9166,48.7346,11.3579,1.1542,0.440681405938836,0.4218577571444879,0.9695756468589674,2.0844773161062986,0.011902746719171908,0.013238770685579215,0.13669935948759004,0.025401827923101417,0.011888578839213196,0.02334553050655499
