,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
5/11/2000,85.2,22491.0371,14.7833,31.2669,11.7626,7.0122,0.20296584168541654,0.19870116588259368,0.979164065296473,1.4744349875277338,0.012568221338429497,0.0035577472719672265,0.31097588159243905,0.08661878108865761,0.03079296523089517,0.033238730388798744
5/12/2000,85.2,22491.0371,14.7833,31.2669,11.4081,7.0122,0.1499405277906578,0.21090458238413,0.9496541218190444,1.4299986211564737,-0.030137894683148425,-0.050345878180955594,0.22616322187469762,0.08661878108865761,0.030963902139211623,0.03326787726389792
5/15/2000,85.2,22491.0371,14.7833,31.2669,11.3664,7.0122,0.14573715299477863,0.1436304255790979,0.94618285343256,1.4247715506975696,-0.0036552975517394337,0.0018421400555286294,0.24667120012284216,0.08661878108865761,0.028444660574857946,0.03314250199313483
5/16/2000,85.2,22491.0371,14.7833,31.2669,11.2412,7.0122,0.13545180905436238,0.16915819882426608,0.9357607238884864,1.4090778043797083,-0.01101492117117131,-0.028829622718122838,0.24140825161233326,0.08661878108865761,0.02817544860677634,0.0331688401968912
5/17/2000,85.2,22491.0371,14.7833,31.2669,10.9284,7.0122,0.10385648774772216,0.11228055998868713,0.9097220487975426,1.3698685084673528,-0.0278262107248336,-0.00757369367405869,0.19863118871608143,0.08661878108865761,0.026745698516365695,0.03340695977573488
5/18/2000,85.2,22491.0371,14.7833,31.2669,10.8033,7.0122,0.08674177648123926,0.10562317674278221,0.899308243638089,1.3541872970906403,-0.011447238388053171,-0.017077608952779544,0.18491017175949276,0.08661878108865761,0.026860002749382893,0.03345690321008166
5/19/2000,85.2,22491.0371,14.7833,31.2669,11.0744,7.0122,0.104953853828885,0.104953853828885,0.9218756503425485,1.3881695225440918,0.025094184184462298,0.0,0.2174085107786341,0.08661878108865761,0.027389530943729323,0.033561823789878494
5/22/2000,85.2,22491.0371,14.7833,31.2669,11.1578,7.0122,0.12011484444801379,0.11174244325539862,0.9288181871155174,1.3986236634619,0.007530882034241015,0.007530882034241015,0.19926052515611725,0.08661878108865761,0.02743400553921715,0.03347663319181112
5/23/2000,85.2,22491.0371,14.7833,31.2669,11.1578,7.0122,0.1155457353955669,0.09470011297627479,0.9288181871155174,1.3986236634619,0.0,0.019042313207237038,0.26698158199532185,0.08661878108865761,0.027297284767049797,0.032679875462534244
5/24/2000,85.2,22491.0371,14.7833,31.2669,11.2412,7.0122,0.12618091106725293,0.12618091106725293,0.9357607238884864,1.4090778043797083,0.007474591765401772,0.0,0.28858167979183147,0.08661878108865761,0.02671912510281764,0.032635059790824546
