,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/11/2012,1766.0,39374.8684,3.4546,13.415999999999999,15.4429,4.042,-0.0046150375455219494,-0.028792419994199014,0.8435332160765592,1.4269122022434535,0.01391907241200463,0.024894145130675893,-0.13148940717286528,0.03181815014320266,0.01982242988749994,0.01595757447322647
6/12/2012,1766.0,39374.8684,3.4546,13.415999999999999,15.927999999999999,4.042,0.07487987906926508,-0.014529233925390073,0.8700306979691271,1.4717350729029992,0.031412493767362326,0.09072731132430789,-0.1040057602844141,0.03181815014320266,0.019417158172799005,0.01650622312834778
6/13/2012,1766.0,39374.8684,3.4546,13.415999999999999,15.8017,4.042,0.0550292104823904,-0.03915206142547145,0.8631318483236287,1.4600650490639957,-0.007929432446006968,0.09801891446796973,-0.11694226653180062,0.03181815014320266,0.019148912447629323,0.016491160571180143
6/14/2012,1766.0,39374.8684,3.4546,13.415999999999999,16.0626,4.042,0.0433511743920183,-0.06601408231136985,0.8773829161978216,1.4841720104226341,0.016510881740572136,0.11709518808810127,-0.10961690899717846,0.03181815014320266,0.019274589082430845,0.01660609902457351
6/15/2012,1766.0,39374.8684,3.4546,13.415999999999999,16.3683,4.042,0.026090608759975265,-0.10884460353182335,0.894081081966855,1.512418457671909,0.01903178812894568,0.15141603005107007,-0.0769217755169943,0.03181815014320266,0.019089173454039026,0.01669015850427064
6/18/2012,1766.0,39374.8684,3.4546,13.415999999999999,16.2419,4.042,-0.013807508515844558,-0.13559167663470828,0.8871767700492696,1.5007391939090424,-0.007722243605017054,0.14088731543529875,-0.0817456099684527,0.03181815014320266,0.01932363105002921,0.01671000436431422
6/19/2012,1766.0,39374.8684,3.4546,13.415999999999999,16.6619,4.042,-0.007481757259866106,-0.12671928518242748,0.9101183128133977,1.5395468741337572,0.025859043584802066,0.13653974707029914,-0.05126891124738797,0.03181815014320266,0.019104679802975255,0.017035592862958342
6/20/2012,1766.0,39374.8684,3.4546,13.415999999999999,17.4487,4.042,0.039386448250186,-0.14056291883842154,0.9530954695915311,1.6122465950880565,0.04722150535053027,0.20938050153176513,-0.02069325490812357,0.04722150535053027,0.020366484959614316,0.017978609373426317
6/21/2012,1766.0,39374.8684,3.4546,13.415999999999999,16.8494,4.042,0.0034481731828603923,-0.14004109221927763,0.920360072975955,1.5568717313769334,-0.03434639829901365,0.1668559556786704,-0.07963992702404499,0.04722150535053027,0.02243850212365822,0.01813102161951485
6/22/2012,1766.0,39374.8684,3.4546,13.415999999999999,17.0369,4.042,0.0223653100658896,-0.12417637810395943,0.9306018331385122,1.5741965886201097,0.011127992688166888,0.167318720923062,-0.04380549350634777,0.04722150535053027,0.022441452932336375,0.01789471794373386
6/25/2012,1766.0,39374.8684,3.4546,13.415999999999999,16.8535,4.042,0.014018832165097361,-0.09538220871814929,0.9205840261315096,1.5572505682553177,-0.010764869195686977,0.12093620304352459,-0.04454283640981438,0.04722150535053027,0.022162204944663016,0.017901476187970625
6/26/2012,1766.0,39374.8684,3.4546,13.415999999999999,17.3468,4.042,0.05302519835127173,-0.08729884115508113,0.9475294143351869,1.602831112671632,0.02926988459370472,0.153745876343514,-0.00929775665920396,0.04722150535053027,0.022700715650333096,0.01826841717719756
6/27/2012,1766.0,39374.8684,3.4546,13.415999999999999,17.3345,4.042,0.08665943668858644,-0.048532795055196476,0.946857554868523,1.601694602036479,-0.000709064496045575,0.14208816766482846,-0.012740485926803435,0.04722150535053027,0.022755558814489846,0.01826520110013156
6/28/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.0154,4.042,0.11873963721721625,-0.07392273633354651,0.9840501655068441,1.6646092436198325,0.03928004845827693,0.20804136016468955,0.024149261537412148,0.04722150535053027,0.023122513286325128,0.01892452289435562
6/29/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.313,4.042,0.1520218414232153,-0.07494778692030901,1.0,1.692107257036202,0.016519200239794696,0.2453587215232913,0.06660065814380145,0.04722150535053027,0.022540148832055077,0.018765739469506708
7/2/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.7818,4.042,0.22187453240779909,-0.06536207087234003,1.0,1.7354240201060744,0.02559930104297492,0.30732393189759577,0.08902727525744503,0.04722150535053027,0.02136557434403975,0.019012353917571247
7/3/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.4923,4.042,0.18706269016959598,-0.10290020669910527,0.9845861419033319,1.7086744405226102,-0.015413858096668065,0.32322256568778984,0.08395026992807786,0.04722150535053027,0.020383171656795894,0.019069400487284453
7/4/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.4923,4.042,0.18827551197445103,-0.07788051894642822,0.9845861419033319,1.7086744405226102,0.0,0.28863508079970446,0.08395026992807786,0.04722150535053027,0.02035441133922063,0.019069400487284453
7/5/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.0194,4.042,0.13982630037510524,-0.0633820189893034,0.9594075115271167,1.6649788405743537,-0.025572805978704594,0.2169596606987283,0.04801730856471531,0.04722150535053027,0.02143328150333532,0.019351634078286516
7/6/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.1458,4.042,0.1539165935365714,-0.03455555979498137,0.9661374309171645,1.6766581043372204,0.0070146619754265505,0.19521802134106192,0.0712628477982371,0.04722150535053027,0.021132114717353045,0.01926011889928116
7/9/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.0969,4.042,0.13445251722343787,-0.04521034848076422,0.9635338465961729,1.6721397815682,-0.002694838475018946,0.18817010156983516,0.07661326305394112,0.04722150535053027,0.02124846765322132,0.019233172698503498
7/10/2012,1766.0,39374.8684,3.4546,13.415999999999999,17.9338,4.042,0.11120198771926582,-0.043137473588985675,0.9548499078895527,1.6570694657476024,-0.00901259331708748,0.16129742470649955,0.060525242012264835,0.04722150535053027,0.021540998754733004,0.019267567946583436
7/11/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.0928,4.042,0.09937171120590138,-0.0321679001543379,0.9633155501602615,1.6717609446898158,0.00886594029151655,0.13591160220994492,0.07352731760573405,0.04722150535053027,0.02083277479865889,0.0192833553982679
7/12/2012,1766.0,39374.8684,3.4546,13.415999999999999,17.7055,4.042,0.0338555504300555,-0.07731070846739097,0.9426945234216103,1.635974719568311,-0.02140630527060483,0.12048070777194853,0.0928174203941563,0.04722150535053027,0.02148998718055521,0.01882288704663157
7/13/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.3252,4.042,0.09523183399275625,-0.03999569681683979,0.9756892310641152,1.6932345277474914,0.03500042359718725,0.14086137985133163,0.13163224977768984,0.04722150535053027,0.022319932337883562,0.01928521475526968
7/16/2012,1766.0,39374.8684,3.4546,13.415999999999999,18.2844,4.042,0.07439638506783885,-0.038194179207088785,0.9735169153116315,1.6894646388113763,-0.002226442276209606,0.11706163743333153,0.1327992862851517,0.04722150535053027,0.022206398368499237,0.019281005541476184
