,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,7098.0,80088.2238,9.306000000000001,10.4836,26.8004,0.8867,0.006070116034190942,0.033537672634175175,0.8035499587737052,2.420272186249808,0.002738782962674824,-0.02657625099429395,-0.09822777484294931,0.059033474592745216,0.03070102500374995,0.03429284115369273
6/28/1999,7098.0,80088.2238,9.306000000000001,10.4836,27.6785,0.8867,0.05478872595347695,0.07640010975275136,0.8298778202533543,2.499571040249971,0.03276443635169635,-0.02007746339252836,-0.05179117720612669,0.059033474592745216,0.031033987669536325,0.03448575151815783
6/29/1999,7098.0,80088.2238,9.306000000000001,10.4836,27.8431,0.8867,0.04167742273402397,0.05673591703424363,0.8348129825350423,2.514435624429935,0.00594685405639761,-0.014250007080748861,-0.04615231772198303,0.059033474592745216,0.031065974923045758,0.03449459909469093
6/30/1999,7098.0,80088.2238,9.306000000000001,10.4836,30.0018,0.8867,0.10450167874182714,-0.011335188784826533,0.8995367663593434,2.7093820270380102,0.07753087838638661,0.11716495440378627,0.027800330931850636,0.07753087838638661,0.03330329323861429,0.035856559523988495
7/1/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.7823,0.8867,0.08685005692932002,-0.057352640644615094,0.8929555505584289,2.6895595712208644,-0.007316227693005106,0.15297629186862194,-0.010054911450300574,0.07753087838638661,0.03191926871856159,0.0356700368429844
7/2/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.7274,0.8867,0.08484658278107027,-0.06002393950894813,0.8913094970392025,2.684601699583683,-0.0018433767707665139,0.15412150200329222,-0.02896694997746152,0.07753087838638661,0.03190430727893014,0.03560348631311281
7/5/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.7274,0.8867,0.07701337236474548,-0.03499784433567499,0.8913094970392025,2.684601699583683,0.0,0.11607354039878803,-0.06250808117441142,0.07753087838638661,0.031336610225526605,0.03531031080543926
7/6/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.9286,0.8867,0.06541217681044875,-0.01989954113580461,0.8973420283337081,2.7027715315217686,0.006768166741793813,0.08704385063253439,-0.04794230763113283,0.07753087838638661,0.030679872672869937,0.03530576336922331
7/7/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.9652,0.8867,0.07854443364647445,-0.03866033185761086,0.8984393973465258,2.7060767792798894,0.0012229105270544771,0.12191816211075701,-0.08401118804163432,0.07753087838638661,0.02967423630108608,0.034917964358283766
7/8/1999,7098.0,80088.2238,9.306000000000001,10.4836,30.0567,0.8867,0.09541667577791868,-0.023926147835531042,0.9011828198785699,2.714339898675192,0.00305354210884623,0.12226823139335607,-0.08529927327173792,0.07753087838638661,0.029672646921677506,0.0349149880721801
7/9/1999,7098.0,80088.2238,9.306000000000001,10.4836,30.3128,0.8867,0.12632138252375236,-0.03885468415009796,0.9088614046923019,2.7374676022504585,0.008520562802968978,0.1718533752909066,-0.09113859530769808,0.07753087838638661,0.02821661821119366,0.03487717843597328
7/12/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.8554,0.8867,0.12523885800433443,-0.04299255629887866,0.8951472903080728,2.696161036005527,-0.015089335198331999,0.17578903425515313,-0.07061720401321137,0.07753087838638661,0.028071557213844713,0.034622608293385114
7/13/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.8554,0.8867,0.14082537256400451,-0.03533053114252971,0.8951472903080728,2.696161036005527,0.0,0.18260752453912388,-0.02625536522680716,0.07753087838638661,0.02795703975392529,0.03414023811429224
7/14/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.6325,0.8867,0.14579748587690777,-0.0054481689280369006,0.8884641331234541,2.6760315353146757,-0.007465986052774376,0.15207418063061318,-0.035824100736980835,0.07753087838638661,0.028054256339592798,0.034152406429317564
7/15/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.5041,0.8867,0.1620041983875986,0.07281012339163562,0.8846143467506185,2.664436075966514,-0.004333080232852393,0.08314059781052441,0.05205335843647374,0.07753087838638661,0.0254824304445856,0.03227133973225048
7/16/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.3207,0.8867,0.15395847108088523,0.06484761185101218,0.879115508582565,2.647873714249591,-0.006216085222053969,0.0836841424426662,0.006764250421477991,0.07753087838638661,0.025472070977941096,0.03193047926668847
7/19/1999,7098.0,80088.2238,9.306000000000001,10.4836,29.2474,0.8867,0.13968966511577152,0.09209900789475722,0.8769177722809385,2.64125418800177,-0.0024999403152039523,0.04357723693271631,-0.021564298139970628,0.07753087838638661,0.024439439759372267,0.031761348700987645
7/20/1999,7098.0,80088.2238,9.306000000000001,10.4836,28.5506,0.8867,0.13090942219863178,0.15650982147454817,0.8560257851735252,2.5783280503553594,-0.023824339941328154,-0.02213591168925466,-0.06546516271366187,0.07753087838638661,0.02330925589338281,0.03177718509422768
7/21/1999,7098.0,80088.2238,9.306000000000001,10.4836,28.4039,0.8867,0.15409525666967339,0.1491503937199834,0.8516273142942808,2.565079967128137,-0.0051382457811745,0.004303059875115922,-0.07580002277644915,0.07753087838638661,0.022272465625681942,0.03177101754797986
7/22/1999,7098.0,80088.2238,9.306000000000001,10.4836,28.4039,0.8867,0.2093044048399595,0.16128373027699494,0.8516273142942808,2.565079967128137,0.0,0.04135137116879317,-0.03321669990946163,0.07753087838638661,0.02069340425386256,0.031283918405873
7/23/1999,7098.0,80088.2238,9.306000000000001,10.4836,27.432,0.8867,0.14756155718982966,0.11807769215966801,0.8224870699347875,2.4773102869063424,-0.034217132154387264,0.026370139782693203,-0.10795465631280121,0.07753087838638661,0.021657418666341105,0.030993044633840023
7/26/1999,7098.0,80088.2238,9.306000000000001,10.4836,27.1753,0.8867,0.10662132996701557,0.09135480718328792,0.8147904954651076,2.4541283989415983,-0.009357684456109627,0.01398859718511658,-0.09144007248339203,0.07753087838638661,0.021782135417469702,0.03083179953211668
7/27/1999,7098.0,80088.2238,9.306000000000001,10.4836,28.2755,0.8867,0.14550374940750843,0.12131794408501073,0.8477775279214452,2.5534845077799755,0.04048529363061304,0.021569087920227048,-0.060973382262590636,0.07753087838638661,0.022403496113572816,0.03125962567234618
7/28/1999,7098.0,80088.2238,9.306000000000001,10.4836,28.1838,0.8867,0.18983750649087483,0.17545415014923726,0.8450281088374185,2.545203326921514,-0.0032430903078636275,0.012236424823385494,-0.029222725112116876,0.07753087838638661,0.022396895082328318,0.030933581682291034
7/29/1999,7098.0,80088.2238,9.306000000000001,10.4836,27.2853,0.8867,0.16078516457570213,0.27635189463070975,0.8180885990555431,2.46406220367912,-0.03188001617950742,-0.09054456732596039,-0.11113825826060608,0.04048529363061304,0.015240089097891735,0.030301892984116074
7/30/1999,7098.0,80088.2238,9.306000000000001,10.4836,26.4418,0.8867,0.13540646845639892,0.27884697961216753,0.7927981410688855,2.3878879828054873,-0.030914081941558202,-0.1121639362977338,-0.07877601217995389,0.04048529363061304,0.01629914058649635,0.029441864976159283
8/2/1999,7098.0,80088.2238,9.306000000000001,10.4836,25.9834,0.8867,0.13695992718807704,0.30078675383093967,0.7790540439247433,2.34649110924476,-0.017336187400252667,-0.12594441491687802,-0.10501443225108675,0.04048529363061304,0.016473976343463,0.02947065406901872
8/3/1999,7098.0,80088.2238,9.306000000000001,10.4836,25.6533,0.8867,0.15080568465251498,0.3335695957221554,0.7691567348774455,2.3166806643006153,-0.012704265030750284,-0.13704864872138156,-0.07682757429412479,0.04048529363061304,0.01646585485962385,0.029027143372081825
