,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
12/17/2010,991.0,29.8563,52595.9846,11.6201,8.0216,8.21,14.8295,-0.22838345864661647,-0.3148496240601504,0.7265486725663717,1.2699149265274556,0.019875776397515477,0.12620027434842251,0.1898550724637682,0.07036535859269288,0.0239496157787789,0.02748670805837771
12/20/2010,991.0,29.8563,52595.9846,11.6201,8.0216,8.11,14.8295,-0.2320075757575758,-0.2992424242424242,0.7176991150442477,1.254447022428461,-0.012180267965895442,0.09594594594594574,0.20684523809523814,0.07036535859269288,0.024167274383725477,0.027303520132786495
12/21/2010,991.0,29.8563,52595.9846,11.6201,8.0216,8.14,14.8295,-0.22916666666666663,-0.30587121212121215,0.720353982300885,1.2590873936581595,0.0036991368680643344,0.11050477489768085,0.2167414050822123,0.07036535859269288,0.023952908729143314,0.027285199397504088
12/22/2010,991.0,29.8563,52595.9846,11.6201,8.0216,8.27,14.8295,-0.23778801843317976,-0.31612903225806455,0.7318584070796459,1.2791956689868522,0.01597051597051591,0.11455525606469008,0.14861111111111103,0.07036535859269288,0.024020360948146944,0.025704034641299056
12/23/2010,991.0,29.8563,52595.9846,11.6201,8.0216,7.94,14.8295,-0.28916741271262303,-0.306177260519248,0.7026548672566372,1.2281515854601703,-0.039903264812575445,0.024516129032258194,0.1310541310541311,0.07036535859269288,0.02422213326092681,0.026027962682143878
12/24/2010,991.0,29.8563,52595.9846,11.6201,8.0216,7.94,14.8295,-0.29233511586452765,-0.30926916221033873,0.7026548672566372,1.2281515854601703,0.0,0.024516129032258194,0.1104895104895105,0.07036535859269288,0.02422213326092681,0.025946136017077723
12/27/2010,991.0,29.8563,52595.9846,11.6201,8.0216,7.81,14.8295,-0.2795202952029521,-0.2961254612546126,0.691150442477876,1.2080433101314771,-0.016372795969773368,0.023591087811271283,0.07133058984910834,0.07036535859269288,0.02425392548307619,0.02594845654668357
12/28/2010,991.0,29.8563,52595.9846,11.6201,8.0216,7.76,14.8295,-0.30090090090090094,-0.3171171171171171,0.6867256637168141,1.20030935808198,-0.006402048655569814,0.0237467018469657,0.07628294036061023,0.07036535859269288,0.024251475304071256,0.02591960603483187
12/29/2010,991.0,29.8563,52595.9846,11.6201,8.0216,7.75,14.8295,-0.28899082568807344,-0.3339449541284404,0.6858407079646017,1.1987625676720806,-0.0012886597938144284,0.06749311294765836,0.06310013717421126,0.07036535859269288,0.022122570190223335,0.02589256594293138
12/30/2010,991.0,29.8563,52595.9846,11.6201,8.0216,7.9,14.8295,-0.2300194931773879,-0.27972709551656927,0.6991150442477876,1.2219644238205725,0.019354838709677358,0.06901217861975661,0.1301859799713878,0.07036535859269288,0.022172446482733844,0.02541025458818018
12/31/2010,991.0,29.8563,52595.9846,11.6201,8.0216,8.02,14.8295,-0.23326959847036344,-0.2437858508604207,0.7097345132743362,1.2405259087393659,0.015189873417721378,0.013906447534766109,0.1556195965417866,0.03148614609571787,0.01634541632406409,0.025432685692047312
1/3/2011,991.0,29.8563,52595.9846,11.6201,8.0216,8.28,14.8295,-0.22833178005591803,-0.26281453867660765,0.7327433628318583,1.2807424593967516,0.032418952618453734,0.04677623261694053,0.19136690647482002,0.032418952618453734,0.017739024125623604,0.025707629912121707
1/4/2011,991.0,29.8563,52595.9846,11.6201,8.0216,8.4,14.8295,-0.17077986179664362,-0.21421520236920044,0.743362831858407,1.2993039443155454,0.01449275362318847,0.05527638190954787,0.18143459915611815,0.032418952618453734,0.01791967400583768,0.025623375219642096
1/5/2011,991.0,29.8563,52595.9846,11.6201,8.0216,8.54,14.8295,-0.15695952615992115,-0.21816386969397839,0.7557522123893804,1.3209590100541375,0.016666666666666607,0.07828282828282829,0.12516469038208156,0.032418952618453734,0.018075504968623275,0.02432561694741986
1/6/2011,991.0,29.8563,52595.9846,11.6201,8.0216,8.58,14.8295,-0.16536964980544744,-0.22762645914396884,0.7592920353982301,1.3271461716937356,0.004683840749414525,0.08060453400503764,0.1186440677966103,0.032418952618453734,0.018074321208061874,0.024304267105528774
1/7/2011,991.0,29.8563,52595.9846,11.6201,8.0216,8.64,14.8295,-0.13426853707414832,-0.17935871743486986,0.7646017699115044,1.3364269141531324,0.006993006993007089,0.05494505494505497,0.11483870967741949,0.032418952618453734,0.016957861568475084,0.024289049530138582
1/10/2011,991.0,29.8563,52595.9846,11.6201,8.0216,8.55,14.8295,-0.12755102040816324,-0.15714285714285725,0.756637168141593,1.3225058004640373,-0.01041666666666663,0.03510895883777243,0.11764705882352944,0.032418952618453734,0.01713425666272685,0.02426642625489601
1/11/2011,991.0,29.8563,52595.9846,11.6201,8.0216,8.72,14.8295,-0.04490690032858713,-0.10843373493975905,0.7716814159292036,1.348801237432328,0.019883040935672502,0.07125307125307123,0.1488801054018447,0.032418952618453734,0.017141633357289538,0.024335348779911614
1/12/2011,991.0,29.8563,52595.9846,11.6201,8.0216,9.34,14.8295,0.001071811361200492,-0.135048231511254,0.8265486725663717,1.4447022428460943,0.07110091743119251,0.15737298636926877,0.22572178477690286,0.07110091743119251,0.022371767778936836,0.02582512101006091
1/13/2011,991.0,29.8563,52595.9846,11.6201,8.0216,9.63,14.8295,0.02012711864406791,-0.1610169491525424,0.852212389380531,1.4895591647331787,0.031049250535331918,0.21590909090909105,0.2788844621513944,0.07110091743119251,0.022129776538915836,0.025977741672305352
1/14/2011,991.0,29.8563,52595.9846,11.6201,8.0216,9.71,14.8295,-0.0010288065843621075,-0.1718106995884774,0.8592920353982301,1.5019334880123745,0.008307372793354029,0.20621118012422368,0.33196159122085067,0.07110091743119251,0.022075283251983092,0.02556680157783777
