,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-877.0,114285.5816,20.8722,28.2535,14.0185,3.7557,-0.07735999315514774,-0.05894470807363483,0.8048514425147122,1.1290218660653164,-0.008788924399694586,-0.019568759922508283,0.05566558478233041,0.018784082587397277,0.011337891758737784,0.01249406510560949
6/28/1999,-877.0,114285.5816,20.8722,28.2535,14.0651,3.7557,-0.06505048625005816,-0.038188743460717656,0.8075269125879144,1.13277493657633,0.003324178763776331,-0.027928289055372923,0.07161033736628775,0.018784082587397277,0.011000959919874737,0.012393527373346442
6/29/1999,-877.0,114285.5816,20.8722,28.2535,13.832,3.7557,-0.08238135042258754,-0.04010932876912254,0.7941438208698148,1.1140015302218822,-0.016572935848305326,-0.04403837116081055,0.041621169790576396,0.018784082587397277,0.011487461486316781,0.012516922684534247
6/30/1999,-877.0,114285.5816,20.8722,28.2535,13.5833,3.7557,-0.09436817857547652,-0.05602485548747549,0.7798650782259221,1.0939717311641768,-0.01798004626951999,-0.04061899649677936,0.022892772962430197,0.018784082587397277,0.011214045005658233,0.012736762772273548
7/1/1999,-877.0,114285.5816,20.8722,28.2535,13.5833,3.7557,-0.09436817857547652,-0.06224539460086542,0.7798650782259221,1.0939717311641768,0.0,-0.03425499996445103,0.003109030218887421,0.018784082587397277,0.011168738536006551,0.012495248577222694
7/2/1999,-877.0,114285.5816,20.8722,28.2535,13.6455,3.7557,-0.08195188245108853,-0.05372184396781399,0.7834361992249175,1.0989811943784482,0.00457915234147821,-0.029832706486267346,0.024014108288619607,0.018784082587397277,0.011245953459019178,0.012336357140918549
7/5/1999,-877.0,114285.5816,20.8722,28.2535,13.6455,3.7557,-0.08747726300021397,-0.050061523646479755,0.7834361992249175,1.0989811943784482,0.0,-0.03938753959873287,0.02519890909910516,0.018784082587397277,0.010950594160335357,0.012334787494617902
7/6/1999,-877.0,114285.5816,20.8722,28.2535,13.7543,3.7557,-0.07835240826610201,-0.04606797287517761,0.789682790297115,1.107743728103733,0.007973324539225501,-0.033843538609591106,0.009993978646223534,0.018784082587397277,0.011128684616995432,0.012029182537063492
7/7/1999,-877.0,114285.5816,20.8722,28.2535,13.8786,3.7557,-0.06152753828988744,-0.045758528586401614,0.7968192909430171,1.1177546007328958,0.009037173829275158,-0.016525177511019118,0.03196591492114487,0.018784082587397277,0.011232707309292187,0.011968408699073662
7/8/1999,-877.0,114285.5816,20.8722,28.2535,13.5833,3.7557,-0.08242645320363429,-0.04777924139561596,0.7798650782259221,1.0939717311641768,-0.02127736226996968,-0.03638569259800517,-0.0048135394534398745,0.018784082587397277,0.012095505009222659,0.012136618051428608
7/9/1999,-877.0,114285.5816,20.8722,28.2535,13.5833,3.7557,-0.09436817857547652,-0.07260629254535389,0.7798650782259221,1.0939717311641768,0.0,-0.023465639086393097,0.026463942689165743,0.018784082587397277,0.011805633358031637,0.011492955102705964
7/12/1999,-877.0,114285.5816,20.8722,28.2535,13.4746,3.7557,-0.09709453483073793,-0.07314588973170011,0.7736242285058131,1.0852172512382718,-0.008002473625702056,-0.025838635049161396,0.01588522229510181,0.018784082587397277,0.01186355087769018,0.011539761236035633
7/13/1999,-877.0,114285.5816,20.8722,28.2535,13.3658,3.7557,-0.09986126638201576,-0.05276591732553915,0.7673776374336156,1.0764547175129868,-0.008074451189645782,-0.04971880754491609,0.0018664407948489892,0.018784082587397277,0.011197598925820411,0.011565732254128217
7/14/1999,-877.0,114285.5816,20.8722,28.2535,13.3658,3.7557,-0.10348389520142731,-0.03885676723501874,0.7673776374336156,1.0764547175129868,0.0,-0.06723985121394627,-0.0050248263643333235,0.015352161367019779,0.010122264744285984,0.011532627545744415
