,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,15.0942,2.525,-0.15339529196650414,-0.17436662534844727,0.632289306015759,1.3858442667352204,0.02027132071135518,0.025400297548283657,0.13719374378446814,0.05755473349358731,0.022802020773423092,0.04051320573397187
6/28/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,15.2441,2.525,-0.13045883909829326,-0.18747718353563925,0.6385685501606464,1.3996070402232892,0.009930966861443347,0.07017445329776395,0.09106199630684664,0.05755473349358731,0.0215009408513902,0.04002122555081448
6/29/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,15.2941,2.525,-0.10995431664096367,-0.171036168417377,0.6406630278607424,1.404197691820377,0.003279957491751029,0.07368458001333855,0.11454348032035444,0.05755473349358731,0.0214865193221552,0.03993906202094484
6/30/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,15.8939,2.525,-0.0750487386155323,-0.18557918933860962,0.6657883823510932,1.459267148379041,0.03921773755892799,0.13571663355865837,0.1582533540295723,0.05755473349358731,0.02224930532950731,0.040203992697762786
7/1/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,15.544,2.525,-0.11083145039041276,-0.19088750965306178,0.6511312274058219,1.4271417685026213,-0.022014735212880443,0.09894305206970899,0.16234203245345102,0.05755473349358731,0.023057128203746505,0.04016685145290511
7/2/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,15.6939,2.525,-0.09969710529033149,-0.16563980770775244,0.6574104715507094,1.44090454199069,0.009643592382913013,0.07903385495448423,0.15205725821251592,0.05755473349358731,0.022457559221780523,0.04012690883208784
7/5/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,15.6939,2.525,-0.12946116553323206,-0.184908862978289,0.6574104715507094,1.44090454199069,0.0,0.06802637757497809,0.16918847640971757,0.05755473349358731,0.022422356004748425,0.04006507615107472
7/6/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,14.3445,2.525,-0.21936393221372052,-0.21120628666586838,0.6008847073805206,1.3170120366884877,-0.08598245178062813,-0.010341925157302145,0.07264637702834076,0.05755473349358731,0.0295822830740612,0.041607728997233355
7/7/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,14.2445,2.525,-0.22270787632736366,-0.21725108862914588,0.5966957519803286,1.3078307334943122,-0.006971313046812311,-0.006971313046812311,0.0016313557832265957,0.05755473349358731,0.02953287653372558,0.040869340714340556
7/8/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,13.8946,2.525,-0.23349018872296168,-0.22521528540141544,0.5820385970350574,1.2757053536178926,-0.024563866755589858,-0.010680261452800432,-0.07182460687517522,0.05755473349358731,0.029673313336043245,0.040447063146863305
7/9/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,14.4944,2.525,-0.21545023491458626,-0.21003745642713312,0.6071639515254081,1.3307748101765564,0.04316784938033491,-0.006851943211094613,-0.02851895790186254,0.05755473349358731,0.0299508137355557,0.040814698050178906
7/12/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,14.0946,2.525,-0.1937419557818265,-0.14514200726482285,0.5904165078354411,1.2940679600062432,-0.027583066563638403,-0.05685148753362512,-0.01581582420344807,0.05755473349358731,0.030009807476431533,0.04064407228403815
7/13/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,14.2445,2.525,-0.151416044131489,-0.10973299496014588,0.5966957519803286,1.3078307334943122,0.010635278759241196,-0.04682084019218158,-0.08504939429364233,0.05755473349358731,0.030140879624270017,0.03913164286873655
7/14/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,13.9446,2.525,-0.14255672385168783,-0.1026009961261759,0.5841330747351533,1.28029600521498,-0.02105374004001548,-0.044523926985693185,-0.1780758938570537,0.05755473349358731,0.03006096189693183,0.03745776350523388
7/15/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,13.5448,2.525,-0.17220473644003054,-0.11111382734912156,0.5673856310451862,1.2435891550446672,-0.028670596503305834,-0.06872748274249874,-0.23537481018160478,0.05755473349358731,0.030631511533321918,0.03712074543052288
7/16/1999,1042.0,48.6915,31481.8053,10.7999,31.9252,13.5448,2.525,-0.15157285494155825,-0.09209125189481726,0.5673856310451862,1.2435891550446672,0.0,-0.06551495750082792,-0.21321150372052766,0.05755473349358731,0.030637860881368998,0.03698893687709382
