,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/16/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.3848,17.664,0.14863481228668962,0.2546288395904439,0.8587239064219306,1.786240297220195,0.023940367757515846,-0.08448237754390742,-0.09371213141241419,0.06770425305966099,0.030696751515077385,0.024026966750744186
6/17/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.4867,17.664,0.18690375754429223,0.2425855019793628,0.8749740858277385,1.8200424600278642,0.01892363690387744,-0.04481119757664398,-0.026559506067702854,0.06770425305966099,0.03073147192756246,0.023284019579483697
6/18/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.6726,17.664,0.14755623887360425,0.24069428710147256,0.9046198988948603,1.8817090161215417,0.03388193267355599,-0.07506929724441536,0.044100865083747554,0.03588023682829933,0.02764141774136961,0.023211394062589784
6/21/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.7386,17.664,0.15674259221931064,0.2531344486998588,0.9151450396287496,1.9036024679891195,0.011634876423509466,-0.07692060223909414,0.058586976572587934,0.03588023682829933,0.027582486814668305,0.023246520103461447
6/22/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.5647,17.664,0.12168917556944159,0.23987099375125975,0.8874128885132442,1.845916539507729,-0.030303558359181637,-0.09531783449845543,0.02200224062884537,0.03588023682829933,0.0281673580664972,0.023577504243433734
6/23/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.8525,17.664,0.1954368118961538,0.19529382927875494,0.9333088809861738,1.9413852584090758,0.05171887073876391,0.00011962131310028212,0.07602500459643324,0.05171887073876391,0.02878879907863382,0.02443883140426685
6/24/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.7865,17.664,0.1920850415112998,0.21909313775983197,0.9227837402522845,1.919491806541498,-0.01127723195215713,-0.022154251723671803,0.06389042103327824,0.05171887073876391,0.028784151157410436,0.024490911467543442
6/25/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.9604,17.664,0.20724297172486428,0.14283399497691018,0.9505158913677899,1.9771777350228885,0.030052708891385116,0.05635899617184159,0.08631624990887232,0.05171887073876391,0.027508794544498644,0.024741354154157624
6/28/1999,351.0,45.6942,145942.7826,12.8236,34.8843,6.1283,17.664,0.2624997424857338,0.20184998248902986,0.9772912115074873,2.0328733496981357,0.02816925038588014,0.050463669243559384,0.10965650859181197,0.05171887073876391,0.027211241190733634,0.024959901287205426
6/29/1999,351.0,45.6942,145942.7826,12.8236,34.8843,6.1763,17.664,0.2754889205542821,0.20477872085579163,0.9849458593139523,2.0487958601472833,0.007832514726759499,0.05869144140283522,0.14310303344376374,0.05171887073876391,0.02722606643534982,0.02478582423942504
6/30/1999,351.0,45.6942,145942.7826,12.8236,34.8843,6.0744,17.664,0.27316551738592776,0.21146066944729736,0.9686956799081442,2.0149936973396136,-0.016498550912358634,0.05093425605536317,0.12424348984842037,0.05171887073876391,0.02743548149827431,0.02489876964758921
7/1/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.7146,17.664,0.20979761199085445,0.20084257769497826,0.9113177157255171,1.8956412127645457,-0.059232187541156334,0.007457292456322762,0.02256419432763712,0.05171887073876391,0.030297095094277256,0.02572615570397687
7/2/1999,351.0,45.6942,145942.7826,12.8236,34.8843,5.3728,17.664,0.1682539682539681,0.22687540769732562,0.8568102444703143,1.782259669607908,-0.05981171035593047,-0.04778108606266851,-0.048792578429289635,0.05171887073876391,0.033055126491027306,0.026794662320756973
