,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/15/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.7236,1.6280000000000001,-0.0524960862758741,-0.23388415376587235,0.8861558483813241,2.8561241610738253,0.007621161672215937,0.23676323676323663,0.5269383864999717,0.09423596650569332,0.04492448068382715,0.049894070374935984
6/16/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.8539,1.6280000000000001,0.0,-0.2091173481901959,0.9285505124450951,2.9927642617449663,0.0478410926714643,0.26441008373576724,0.6706082069894046,0.09423596650569332,0.04555044468191208,0.049723330751647955
6/17/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.7853,1.6280000000000001,-0.028733828503679004,-0.1387523102137601,0.906230681633317,2.920826342281879,-0.02403728231542801,0.12774313709612106,0.6571275583055687,0.08930001601794024,0.04208139250432111,0.049798874430131396
6/18/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.7648,1.6280000000000001,0.030718759320012,-0.06904264837458995,0.8995607613469986,2.899328859060403,-0.007360068933328412,0.10716001922152829,0.5681470137825424,0.08930001601794024,0.042174998837119594,0.049579033358861484
6/21/1999,154.0,83.5526,15518.8473,8.0094,62.4121,3.0117,1.6280000000000001,0.1929414560722491,0.07747762021706417,0.9798926305514885,3.1582424496644292,0.08930121527777768,0.10716123814425393,0.7215616782896992,0.08930121527777768,0.04217511769545295,0.05056907466987341
6/22/1999,154.0,83.5526,15518.8473,8.0094,62.4121,3.0735,1.6280000000000001,0.21742058147825416,0.016319416937336628,1.0,3.2230494966442955,0.020519972108775875,0.19787200873022082,0.684201874075292,0.08930121527777768,0.039754562368077534,0.05040891565193999
6/23/1999,154.0,83.5526,15518.8473,8.0094,62.4121,3.0598,1.6280000000000001,0.24930589580271123,0.09803201045239263,0.9955425410769481,3.20868288590604,-0.004457458923051938,0.13776819246644112,0.7628622457798007,0.08930121527777768,0.03883724189325466,0.04988694766994467
6/24/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.9226,1.6280000000000001,0.04412132471151442,-0.014719016826837295,0.9509028794533919,3.064807046979866,-0.04483953199555524,0.0597193516806267,0.5662379421221866,0.08930121527777768,0.04016121198128874,0.0496596516985851
6/25/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.9294,1.6280000000000001,0.051735899185006984,-0.07388791153556173,0.9531153408166584,3.071937919463087,0.002326695408197965,0.13564644310912954,0.6173807420494699,0.08930121527777768,0.037008701294811916,0.04943177149021629
6/28/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.9019999999999997,1.6280000000000001,0.052249900286449824,-0.024873998332064273,0.9442004229705546,3.043204697986577,-0.009353451218679587,0.07909121332688795,0.5608864027538725,0.08930121527777768,0.03621998006105595,0.049431287666208926
6/29/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.9226,1.6280000000000001,0.0703534151254348,-0.01508881157297215,0.9509028794533919,3.064807046979866,0.007098552722260676,0.08675119919681706,0.6511864406779662,0.08930121527777768,0.03621149537075242,0.04890508609595364
6/30/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.7991,1.6280000000000001,-0.019201794036231012,-0.09853183363117124,0.9107206767528876,2.9352978187919465,-0.04225689454595216,0.08800093287207988,0.5814124293785312,0.08930121527777768,0.03613939639009794,0.04932024008331969
7/1/1999,154.0,83.5526,15518.8473,8.0094,62.4121,2.9706,1.6280000000000001,0.026078546509619827,-0.12320817933750117,0.9665202537823329,3.1151426174496644,0.06126969383015979,0.17026473369051365,0.7459739038438933,0.08930121527777768,0.03790814517577765,0.04938597025839732
