,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
1/13/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.8417,4.2477,0.13999880219198868,0.11440064681632611,0.8889585092761598,1.1399988021919887,-0.025973527555563147,0.02297033427680839,0.007067464971298065,0.03950443412626803,0.01342035451657627,0.01962131432989823
1/16/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.8417,4.2477,0.12204527145186961,0.09448745407030446,0.8889585092761598,1.1399988021919887,0.0,0.02517874214005844,0.011356994846182467,0.03950443412626803,0.01340191784635275,0.019612761975183444
1/17/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.5069,4.2477,0.17319804757294155,0.13399978040186444,0.9148469151465856,1.1708547719495734,0.029122175669937134,0.03456637986048472,0.01804661717958278,0.03950443412626803,0.014179310140770937,0.019753080480896388
1/18/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.531,4.2477,0.1262030908246825,0.13041959213366439,0.9157848444632981,1.1720551684290745,0.00102523088965345,-0.003730032050332177,0.01311438707677448,0.029122175669937134,0.01123152969854333,0.01974102839405553
1/19/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.002,4.2477,0.11456218473957858,0.15650484307844392,0.8951971013703108,1.1457062166591123,-0.022480982533679028,-0.036266738172250235,-0.002778970003598391,0.029122175669937134,0.011954084926192628,0.019930580969127195
1/20/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.5131,4.2477,0.08246466006346753,0.14912972401192404,0.876169979256584,1.121354605089482,-0.021254673506651445,-0.058013523238882536,-0.0031923560561782915,0.029122175669937134,0.012663550337159895,0.019937542329240828
1/23/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.2264,4.2477,0.11676122704106162,0.1510577940186555,0.9039303519375441,1.1568833523437618,0.03168377522420274,-0.029795695017063584,0.05804911602990148,0.03168377522420274,0.014716379046729846,0.01999593071603674
1/24/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.978,4.2477,0.09931012046578824,0.14531963142635695,0.8942630638764891,1.1445108010778666,-0.010694726690317902,-0.04017176489262597,-0.04049240636887885,0.03168377522420274,0.014852238830922482,0.016410927666608188
1/25/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.9379,4.2477,0.10973550656274655,0.15316139082812041,0.8927024428972286,1.1425134608775347,-0.0017451475324223864,-0.037658114996538816,-0.028182738708051103,0.03168377522420274,0.014841128869776026,0.01631564872361527
1/26/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.2905,4.2477,0.1164024714673979,0.13484260932504388,0.9064250104106263,1.1600761081253395,0.015371939017957192,-0.01624907075758597,-0.00987973421644428,0.03168377522420274,0.015246447171121466,0.01642956014319413
1/27/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.3867,4.2477,0.14073673017452482,0.15911108509662752,0.910168944031695,1.1648677322468335,0.00413043944956093,-0.015852108704983325,0.015307739395070907,0.03168377522420274,0.01525253949311952,0.01622041812189327
1/30/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.2504,4.2477,0.14212170632503485,0.16889356100053066,0.9048643894313657,1.1580787679250075,-0.005828098876712096,-0.022903586407456933,0.010799060951221628,0.03168377522420274,0.015285897452173756,0.01623781116948827
1/31/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.2264,4.2477,0.14908795867985303,0.1772382983144427,0.9039303519375441,1.1568833523437618,-0.001032240305543053,-0.023912184707968742,0.001729469557454344,0.03168377522420274,0.015284208528655361,0.0162084848681387
2/1/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.2264,4.2477,0.14229507551726006,0.1797414068686034,0.9039303519375441,1.1568833523437618,0.0,-0.031741135076997384,-0.016626374417314738,0.03168377522420274,0.015144005960009891,0.016034353362729445
2/2/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.0341,4.2477,0.13239205352709527,0.15406246466513607,0.8964463765182973,1.1473050849990287,-0.008279371749388753,-0.018777502779564692,-0.04359325693406413,0.03168377522420274,0.01453853446486805,0.01586289261281878
2/3/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,24.2202,4.2477,0.16230924272962843,0.12884633842019388,0.9426072878275454,1.2063835192038532,0.05149322092028763,0.029643453825846322,-0.0009940480855293865,0.05149322092028763,0.018490035942612525,0.017146796606065377
2/6/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,23.1222,4.2477,0.06812333987758401,0.08552488740039266,0.8998750724852013,1.1516932563618523,-0.04533405999950446,-0.016030537599632355,-0.021369529057734482,0.05149322092028763,0.021137486826169883,0.017795755059758958
2/7/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.5131,4.2477,0.014446321955615682,0.055978371071307986,0.876169979256584,1.121354605089482,-0.02634264905588557,-0.0393303975284619,-0.0639783135635853,0.05149322092028763,0.02187404467252644,0.01794149616926617
2/8/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.8257,4.2477,0.02853216176636253,0.06897825842063754,0.888335817613612,1.13692489303521,0.01388524903278543,-0.03783622008742449,-0.06037690800414941,0.05149322092028763,0.021927038879045867,0.017986163639736867
2/9/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.7535,4.2477,0.07456067854562276,0.11960500030696997,0.8855259214863649,1.133328684494962,-0.003163101241144939,-0.040232333500651696,-0.08212414227106057,0.05149322092028763,0.021928471745079794,0.01778034601367382
2/10/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.8177,4.2477,0.06789441662376561,0.09752421959095825,0.888024471782338,1.1365264211747947,0.0028215439382952567,-0.02699694679925646,-0.08131318621589301,0.05149322092028763,0.02184750895969889,0.017783217057960397
2/13/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,21.9922,4.2477,0.057418982594480195,0.09826425617847856,0.8558974738177615,1.0954091060781903,-0.036178054755737765,-0.0371907520018212,-0.08806601426438876,0.05149322092028763,0.02253173607062824,0.01798509061718313
2/14/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,21.888,4.2477,0.050792126740278665,0.09657705232837266,0.8518421943654189,1.090219010096281,-0.004738043488145771,-0.041752584089625455,-0.05436290033396263,0.05149322092028763,0.022539035168253257,0.01728920061387006
2/15/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.2967,4.2477,0.04625801819726072,0.1030458591612744,0.8677480745206247,1.1105759412652478,0.018672331871345094,-0.051482756126924434,-0.025911104509432126,0.05149322092028763,0.021929613263433984,0.01740812357375606
2/16/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.7936,4.2477,0.048285250440357474,0.08219852187070265,0.8870865424656255,1.1353260246952936,0.022285809110765165,-0.031337384726530804,-0.008370312364047616,0.05149322092028763,0.022571449109982808,0.01763068012029457
2/17/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.6654,4.2477,0.05052050019930121,0.06612160145350732,0.8820972255194611,1.1289405131321384,-0.005624385792503128,-0.014633510129553828,-0.03217073462346487,0.05149322092028763,0.022073764675529663,0.017478419819464158
2/20/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.6654,4.2477,0.057593870589937035,0.050487375822986236,0.8820972255194611,1.1289405131321384,0.0,0.006764950184559249,-0.006321899551066101,0.05149322092028763,0.021554266451799448,0.017167322841495143
2/21/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.456999999999997,4.2477,0.055369663702840244,0.09152771772844348,0.8739866666147755,1.1185603211683195,-0.009194631464699676,-0.03312609788860965,-0.015458403479236882,0.05149322092028763,0.02041709553333465,0.017206742745399926
2/22/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.3047,4.2477,0.03074008179486576,0.06185447907761277,0.8680594203518986,1.1109744131256631,-0.006781849757313885,-0.029301940987031094,-0.023851516650109095,0.05149322092028763,0.0203458031392955,0.017225483020799796
2/23/2012,235.0,57.0545,6956.0906,-4.8092,10.6173,22.3929,4.2477,0.030994903244520033,0.05608733085631945,0.8714920081416935,1.1153675653867419,0.003954323528225112,-0.023759803643751076,-0.0372165014940774,0.05149322092028763,0.02037641281133172,0.017077776131240893
