,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,283.0,8700.5143,0.6369,75.6103,4.7753,-1.2206,-0.5517286697269237,-0.5494287833131506,0.4599019579517109,1.5725811763156161,0.005157026185063529,-0.005104379349139654,-0.015158389704669206,0.031242689125672518,0.0174938947480508,0.03416470919192602
6/28/1999,283.0,8700.5143,0.6369,75.6103,4.5794,-1.2206,-0.5537038661326005,-0.539377637439211,0.44103512370826226,1.508068234209313,-0.041023600611479916,-0.031101895734597207,0.010815822002472109,0.031242689125672518,0.019407787434717542,0.033532178252044804
6/29/1999,283.0,8700.5143,0.6369,75.6103,4.6039,-1.2206,-0.5523805819956636,-0.5404703800569746,0.44339468184488556,1.5161364684186263,0.005350045857535957,-0.02591824644549756,0.06819025522041788,0.031242689125672518,0.01946106633106079,0.03293472339387394
6/30/1999,283.0,8700.5143,0.6369,75.6103,5.4855,-1.2206,-0.4385995435519031,-0.5263174054098311,0.5283002513651729,1.8064611736810907,0.1914898238450009,0.18518278454757575,0.2727378190255221,0.1914898238450009,0.04589217869487893,0.04070621194800681
7/1/1999,283.0,8700.5143,0.6369,75.6103,5.2406,-1.2206,-0.4805835827700359,-0.5388328344599282,0.5047143008484778,1.7258117631561614,-0.044644973110928854,0.1263083238410454,0.19552868712216265,0.1914898238450009,0.04736606418971054,0.041142015412020366
7/2/1999,283.0,8700.5143,0.6369,75.6103,5.2896,-1.2206,-0.4905665828782757,-0.5424576001849124,0.5204813586673095,1.7419482315747876,0.00935007441895963,0.11341247789845932,0.2272853828306265,0.1914898238450009,0.04725716621782581,0.041064612583637854
7/5/1999,283.0,8700.5143,0.6369,75.6103,5.2896,-1.2206,-0.47317364673074047,-0.5317065883173149,0.5204813586673095,1.7419482315747876,0.0,0.12499202450073366,0.31706588317314854,0.1914898238450009,0.047131821166899,0.04001570917503152
7/6/1999,283.0,8700.5143,0.6369,75.6103,5.4121,-1.2206,-0.4674649952277402,-0.5228920878882997,0.5580865368751031,1.7822894026213527,0.023158650937688874,0.11617307375020625,0.31550035244646457,0.1914898238450009,0.0469531002802128,0.040006557955122944
7/7/1999,283.0,8700.5143,0.6369,75.6103,5.461,-1.2206,-0.4368709783864049,-0.4898944068635539,0.5659888481230437,1.7983929394717777,0.009035309768851363,0.1039459852834157,0.21193963604083454,0.1914898238450009,0.046849669024159414,0.03831195726148861
7/8/1999,283.0,8700.5143,0.6369,75.6103,5.8039,-1.2206,-0.39847231722736987,-0.4949215430217855,0.6076936769032636,1.911315286833959,0.06279069767441858,0.19095889848767755,0.33147510896994725,0.1914898238450009,0.04819293737460915,0.03873465907659059
