,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/15/1999,75.0,67.469,13828.2258,14.7394,17.135,8.6405,10.889000000000001,1.1564590196665665,1.6598782070480183,0.6240114973242722,2.2805373733108105,-0.06765578635014846,-0.18926399939948968,-0.2645068480324143,0.10230258219486554,0.04383140652632273,0.04826929253248945
6/16/1999,75.0,67.469,13828.2258,14.7394,17.135,9.5945,10.889000000000001,1.3157780405976203,1.8355337790543316,0.6929087797092448,2.532332136824324,0.11041027718303353,-0.18330084525745027,-0.18707212092455772,0.11041027718303353,0.04488421250276001,0.050358913094497075
6/17/1999,75.0,67.469,13828.2258,14.7394,17.135,9.8126,10.889000000000001,1.3114031988316488,1.5939038466068358,0.7086598250846772,2.589896537162162,0.02273177341185062,-0.10890945250138495,-0.16473582512619278,0.11041027718303353,0.04359679151937997,0.05045412199188997
6/18/1999,75.0,67.469,13828.2258,14.7394,17.135,10.0307,10.889000000000001,1.3973948374760994,1.5016252390057359,0.7244108704601095,2.6474609374999996,0.022226525079999115,-0.04166507433026323,-0.05882187359255375,0.11041027718303353,0.042702419913314374,0.04916534274544398
6/21/1999,75.0,67.469,13828.2258,14.7394,17.135,10.1669,10.889000000000001,1.4220745187726318,1.4155946255002854,0.7342471491402284,2.6834089949324325,0.013578314574257178,0.002682525124017454,-0.09245985342819141,0.11041027718303353,0.04224142436700045,0.04876389548043422
6/22/1999,75.0,67.469,13828.2258,14.7394,17.135,9.7717,10.889000000000001,1.3279254812273678,1.3376691442729176,0.7057060527056987,2.5791015624999996,-0.03887123902074385,-0.004168110388684032,-0.134059993796801,0.11041027718303353,0.042525144914432385,0.048993087758739166
6/23/1999,75.0,67.469,13828.2258,14.7394,17.135,10.5349,10.889000000000001,1.2802320296097487,1.1327460444579125,0.760823878613677,2.780537373310811,0.07810309362751622,0.06915309280966153,-0.055013365386340274,0.11041027718303353,0.045767835464195016,0.049975005567875305
6/24/1999,75.0,67.469,13828.2258,14.7394,17.135,10.9165,10.889000000000001,1.2374461979913915,1.0111908177905309,0.7883827915676659,2.881255278716216,0.03622246058339407,0.11249821657868453,-0.05319259657582964,0.11041027718303353,0.04624621774531982,0.04999743785775694
6/25/1999,75.0,67.469,13828.2258,14.7394,17.135,11.3254,10.889000000000001,1.2892545278137129,1.0605999353169473,0.8179132934200929,2.9891786317567566,0.03745706041313612,0.110965058562712,-0.01070929419986022,0.11041027718303353,0.04619648297797325,0.05020501904225477
6/28/1999,75.0,67.469,13828.2258,14.7394,17.135,11.3526,10.889000000000001,1.2154008274139416,1.00663492311295,0.8198776603811739,2.996357685810811,0.0024016811768239332,0.10403781071303553,0.02838973838683967,0.11041027718303353,0.046198729259618904,0.04998392727710546
6/29/1999,75.0,67.469,13828.2258,14.7394,17.135,13.138,10.889000000000001,1.584439854431002,1.0227795809973443,0.9488181299515408,3.4675886824324325,0.1572679386219895,0.2776675613646089,0.06637013709081763,0.1572679386219895,0.05676294437814558,0.05174403487363286
6/30/1999,75.0,67.469,13828.2258,14.7394,17.135,12.184000000000001,10.889000000000001,1.4162138579304329,0.9972831475825963,0.8799208475665683,3.215793918918919,-0.07261379205358498,0.20975028545896834,-0.01106304229604782,0.1572679386219895,0.05938779400788778,0.05259825096015097
7/1/1999,75.0,67.469,13828.2258,14.7394,17.135,12.5656,10.889000000000001,1.51226582961793,1.1471299758082254,0.9074797605205572,3.316511824324324,0.031319763624425345,0.17005763876602753,-0.019147756988189713,0.1572679386219895,0.058230410909236724,0.052508322692143186
7/2/1999,75.0,67.469,13828.2258,14.7394,17.135,12.6542,10.889000000000001,1.3930482800355528,1.0335104672932545,0.9138783970187841,3.339896537162162,0.007050996371044782,0.1768064726122942,0.0005455709914368168,0.1572679386219895,0.058205389742644845,0.052483656586283504
7/5/1999,75.0,67.469,13828.2258,14.7394,17.135,12.6542,10.889000000000001,1.3447164112731382,1.002538494320814,0.9138783970187841,3.339896537162162,0.0,0.17087207957436967,0.05034155896976178,0.1572679386219895,0.05823451193664413,0.05211185141076841
7/6/1999,75.0,67.469,13828.2258,14.7394,17.135,13.0562,10.889000000000001,1.383083578221111,1.0348257798382825,0.9429105851935841,3.445998733108108,0.031768108612160395,0.17114870562063844,0.05274955652314128,0.1572679386219895,0.058239227358134124,0.05213264213676245
7/7/1999,75.0,67.469,13828.2258,14.7394,17.135,13.0085,10.889000000000001,1.4349543276430072,1.0,0.9394657210743353,3.433408994932432,-0.003653436681423483,0.21747716382150362,0.01759285334334626,0.1572679386219895,0.05716729739647936,0.05200796229489913
7/8/1999,75.0,67.469,13828.2258,14.7394,17.135,13.0562,10.889000000000001,1.5683485787351237,1.105891610111144,0.9429105851935841,3.445998733108108,0.003666833224430288,0.21960150579619442,0.01590438693412599,0.1572679386219895,0.05715480388759748,0.05200645030460565
7/9/1999,75.0,67.469,13828.2258,14.7394,17.135,13.8194,10.889000000000001,1.7554483281159654,1.086973859988435,0.998028411101562,3.647434543918919,0.058454986902774175,0.3203080215538656,-0.0019715888984379593,0.1572679386219895,0.057518200711085404,0.05161385766486114
7/12/1999,75.0,67.469,13828.2258,14.7394,17.135,13.4242,10.889000000000001,1.7591153861964073,1.014017346980721,0.9694873146670326,3.5431271114864864,-0.0285974789064648,0.36995611797122163,-0.026674690583739835,0.1572679386219895,0.05559205366704028,0.051747268665540934
7/13/1999,75.0,67.469,13828.2258,14.7394,17.135,13.356,10.889000000000001,1.8405538186690484,0.9710117186669218,0.9645619533896163,3.525126689189189,-0.005080377229183197,0.44116536282708396,0.04477611940298498,0.1572679386219895,0.053457230329749805,0.05088081301871914
7/14/1999,75.0,67.469,13828.2258,14.7394,17.135,13.2674,10.889000000000001,1.8299560598950557,0.8430314406381978,0.9581633168913893,3.5017419763513513,-0.006633722671458453,0.5354898443377121,0.08649436582809233,0.1572679386219895,0.05007014941892148,0.0505416129898041
7/15/1999,75.0,67.469,13828.2258,14.7394,17.135,13.5196,10.889000000000001,1.8383439704400404,1.0142971111857575,0.9763770429055298,3.5683065878378377,0.01900899950253998,0.4090989629475221,0.2653114705001498,0.1572679386219895,0.04576759173587905,0.04786515593536948
7/16/1999,75.0,67.469,13828.2258,14.7394,17.135,13.6695,10.889000000000001,1.9242074188165832,1.099131476489967,0.9872027270035459,3.607870565878378,0.011087606142193396,0.3930558669465789,0.26004756461782375,0.1572679386219895,0.045770549521402616,0.0478532143260657
