,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/28/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.4168,10.0811,0.044531448046643884,0.0950060558262682,0.7849379292827737,1.3369866964704187,0.04407562256288977,-0.04609527729190244,0.08110314267389662,0.04407562256288977,0.027303274074469308,0.027022250934683058
6/29/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.3387,10.0811,0.05357835044146153,0.11624434713947318,0.7766724168950884,1.3229080289865525,-0.010530147772624288,-0.05614003498302289,0.009574775419240344,0.04407562256288977,0.02736361574583906,0.026021212682190913
6/30/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.407,10.0811,0.07228165670194131,0.15798312028605754,0.7839007715183778,1.3352201031113675,0.009306825459550083,-0.07400925115639456,0.01897071164243158,0.04407562256288977,0.02657306819369917,0.026044821079856197
7/1/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6217,10.0811,0.08072429243945334,0.1314587941693608,0.8066229931526421,1.3739229188448643,0.028986094235182946,-0.044839902249514396,-0.002251633088533711,0.04407562256288977,0.027493503783661884,0.025504229736926905
7/2/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6412,10.0811,0.09852068028580074,0.0520277749823892,0.80868672543894,1.377438079100119,0.0025584843276436064,0.04419361010139666,0.017144986954901187,0.04407562256288977,0.020260866819361702,0.025414140102060907
7/5/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6412,10.0811,0.0864625840667701,0.02802462640940684,0.80868672543894,1.377438079100119,0.0,0.05684490055600122,-0.008537693006357872,0.04407562256288977,0.0200073852236452,0.025206669644533573
7/6/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6607,10.0811,0.09980618763907834,0.02683224463426903,0.8107504577252379,1.3809532393553738,0.002551955190284172,0.07106705441530115,-0.00851614573222026,0.04407562256288977,0.019764796622659515,0.025206702588592197
7/7/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6705,10.0811,0.11042749395601992,0.036828466783444425,0.8117876154896336,1.3827198327144248,0.0012792564648138605,0.0709847670376007,-0.012220877224611737,0.04407562256288977,0.019765213251226092,0.02519947216580194
7/8/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.7583,10.0811,0.1637740943523589,0.09186229655741385,0.8210797023992211,1.3985470670944948,0.011446450687699672,0.065861599967028,-0.020552701013748065,0.04407562256288977,0.019635205331835125,0.02511287283184879
7/9/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.8461,10.0811,0.18553383095101394,0.09983076969568772,0.8303717893088084,1.4143743014745647,0.011316912210149077,0.07792386212202396,-0.03668553327849333,0.04407562256288977,0.019697464170990324,0.024895049667093022
7/12/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.7778,10.0811,0.2695961607521793,0.1500277496653717,0.823143434685519,1.4020622273497496,-0.00870496170071755,0.10397002256823695,-0.10496093165629061,0.04407562256288977,0.018170745276707003,0.023379622168563576
7/13/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.7681,10.0811,0.2581141487431975,0.13947913967349046,0.8221168601636168,1.4003136604535458,-0.0012471392938877557,0.10411336630848833,-0.1434824795466073,0.04407562256288977,0.01816853556571233,0.022653903224942783
7/14/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6998,10.0811,0.20196690602560086,0.1225881985638464,0.8148885055403274,1.3880015863287307,-0.00879236879030909,0.07071044178382202,-0.15823421374846947,0.04407562256288977,0.017952693266868238,0.022626295418669482
7/15/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.5339,10.0811,0.15177875280916053,0.1172585650731528,0.7973309062430547,1.3580956844647945,-0.02154601418218649,0.030897223628576498,-0.17462039045553146,0.04407562256288977,0.0184881611265489,0.022753379670071936
7/16/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6022,10.0811,0.07209138344380195,0.05394161613312631,0.8045592608663442,1.3704077585896095,0.009065689749001127,0.01722084699270754,-0.1319707695820963,0.04407562256288977,0.017945998236284313,0.022279855290865
7/19/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.2704,10.0811,0.05104592832463539,0.0719644948173419,0.7694440622717988,1.3105959548617372,-0.043645260582462875,-0.019514234467505442,-0.1595884868801294,0.04407562256288977,0.020363091991036985,0.02285675314501294
7/20/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.4851,10.0811,0.11473334624033837,0.0709785991928158,0.7921662839060631,1.349298770595234,0.029530699823943518,0.040854921919541765,-0.14724010253489028,0.04407562256288977,0.02021491665090453,0.023112581818721556
7/21/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6998,10.0811,0.16172543339519296,0.06886042336184905,0.8148885055403274,1.3880015863287307,0.028683651521021813,0.08688226077382377,-0.10794184093147208,0.04407562256288977,0.020616272279077325,0.023361856104004642
7/22/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.8657,10.0811,0.20785921592113143,0.09681976628123024,0.8324461048376002,1.417907488192667,0.0215460141821866,0.10123764455520412,-0.06877323420074344,0.04407562256288977,0.020949240553145766,0.023399242844584774
7/23/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.8754,10.0811,0.20755006286608002,0.06535005673280381,0.8334726793595022,1.4196560550888706,0.0012332023850387674,0.1334772596430629,-0.10673290685540582,0.04407562256288977,0.01965193116062378,0.02269344145281454
7/26/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6998,10.0811,0.1583523889758094,0.06867553255506076,0.8148885055403274,1.3880015863287307,-0.022297280138151687,0.08391401663921627,-0.16002487263682685,0.04407562256288977,0.020217898508680547,0.022214745703897035
7/27/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6998,10.0811,0.14505383379929793,0.10296829456903223,0.8148885055403274,1.3880015863287307,0.0,0.03815661740912524,-0.16269206929174962,0.029530699823943518,0.01802239942337672,0.022205177858426517
7/28/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.6607,10.0811,0.1359787653661937,0.0882304966116525,0.8107504577252379,1.3809532393553738,-0.005078053975427821,0.043876980936678134,-0.16161969904240758,0.029530699823943518,0.01787242226488167,0.022202260474634607
7/29/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.4363,10.0811,0.13854610037664217,0.13406007900297023,0.7870016615690716,1.3405018567256735,-0.02929236231675958,0.003955717564465999,-0.2105587226769431,0.029530699823943518,0.01905093501735312,0.02203456159342006
7/30/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.5729,10.0811,0.1680805774925962,0.17560772458045393,0.8014583708156504,1.3651260049753038,0.01836935034896392,-0.006402771035333266,-0.1985416291843496,0.029530699823943518,0.018382483367669983,0.022191787243669797
8/2/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.5534,10.0811,0.19349639742131197,0.20736948552648204,0.7993946385293526,1.361610844720049,-0.0025749712791665047,-0.011490341831126072,-0.19396869097544578,0.029530699823943518,0.01837888232282852,0.022182786224764443
8/3/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.3972,10.0811,0.19244285391881855,0.23177612277138349,0.782863613753982,1.3334535097523164,-0.020679429131252203,-0.03193215725278764,-0.21633189253326557,0.029530699823943518,0.01890354446973441,0.022250004473920903
8/4/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.2996,10.0811,0.16582818264577637,0.22349991215881682,0.7725343690799987,1.3158596820131954,-0.013194181582220299,-0.04713668463717424,-0.20955516091306792,0.029530699823943518,0.01905177910017679,0.022164739599813972
8/5/1999,599.8240000000001,10.4769,17089.2124,5.4237,9.4329,7.2508,10.0811,0.11343499024892112,0.17788424624928978,0.7673697467430071,1.3070627681436349,-0.0066852978245383055,-0.0547161202007691,-0.19879777677101396,0.029530699823943518,0.019059939597893788,0.02206768188369329
