,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,837.433,24975.1821,30.1614,58.6758,3.553,2.4977,-0.05695933750928972,-0.024524896485826564,0.9365527058017239,1.1504338816215516,-0.0026386705591735504,-0.033249891162385636,0.11484154377157196,0.023500000000000076,0.008806795146513589,0.012096021972262637
6/28/1999,837.433,24975.1821,30.1614,58.6758,3.6094,2.4977,-0.04858054142393964,-0.051058333552995716,0.9624553357154285,1.168695764797306,0.01587390937236144,0.0026111111111111196,0.15953482395271146,0.023500000000000076,0.00847312609535502,0.011788572107077282
6/29/1999,837.433,24975.1821,30.1614,58.6758,3.636,2.4977,-0.025932276039434154,-0.03557651093013292,0.9695482907578263,1.1773086387773604,0.007369645924530488,0.010000000000000009,0.1509242846290202,0.023500000000000076,0.008617631462080711,0.01169771513382944
6/30/1999,837.433,24975.1821,30.1614,58.6758,3.5981,2.4977,-0.03832687424829606,-0.015207804356541454,0.9594421630846355,1.1650369123170574,-0.010423542354235482,-0.023476089670520506,0.13892757660167132,0.01587390937236144,0.007146371653396095,0.011804015019734661
7/1/1999,837.433,24975.1821,30.1614,58.6758,3.6265,2.4977,-0.012364171137558166,-0.0016612652850023224,0.9670150925283985,1.1742326123559124,0.007893054667741373,-0.010720715805554004,0.15130639067906904,0.01587390937236144,0.007342993164926468,0.01180776508151215
7/2/1999,837.433,24975.1821,30.1614,58.6758,3.5886,2.4977,-0.031861224269565946,-0.01610597027005156,0.9569089648552077,1.1619608858956094,-0.01045084792499662,-0.01601316150260479,0.1326221436687287,0.01587390937236144,0.007598591513159882,0.011906945710829403
7/5/1999,837.433,24975.1821,30.1614,58.6758,3.5886,2.4977,-0.04309103514479229,-0.019998933390219187,0.9613179748191802,1.1619608858956094,0.0,-0.02356334349151057,0.1326221436687287,0.01587390937236144,0.007350771406139654,0.011906945710829403
7/6/1999,837.433,24975.1821,30.1614,58.6758,3.6265,2.4977,-0.02620767433742377,-0.02827528798904433,0.9714706670238414,1.1742326123559124,0.010561221646324448,0.002127777163700717,0.16155792575510075,0.01587390937236144,0.007007928049147026,0.011760297485923964
7/7/1999,837.433,24975.1821,30.1614,58.6758,3.5697,2.4977,-0.020873333699050867,-0.009984091283120278,0.9562550227698902,1.1558412122782022,-0.015662484489176842,-0.010999058015182528,0.10722704714640208,0.01587390937236144,0.007797158417097111,0.011326797575492797
7/8/1999,837.433,24975.1821,30.1614,58.6758,3.6075,2.4977,-0.0033704450645081208,-0.0054424399812138535,0.9663809268684703,1.1680805595130164,0.010589125136565958,0.002083333333333215,0.10938557106833136,0.01587390937236144,0.008142793210134572,0.011348921391409174
7/9/1999,837.433,24975.1821,30.1614,58.6758,3.6075,2.4977,-0.0009692605926336917,-0.003046247576848571,0.9663809268684703,1.1680805595130164,0.0,0.002083333333333215,0.11895161290322598,0.01587390937236144,0.008142793210134572,0.011275116275853366
7/12/1999,837.433,24975.1821,30.1614,58.6758,3.5886,2.4977,0.005914505956552185,0.006475122634898467,0.9613179748191802,1.1619608858956094,-0.005239085239085228,-0.0005570099704783615,0.08808101634274279,0.01587390937236144,0.008206977725247217,0.010978581053683984
7/13/1999,837.433,24975.1821,30.1614,58.6758,3.6075,2.4977,0.018664934771559283,0.011238493251256587,0.9663809268684703,1.1680805595130164,0.0052666778130747716,0.007343907070255673,0.0786365674988787,0.01587390937236144,0.008261133033038654,0.010870231360364593
7/14/1999,837.433,24975.1821,30.1614,58.6758,3.5697,2.4977,0.005520971240246864,0.01140812934846891,0.9562550227698902,1.1558412122782022,-0.010478170478170457,-0.005820754191499966,0.04704778106942786,0.01587390937236144,0.008572156313175677,0.010717443544258638
7/15/1999,837.433,24975.1821,30.1614,58.6758,3.5886,2.4977,0.025929843620458026,0.023814288573143827,0.9613179748191802,1.1619608858956094,0.005294562568282979,0.002066346476041536,0.058334316385513674,0.01587390937236144,0.00863620176151029,0.010702307464368344
7/16/1999,837.433,24975.1821,30.1614,58.6758,3.5791,2.4977,0.023213928357014302,0.013064981846250712,0.9587731047414947,1.1588848594741614,-0.002647271916624838,0.010018060729201972,0.052676470588235214,0.01587390937236144,0.008316896877429184,0.010709423580556597
7/19/1999,837.433,24975.1821,30.1614,58.6758,3.5413,2.4977,0.018405084404566674,0.029879504213038866,0.9486472006429145,1.1466455122393473,-0.010561314296890223,-0.011141516810007746,0.05301813856675586,0.01587390937236144,0.008314217067369392,0.010703815422560995
7/20/1999,837.433,24975.1821,30.1614,58.6758,3.5413,2.4977,0.05014530573512843,0.05918984639108005,0.9486472006429145,1.1466455122393473,0.0,-0.008539111932359011,0.03589188556719125,0.01587390937236144,0.008300402427475737,0.01051478013255683
7/21/1999,837.433,24975.1821,30.1614,58.6758,3.5981,2.4977,0.07255492294392951,0.0619131367931558,0.9638628448968658,1.1650369123170574,0.016039307598904262,0.010021333932180632,0.022042323533588926,0.016039307598904262,0.009015784950242432,0.010030143003830583
7/22/1999,837.433,24975.1821,30.1614,58.6758,3.5886,2.4977,0.07253653725455034,0.06470605816073394,0.9613179748191802,1.1619608858956094,-0.002640282371251468,0.007354592409611671,0.027457268016148006,0.016039307598904262,0.009041678295090692,0.009981797814015524
7/23/1999,837.433,24975.1821,30.1614,58.6758,3.5602,2.4977,0.06964307174618445,0.07030404999399109,0.9537101526922046,1.1527651858567542,-0.00791394972969961,-0.0006175611947001336,0.022047424929666493,0.016039307598904262,0.009221785922223608,0.010030264689459122
7/26/1999,837.433,24975.1821,30.1614,58.6758,3.5507,2.4977,0.052932803511061,0.05361485083921469,0.9511652826145192,1.1496891594353063,-0.0026683894163249677,-0.0006473402758232494,0.013935292269910526,0.016039307598904262,0.009222215151271604,0.010017569473352632
7/27/1999,837.433,24975.1821,30.1614,58.6758,3.5791,2.4977,0.0241215520201441,0.032791576055854366,0.9587731047414947,1.1588848594741614,0.007998422846199338,-0.008394747049371043,0.022687658942195155,0.016039307598904262,0.008689582727429108,0.010063957259810002
7/28/1999,837.433,24975.1821,30.1614,58.6758,3.5886,2.4977,0.02426076036077185,0.03778970202077869,0.9613179748191802,1.1619608858956094,0.00265429856667887,-0.013036303630363011,0.028134311253724453,0.016039307598904262,0.0085393379535173,0.010060127826954998
7/29/1999,837.433,24975.1821,30.1614,58.6758,3.5676,2.4977,0.04975724584375474,0.05873179343828161,0.9556924725421913,1.1551612485429348,-0.00585186423674966,-0.008476696034017905,0.0166999145055573,0.016039307598904262,0.008331862588627859,0.01007200780563065
7/30/1999,837.433,24975.1821,30.1614,58.6758,3.6821,2.4977,0.05359391095341648,0.0376845599175919,0.9863648540048219,1.1922354617277555,0.03209440520237705,0.015331586929546503,0.052118753035974574,0.03209440520237705,0.010831149038563505,0.010829866188208177
8/2/1999,837.433,24975.1821,30.1614,58.6758,3.6726,2.4977,0.06150644545927508,0.03722758540956117,0.9838199839271363,1.1891594353063075,-0.0025800494283153563,0.02340745694699886,0.04382673942701221,0.03209440520237705,0.01055575798564525,0.010823018582403808
8/3/1999,837.433,24975.1821,30.1614,58.6758,3.7107,2.4977,0.05121958129125481,0.01662936627099909,0.9940262523439592,1.2014959202175883,0.010374121875510456,0.03402441063367334,0.05187515945233456,0.03209440520237705,0.010740143578908555,0.010888589457910646
8/4/1999,837.433,24975.1821,30.1614,58.6758,3.6535,2.4977,0.02485343207383095,0.017279587085191617,0.9787034556656845,1.1829750032379227,-0.01541488128924462,0.007445195091686285,0.04955472565354779,0.03209440520237705,0.01115040671673635,0.010937396617440764
8/5/1999,837.433,24975.1821,30.1614,58.6758,3.6821,2.4977,0.027830504689593694,-0.0035451094238498904,0.9863648540048219,1.1922354617277555,0.007828110031476765,0.031487239824074864,0.04376789409530302,0.03209440520237705,0.01062299822426419,0.010856018668582735
8/6/1999,837.433,24975.1821,30.1614,58.6758,3.6630000000000003,2.4977,0.04812864827744079,0.03224791118232795,0.98124832574337,1.1860510296593707,-0.00518725727166558,0.015384615384615552,0.041098226466575793,0.03209440520237705,0.010507578717700217,0.010873551041982241
8/9/1999,837.433,24975.1821,30.1614,58.6758,3.6344,2.4977,0.032177444548578515,0.024537786487177193,0.9735869274042325,1.1767905711695377,-0.007807807807807876,0.007456687456687483,0.03573667711598749,0.03209440520237705,0.010673363881836812,0.010918382274544756
8/10/1999,837.433,24975.1821,30.1614,58.6758,3.6058,2.4977,0.013975984927308005,0.009139225556086705,0.965925529065095,1.1675301126797046,-0.00786924939467315,0.004792955470099836,0.0330621132248452,0.03209440520237705,0.010758033489520195,0.010945594812366498
8/11/1999,837.433,24975.1821,30.1614,58.6758,3.5581,2.4977,0.015555428701906626,0.0296552117821669,0.9531476024645057,1.1520852221214868,-0.013228687115203197,-0.013693693693693665,0.008617512827054474,0.03209440520237705,0.011081789023439698,0.011003820639798155
8/12/1999,837.433,24975.1821,30.1614,58.6758,3.5676,2.4977,0.023378560569117468,0.023980952927340038,0.9556924725421913,1.1551612485429348,0.0026699643067928935,-0.0005882847298092075,0.0166999145055573,0.03209440520237705,0.010864991169697738,0.010985410272795407
8/13/1999,837.433,24975.1821,30.1614,58.6758,3.5867,2.4977,0.028857462493904418,0.029402484151343833,0.9608090008036432,1.1613456806113198,0.005353739208431518,-0.0005294543833249676,0.02214306070105443,0.03209440520237705,0.010866433051324738,0.01100356980071032
8/16/1999,837.433,24975.1821,30.1614,58.6758,3.5867,2.4977,0.039321935670820096,0.03711967545638939,0.9608090008036432,1.1613456806113198,0.0,0.002123438853343096,0.008718395815169977,0.03209440520237705,0.01084915636861902,0.010878936354110543
8/17/1999,837.433,24975.1821,30.1614,58.6758,3.5962,2.4977,0.05926362297496324,0.043092783505154664,0.9633538708813287,1.1644217070327678,0.002648674268826534,0.015502781464433957,-0.009420449537240971,0.03209440520237705,0.010576178123355026,0.010553459037808636
8/18/1999,837.433,24975.1821,30.1614,58.6758,3.5676,2.4977,0.07315605823607285,0.06524485621465548,0.9556924725421913,1.1551612485429348,-0.007952839107947307,0.0074266512297744836,-0.0322265625,0.03209440520237705,0.010746727429219385,0.010408937228324271
8/19/1999,837.433,24975.1821,30.1614,58.6758,3.5295,2.4977,0.05610412926391373,0.07663076002393776,0.9454862041253683,1.142824763631654,-0.010679448368651201,-0.01906561796503714,-0.04977923756192115,0.03209440520237705,0.010378789343281647,0.010435250904804304
8/20/1999,837.433,24975.1821,30.1614,58.6758,3.5485,2.4977,0.04521354933726074,0.05702503681885118,0.9505759442807394,1.14897681647455,0.005383198753364571,-0.011174274090174352,-0.04942405571926056,0.03209440520237705,0.01045756730492646,0.010438704514070026
8/23/1999,837.433,24975.1821,30.1614,58.6758,3.5485,2.4977,0.047960780839313655,0.05141608339978143,0.9505759442807394,1.14897681647455,0.0,-0.0032863322285264784,-0.01749868482985839,0.03209440520237705,0.010318069185812706,0.0096152530164914
8/24/1999,837.433,24975.1821,30.1614,58.6758,3.5389999999999997,2.4977,0.04515519329021589,0.048610495850683666,0.9480310742030538,1.1459007900531017,-0.0026771875440327886,-0.003295124904948432,-0.03705920766216808,0.03209440520237705,0.010318178590845458,0.009344749945593105
