,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
7/2/2014,3864.0,184280.5132,23.9078,18.2243,37.6492,9.3723,0.29184695148522666,0.31897459828367714,0.9565539949998983,1.3061300954032957,0.004415252496418498,-0.020567224595341216,0.024264567854548558,0.012587033185640584,0.011369472416520523,0.011040729079375844
7/3/2014,3864.0,184280.5132,23.9078,18.2243,38.0077,9.3723,0.3045554083460902,0.3159164704509416,0.9656624118376389,1.3185672159583695,0.009522114679727522,-0.008633573908348513,0.04737589043360857,0.012587033185640584,0.011585637982023623,0.010967801043622815
7/4/2014,3864.0,184280.5132,23.9078,18.2243,38.0077,9.3723,0.29806831920546983,0.32193427640521577,0.9656624118376389,1.3185672159583695,0.0,-0.018053815250668404,0.027335092063011546,0.012587033185640584,0.011361002422591068,0.010703148061329432
7/7/2014,3864.0,184280.5132,23.9078,18.2243,37.7034,9.3723,0.2937067016199042,0.3448429677769125,0.9579310555092584,1.3080104076322638,-0.008006272413221494,-0.03802396813773634,0.003155530959324082,0.01157838735295691,0.011031260286496593,0.01057067192443831
7/8/2014,3864.0,184280.5132,23.9078,18.2243,37.3992,9.3723,0.2893119270799218,0.3533962374728945,0.9502022398829244,1.2974570685169124,-0.008068237877751128,-0.04735073780952204,0.02231929299914981,0.01157838735295691,0.01108377692926309,0.01005840504935249
7/9/2014,3864.0,184280.5132,23.9078,18.2243,37.1225,9.3723,0.27937152349377237,0.35170353113088537,0.9431721173194577,1.2878577623590635,-0.007398553979764189,-0.05351173979444834,0.03584184385289357,0.01157838735295691,0.011135139565853902,0.009755012344301185
7/10/2014,3864.0,184280.5132,23.9078,18.2243,37.1779,9.3723,0.2732898833151245,0.34012596623776026,0.9445796662533791,1.2897797051170858,0.0014923563876354518,-0.0498729855300617,0.021921144352453403,0.01157838735295691,0.011170197856288712,0.009577095476339824
7/11/2014,3864.0,184280.5132,23.9078,18.2243,37.0027,9.3723,0.2547711735662741,0.3094277304541262,0.9401283562674037,1.2837016478751084,-0.004712477036088791,-0.04174079685092391,0.013009376497159497,0.01157838735295691,0.010911472623800367,0.009586744320294638
7/14/2014,3864.0,184280.5132,23.9078,18.2243,37.3346,9.3723,0.26680782046322893,0.31460331032797906,0.9485609463606984,1.2952159583694711,0.008969615730744174,-0.03635734787007783,0.011906665618656165,0.01157838735295691,0.011115874545032229,0.009569567012255585
7/15/2014,3864.0,184280.5132,23.9078,18.2243,37.3807,9.3723,0.26174467194577766,0.3080449061978925,0.9497322100042683,1.2968152645273199,0.001234779534265762,-0.035396517376988346,0.014420898090329981,0.01157838735295691,0.011126701364708723,0.009568484224048953
