,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.2767,2.84,-0.14982438049817937,-0.1621660812683272,0.856356908695511,1.4604356369876283,-0.02898310698906914,0.014730485952193284,0.1646801748112834,0.028983106989069363,0.013345790519193816,0.015633503158466622
6/28/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.2137,2.84,-0.15386737641598236,-0.14596384173455812,0.8523156397639405,1.4429990866568874,-0.011939280231963112,-0.009254332623897854,0.16276009723678042,0.028983106989069363,0.0133629166649601,0.01565646915915233
6/29/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.1979,2.84,-0.15026728351669905,-0.1397230713900377,0.849732716483301,1.4386261105421936,-0.0030304773960911913,-0.012256764974156398,0.15122588646984547,0.028983106989069363,0.01337521876378653,0.01566134379379586
6/30/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.3239,2.84,-0.12324819261235453,-0.14363585461851358,0.8703307122656161,1.4734992112036756,0.024240558687162128,0.023807234476260097,0.1791322451329982,0.028983106989069363,0.014141453800831481,0.01589844635521287
7/1/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.4184,2.84,-0.10986989091864896,-0.15084110921277438,0.8857792091023525,1.4996540366997868,0.017750145569976894,0.04824917779067528,0.17574047954866012,0.028983106989069363,0.014481677092457223,0.015849228725008588
7/2/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.4972,2.84,-0.09912980777109515,-0.1478179643073696,0.8986611302741496,1.5214635631452216,0.014543038535361097,0.05713351666314126,0.21751456224668342,0.028983106989069363,0.014707497264122125,0.01564116989728517
7/5/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.4972,2.84,-0.10133886972585038,-0.13717284334079882,0.9030753055592062,1.5214635631452216,0.0,0.04153088291019347,0.2217357484164908,0.028983106989069363,0.014445700545397953,0.01562333108110912
7/6/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.5445,2.84,-0.0891542909712183,-0.11504468392692868,0.9221468250008317,1.5345548144252856,0.00860438041184608,0.02925615845848273,0.22799052069721593,0.028983106989069363,0.013899720941346422,0.01563759662256797
7/7/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.4342,2.84,-0.09619798423311055,-0.10143698233709209,0.9220979756672831,1.5040270128144804,-0.019893588240598836,0.005830418124270986,0.1831740294802846,0.028983106989069363,0.014651472488002904,0.015806017982574416
7/8/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.4972,2.84,-0.0672119186194492,-0.07790202433271687,0.9375447692465122,1.5214635631452216,0.01159324279562779,0.01159324279562779,0.1928393186503201,0.028983106989069363,0.014811773118352014,0.015844727281893945
7/9/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.4815,2.84,-0.06513285806869751,-0.0839444690793738,0.974540864401657,1.5171182640945446,-0.002855999417885613,0.020535448316949534,0.1814596085869471,0.028983106989069363,0.014571328095996195,0.01585356185363546
7/12/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.4499,2.84,-0.031077213006915794,-0.033868472985225884,0.9718947837717343,1.5083723118651573,-0.0057648453890356555,0.0028891097125613996,0.14392762688384209,0.028983106989069363,0.014430830561292936,0.015584771860172795
7/13/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.2767,2.84,-0.05687322382884419,-0.0005719494539669912,0.9410075791350869,1.4604356369876283,-0.0317803996403605,-0.05633349428617418,0.07936670280442648,0.024240558687162128,0.01447043057462222,0.015859281795161825
7/14/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.1822,2.84,-0.024325036713484183,0.05277328011447091,0.9241551493535444,1.4342808114915169,-0.01790892034794478,-0.07323354257202652,0.014784498795699763,0.024240558687162128,0.014829285565744853,0.015043683205526176
7/15/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.0562,2.84,-0.0507106246362391,0.05279462290896131,0.9016852429781542,1.399407710830035,-0.02431399791594313,-0.09831475702184578,-0.024746841546918752,0.024240558687162128,0.015420367028393627,0.015236246117028902
7/16/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,5.1034,2.84,-0.0445218303003071,0.038062607653710945,0.9101025412394115,1.412471285046082,0.009335073770815994,-0.07955631707097133,0.008577075098814335,0.024240558687162128,0.015643030825222334,0.014975560232075497
7/19/1999,32068.0,66.2388,34455.2548,1.8743,11.7643,4.9774,2.84,-0.0681120347487455,0.046899573129634,0.8876326348640214,1.3775981843846006,-0.024689422737782518,-0.10985925568252952,-0.025319678069986473,0.024240558687162128,0.01600757016131221,0.015254515915872822
