,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1258.1,7314.0266,30.5696,12.0038,2.6051,1.0966,-0.1350068067868645,-0.13138758840521958,0.8649931932131355,1.6008726110735576,-0.00625596032805642,-0.004166666666666652,0.008868406784912297,0.012059710272814161,0.009173971416477033,0.012752535342511886
6/28/1999,1258.1,7314.0266,30.5696,12.0038,2.6051,1.0966,-0.1164060645117525,-0.11084353695349858,0.8649931932131355,1.6008726110735576,0.0,-0.00625596032805642,0.010982614095001564,0.012059710272814161,0.009159526260770158,0.012749142647856395
6/29/1999,1258.1,7314.0266,30.5696,12.0038,2.6543,1.0966,-0.11867051831191677,-0.12956137729521522,0.8813294816880832,1.6311067412278006,0.018886031246401203,0.01251192065611284,0.021473927265730275,0.018886031246401203,0.010068263134370885,0.012924245297548155
6/30/1999,1258.1,7314.0266,30.5696,12.0038,2.6597,1.0966,-0.0978869178848829,-0.11084353695349858,0.8831224889597238,1.634425121366681,0.002034434690878939,0.014571810032424137,0.023552049259187857,0.018886031246401203,0.010071575506256375,0.012925721450262523
7/1/1999,1258.1,7314.0266,30.5696,12.0038,2.6379,1.0966,-0.10205262620417332,-0.11134561051162484,0.875884052196434,1.621028697843053,-0.008196413129300195,0.010457366122730516,0.016218506818707068,0.018886031246401203,0.010207369041097309,0.01297041455046289
7/2/1999,1258.1,7314.0266,30.5696,12.0038,2.5996,1.0966,-0.13683301789686875,-0.12956137729521522,0.8662157209023358,1.5974927794506237,-0.014519125061602023,-0.008353995803929037,0.008848183793852993,0.018886031246401203,0.010679258025899443,0.013070306669370495
7/5/1999,1258.1,7314.0266,30.5696,12.0038,2.5996,1.0966,-0.13378427909766422,-0.12648695478324612,0.8801760622989674,1.5974927794506237,0.0,-0.008353995803929037,0.01309431021044416,0.018886031246401203,0.010679258025899443,0.013058131519675857
7/6/1999,1258.1,7314.0266,30.5696,12.0038,2.5887,1.0966,-0.12351447435246321,-0.11240900626375483,0.8780314079299935,1.5907945676888096,-0.00419295276196352,-0.012511920656113062,0.017450772314585583,0.018886031246401203,0.0107116373602404,0.01302306611986192
7/7/1999,1258.1,7314.0266,30.5696,12.0038,2.5996,1.0966,-0.1182715463148255,-0.11270901875657158,0.8913118014126038,1.5974927794506237,0.004210607640900976,-0.0062691131498471275,0.01309431021044416,0.018886031246401203,0.010754266735963454,0.012990692151018465
7/8/1999,1258.1,7314.0266,30.5696,12.0038,2.5887,1.0966,-0.11242542686689982,-0.10025372008503042,0.8891903960430046,1.5907945676888096,-0.00419295276196352,-0.013527932322231706,0.010973990470983352,0.018886031246401203,0.010758037752480056,0.01299956209476113
7/9/1999,1258.1,7314.0266,30.5696,12.0038,2.5669,1.0966,-0.11829766770858385,-0.09768831793356925,0.8881699595169718,1.5773981441651816,-0.00842121528180162,-0.022840610605656897,0.006706408345752646,0.018886031246401203,0.010883717850860218,0.013033639927800579
7/12/1999,1258.1,7314.0266,30.5696,12.0038,2.5996,1.0966,-0.10051555309504856,-0.08916646482820656,0.9011057575652536,1.5974927794506237,0.012739101640110606,-0.012460112444917182,0.008848183793852993,0.018886031246401203,0.011277890488290334,0.013064087999109816
7/13/1999,1258.1,7314.0266,30.5696,12.0038,2.6106,1.0966,-0.0950812853131825,-0.08752469756317371,0.9340250447227191,1.604252442696491,0.004231420218494986,-0.008281416198146263,0.023845007451564815,0.018886031246401203,0.011325645565877476,0.013001027129851564
7/14/1999,1258.1,7314.0266,30.5696,12.0038,2.4467,1.0966,-0.12461538461538468,-0.058175313059033895,0.8767020209258993,1.503533460333067,-0.06278250210679537,-0.07054399027503422,-0.03012645181749718,0.018886031246401203,0.01771629759900633,0.015193842345641476
7/15/1999,1258.1,7314.0266,30.5696,12.0038,2.5123,1.0966,-0.08736559139784938,-0.033820110433013695,0.9002078257130572,1.543845633872058,0.026811623819839037,-0.055419784186186316,0.008874789173560327,0.026811623819839037,0.018688348900615406,0.015486812043657022
7/16/1999,1258.1,7314.0266,30.5696,12.0038,2.5341,1.0966,-0.06196557468073283,-0.007366277993707149,0.9080192059624481,1.5572420573956862,0.00867730764637975,-0.055004474940334114,0.022061789142534538,0.026811623819839037,0.018701374471317245,0.015511287536391348
7/19/1999,1258.1,7314.0266,30.5696,12.0038,2.5396,1.0966,-0.046804038584243424,0.012611192433284568,0.9099899670345422,1.5606218890186199,0.0021703958012706526,-0.05867526594758887,0.028761241189338094,0.026811623819839037,0.018630842426930225,0.01550035259087004
7/20/1999,1258.1,7314.0266,30.5696,12.0038,2.5286,1.0966,-0.04328414680287562,0.02905788876276949,0.9060484448903541,1.5538622257727523,-0.004331390770200061,-0.07029928671225838,0.02206952303961196,0.026811623819839037,0.018466557249817134,0.0155111345752038
7/21/1999,1258.1,7314.0266,30.5696,12.0038,2.6215,1.0966,-0.010119699429822826,0.039383755616810845,0.9393363909989968,1.6109506544583052,0.036739697856521536,-0.04762769744968398,0.0391643873627463,0.036739697856521536,0.02019712950597409,0.01599329552395734
7/22/1999,1258.1,7314.0266,30.5696,12.0038,2.545,1.0966,-0.015283420390791225,0.03965950860901524,0.9119248960871434,1.5639402691575002,-0.029181766164409817,-0.05284704131001117,0.0002751247887435859,0.036739697856521536,0.02051585312274622,0.016397281165790714
7/23/1999,1258.1,7314.0266,30.5696,12.0038,2.5341,1.0966,0.0011061509896101995,0.03563386402243918,0.9080192059624481,1.5572420573956862,-0.004282907662082502,-0.03333969101659362,-0.01243180046765402,0.036739697856521536,0.019897852366676093,0.01637096302948645
7/26/1999,1258.1,7314.0266,30.5696,12.0038,2.5123,1.0966,0.036000000000000254,0.0742680412371135,0.9002078257130572,1.543845633872058,-0.008602659721400063,-0.035622432920041414,-0.045623765385199744,0.036739697856521536,0.019932917817384235,0.016063149793946827
7/27/1999,1258.1,7314.0266,30.5696,12.0038,2.5232,1.0966,-0.008409966202939545,0.023775839031674906,0.9041135158377527,1.5505438456338723,0.004338653823189764,-0.031438332501631416,-0.06855181069806926,0.036739697856521536,0.01997205341020853,0.015622474784305465
7/28/1999,1258.1,7314.0266,30.5696,12.0038,2.5461,1.0966,0.027440377708728425,0.0711028610629112,0.9123190483015623,1.564616235482087,0.009075776791376056,-0.04076404325057459,-0.07501998110876995,0.036739697856521536,0.019586639328983538,0.015522605562746629
7/29/1999,1258.1,7314.0266,30.5696,12.0038,2.5461,1.0966,0.07830764018295766,0.1264187701168895,0.9123190483015623,1.564616235482087,0.0,-0.042711584013234494,-0.07683103698332128,0.036739697856521536,0.01957178207082056,0.015518296597176384
7/30/1999,1258.1,7314.0266,30.5696,12.0038,2.5516,1.0966,0.047626868122844446,0.08305961570044351,0.9142898093736563,1.5679960671050206,0.0021601665292014793,-0.032715417567004024,-0.05806785041898921,0.036739697856521536,0.019535400620819026,0.015375899915769793
8/2/1999,1258.1,7314.0266,30.5696,12.0038,2.5461,1.0966,0.1083010490575893,0.13158925695381551,0.9123190483015623,1.564616235482087,-0.002155510268067151,-0.020580089244499167,-0.030758688948951174,0.036739697856521536,0.019305131742777995,0.01490857846009144
8/3/1999,1258.1,7314.0266,30.5696,12.0038,2.5406,1.0966,0.1033135015416684,0.12893559734225035,0.9103482872294683,1.5612364038591533,-0.0021601665292015904,-0.02269579935374677,-0.05258054892601427,0.036739697856521536,0.01930636057711352,0.014660378501659679
8/4/1999,1258.1,7314.0266,30.5696,12.0038,2.5296,1.0966,0.08851499634235549,0.11394638323507889,0.9064067650852802,1.5544767406132858,-0.004329685900968272,-0.02282999188782009,-0.07364412055516911,0.036739697856521536,0.019307545475538423,0.01446177090919392
8/5/1999,1258.1,7314.0266,30.5696,12.0038,2.5241,1.0966,0.09363084922010367,0.12634315424610043,0.9044360040131861,1.551096908990352,-0.002174256799494012,-0.029042929681489582,-0.07565825612480326,0.036739697856521536,0.019272980673801187,0.014461675332374238
8/6/1999,1258.1,7314.0266,30.5696,12.0038,2.5185,1.0966,0.09120450606585773,0.12162045060658566,0.9024294109215996,1.5476556258833651,-0.0022186125747790664,-0.0271178583845173,-0.09403215943019538,0.036739697856521536,0.019262578235040684,0.01425244104261733
8/9/1999,1258.1,7314.0266,30.5696,12.0038,2.5185,1.0966,0.09628694554476991,0.1173551560527577,0.9024294109215996,1.5476556258833651,0.0,-0.01885542872725854,-0.09223615916955019,0.036739697856521536,0.01919068738655912,0.01425347107177204
8/10/1999,1258.1,7314.0266,30.5696,12.0038,2.513,1.0966,0.09389283071431676,0.13158925695381551,0.9004586498495055,1.5442757942604313,-0.0021838395870558136,-0.03331281735651648,-0.09954135015049448,0.036739697856521536,0.018941779000930102,0.0142226454649717
8/11/1999,1258.1,7314.0266,30.5696,12.0038,2.5241,1.0966,0.09614800017370895,0.1337125982542231,0.9044360040131861,1.551096908990352,0.004417031436529939,-0.033134145407186066,-0.06821957252021116,0.036739697856521536,0.018944599845180033,0.013788302662754062
8/12/1999,1258.1,7314.0266,30.5696,12.0038,2.5296,1.0966,0.1126946423858537,0.07622943608691823,0.9064067650852802,1.5544767406132858,0.0021789944930865612,0.033882372174766084,-0.05087798289058987,0.036739697856521536,0.012699986267814475,0.013657112286436887
8/13/1999,1258.1,7314.0266,30.5696,12.0038,2.5792,1.0966,0.18873576992210905,0.15790201410333227,0.9241794467536191,1.5849566767037426,0.019607843137255054,0.026628985391871973,-0.04399718299418065,0.036739697856521536,0.0120683547163854,0.013800368093854608
8/16/1999,1258.1,7314.0266,30.5696,12.0038,2.5681,1.0966,0.38771209337512147,0.3693396736193666,0.9202020925899383,1.5781355619738215,-0.0043036600496279,0.013416992226036761,-0.036432537895842776,0.036739697856521536,0.012005011892486327,0.013730253722144679
8/17/1999,1258.1,7314.0266,30.5696,12.0038,2.6122,1.0966,0.37209790944426935,0.33396365164408026,0.9360040131861832,1.6052356664413447,0.017172228495775155,0.028587179083320313,-0.041464846616762085,0.036739697856521536,0.012531500242320165,0.013601809051869643
8/18/1999,1258.1,7314.0266,30.5696,12.0038,2.5847,1.0966,0.4465524960823821,0.41515558540407427,0.9261502078257131,1.5883365083266763,-0.010527524691830603,0.02218618998655386,-0.043907671820670124,0.036739697856521536,0.01274475327257919,0.013627756624796726
8/19/1999,1258.1,7314.0266,30.5696,12.0038,2.5571,1.0966,0.3660451947219405,0.4004487419199745,0.9162605704457504,1.5713758987279545,-0.010678221843927749,-0.024566088117489948,-0.036619824435821124,0.019607843137255054,0.010030367166070022,0.013504431870449928
8/20/1999,1258.1,7314.0266,30.5696,12.0038,2.5681,1.0966,0.22255546034466334,0.21155860230410362,0.9202020925899383,1.5781355619738215,0.004301748073989975,0.009076620825147375,-0.010060905095983341,0.019607843137255054,0.007751633326329039,0.013215471907750808
8/23/1999,1258.1,7314.0266,30.5696,12.0038,2.5296,1.0966,0.23232815316412503,0.23452038778194573,0.9064067650852802,1.5544767406132858,-0.014991628051867156,-0.0017757783828579177,-0.028981612989904537,0.019607843137255054,0.008403951850460159,0.013336011504471036
8/24/1999,1258.1,7314.0266,30.5696,12.0038,2.5185,1.0966,0.2765472147599979,0.2734046327740889,0.9024294109215996,1.5476556258833651,-0.00438804554079697,0.002467858137961132,-0.03727064220183496,0.019607843137255054,0.00823821063950058,0.013332443814414589
8/25/1999,1258.1,7314.0266,30.5696,12.0038,2.4359,1.0966,0.23467991281869338,0.278929494652542,0.8728321628206966,1.4968967000553064,-0.0327972999801468,-0.034598922003804655,-0.07079916078580961,0.019607843137255054,0.010861953812418581,0.013933469924640474
