,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.1366,9.2111,0.007240342681326117,0.07614356484552509,0.8124267158453149,1.3666411336652622,0.0012486496345243125,-0.06402790892875876,0.2373175214119767,0.07880198879330758,0.03561921079415462,0.034916773429185255
6/28/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.7047,9.2111,0.12061843674549833,0.16321959449632018,0.877098915109912,1.4754308693986977,0.07960373286999411,-0.036623487046113845,0.32162890028646407,0.07960373286999411,0.03836139577537821,0.03618662054964194
6/29/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.6958,9.2111,0.1136547811993518,0.1573280852049086,0.8760857438839749,1.4737265415549596,-0.0011551390709566567,-0.03773632089626888,0.32010223510643776,0.07960373286999411,0.03836060027363113,0.03618952533536274
6/30/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.5804,9.2111,0.10818080813987496,0.11142623238407112,0.8629486697858679,1.451627728839525,-0.014995192182749029,-0.00292005366585113,0.3003070483901402,0.07960373286999411,0.03690382751139241,0.03627252705266527
7/1/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.6159,9.2111,0.09930859279146631,0.18386524054908415,0.8669899707432579,1.4584258904634237,0.004683130177826955,-0.07142421693063639,0.3024421110237028,0.07960373286999411,0.032297987826160945,0.03627181615611761
7/2/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.8733,9.2111,0.11396757123857504,0.14285916409632415,0.8962922486709243,1.5077173496744543,0.03379771268005105,-0.025280099040544735,0.3485141731609147,0.07960373286999411,0.03313473232477244,0.03644438926427056
7/5/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.8733,9.2111,0.12511074909257203,0.17331161222098368,0.8962922486709243,1.5077173496744543,0.0,-0.04108104158039594,0.3650438642116578,0.07960373286999411,0.03290202950311936,0.036382412626482064
7/6/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.7136,9.2111,0.1334528462691391,0.22083933347047924,0.8781120863358491,1.4771351972424356,-0.020283743792310793,-0.07157902338625222,0.29370723198711923,0.07960373286999411,0.0329971041123844,0.03634502958380126
7/7/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.8644,9.2111,0.16308029045949968,0.12764541461466772,0.895279077444987,1.506013021830716,0.019549885915785215,0.0314237750498374,0.317055198285102,0.07960373286999411,0.02784791884655177,0.036390164052158766
7/8/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.8822,9.2111,0.16723185594337253,0.14226480475055148,0.8973054198968614,1.5094216775181921,0.0022633640201414895,0.02185749844430629,0.3180716041537768,0.07960373286999411,0.02775778731226732,0.03638908330954994
7/9/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.8112,9.2111,0.1463289355894397,0.11245799151758851,0.8892228179820817,1.4958253542703945,-0.009007637461622364,0.030446942113872666,0.3120349374317628,0.07960373286999411,0.027537819194311752,0.03641278074239624
7/12/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.8644,9.2111,0.18299011717986136,0.13760736473171997,0.895279077444987,1.506013021830716,0.00681073330602211,0.03989315985031783,0.20706644360198312,0.07960373286999411,0.027541752197691532,0.0345698789033627
7/13/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.9621,9.2111,0.19768648746220618,0.148287429112953,0.9064011930375785,1.524722328609728,0.01242307105437157,0.04301976760941617,0.1393145882521285,0.07960373286999411,0.02758917447289879,0.033444015360775486
7/14/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.0952,9.2111,0.1925927017192357,0.16644322986490678,0.9215532256412008,1.5502106472615855,0.016716695344193067,0.02241812647612318,0.21044289601961785,0.07960373286999411,0.02664155426210428,0.032972483619512466
7/15/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.3793,9.2111,0.3015377446411931,0.2739515377446413,0.9538950172466788,1.6046150900038298,0.035094871034687225,0.02165404733165066,0.19824109824109848,0.07960373286999411,0.026591947041754917,0.03278177589334725
7/16/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.1219,9.2111,0.22819035521480746,0.2013337567481741,0.9245927393190123,1.5553236307927996,-0.030718556442662304,0.022355651221630524,0.16511497797988772,0.07960373286999411,0.02655137045819614,0.033053482532388344
7/19/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.3615,9.2111,0.26945207767167156,0.1805152807931132,0.9518686747948043,1.6012064343163537,0.029500486339403276,0.07533726867034485,0.23718280683583637,0.07960373286999411,0.026698883524816645,0.03293844632968642
7/20/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.113,9.2111,0.295364915137871,0.23159457776500458,0.9235795680930751,1.5536193029490615,-0.029719547928003354,0.0517786766231072,0.16459003215434076,0.07960373286999411,0.02758501995799499,0.03302465709646244
7/21/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.2373,9.2111,0.24235340250965254,0.11917833011583023,0.9377298134171191,1.5774224435082342,0.015321089609269034,0.11005848583672462,0.14253020236625646,0.07960373286999411,0.02605827196922678,0.03281023460274627
7/22/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.0952,9.2111,0.25400046472000626,0.1357602044768027,0.9215532256412008,1.5502106472615855,-0.017250798198438666,0.10410671176639075,0.06159596092059538,0.07960373286999411,0.02625853617287537,0.03213438740495444
7/23/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.0952,9.2111,0.2574091332712023,0.10712954333643987,0.9215532256412008,1.5502106472615855,0.0,0.13573803611263102,0.0634507763852763,0.07960373286999411,0.025195593900968486,0.03213233784464771
7/26/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.1485,9.2111,0.23546357364869985,0.08204078538397375,0.927620869050465,1.5604174645729605,0.006584148631287645,0.14179020822240296,-0.0020330430735692184,0.07960373286999411,0.025168197939968648,0.0308243160126846
7/27/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.4592,9.2111,0.2462175341416344,0.1350638636397119,0.9629907903873955,1.6199157410953655,0.038129717125851226,0.09792723921762025,0.03518239778748611,0.038129717125851226,0.0203148650169362,0.031188103864644552
7/28/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.1307,9.2111,0.2327647638541428,0.16682586612083994,0.9255945265985905,1.557008808885484,-0.038833459428787576,0.05651134384989209,0.025787567969922653,0.038129717125851226,0.02240950926610684,0.03134879812236009
7/29/1999,738.1,18.8566,28143.7363,9.5477,11.6394,7.8467,9.2111,0.20488606350961236,0.16399484061175595,0.8932641189394716,1.5026235158942933,-0.034929341877083075,0.03513007229169962,-0.0247337086891134,0.038129717125851226,0.023594530637213913,0.03161576209987856
7/30/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.1396,9.2111,0.18387293830177143,0.10770282456293456,0.9266076978245278,1.5587131367292224,0.03732779384964369,0.0687640331411914,-0.010094130810206048,0.038129717125851226,0.024829370880906535,0.03184534953011451
8/2/1999,738.1,18.8566,28143.7363,9.5477,11.6394,8.0686,9.2111,0.18257632385056222,0.15395213179146716,0.9185250959097481,1.5451168134814246,-0.008722787360558204,0.024805354806751945,-0.026577712362315875,0.038129717125851226,0.023950337651392112,0.03184988687746115
