,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,19.1366,2.7371,0.07912143682860129,0.07525305213296862,0.973481399335636,1.1441776480998733,-0.005632631852429126,0.0035976505139503345,0.07629315920607871,0.023392791586585027,0.009917162111250384,0.012987919137271755
6/28/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,19.245,2.7371,0.09597544377181855,0.10015546962647437,0.9789957218217612,1.1506588859923947,0.005664538110218054,-0.0037994864999171263,0.0823898628241686,0.023392791586585027,0.009558341941598325,0.012998724885873862
6/29/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,19.1366,2.7371,0.10070287245913345,0.11115968203936544,0.973481399335636,1.1441776480998733,-0.005632631852429126,-0.009410717243664046,0.06983686841016601,0.023392791586585027,0.009633019202815299,0.01301387046041863
6/30/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,18.7756,2.7371,0.07563275547967963,0.0985311135808975,0.9551172810930973,1.122593451797288,-0.018864375071851902,-0.020844523944866578,0.049655064458781206,0.023392791586585027,0.010347321062612283,0.013255658821617498
7/1/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,18.7756,2.7371,0.06293025362318838,0.08151041666666647,0.9551172810930973,1.122593451797288,0.0,-0.017179828097027783,0.025053639574814213,0.023392791586585027,0.010329259432707122,0.012920417638839152
7/2/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,19.0283,2.7371,0.08578650948079614,0.09621738212486242,0.9679721638628744,1.1377023892090976,0.013458957370203972,-0.009515332281857747,0.05324831315764733,0.023392791586585027,0.010706727780698828,0.012893430810494792
7/5/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,19.0283,2.7371,0.08363468624179249,0.09608364607595798,0.9679721638628744,1.1377023892090976,0.0,-0.011357673183733374,0.06165751651490803,0.023392791586585027,0.010694740074369567,0.012844500730385794
7/6/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,19.1005,2.7371,0.08774637379909689,0.08793430411681302,0.9716449875113822,1.1420192284696147,0.0037943484178828424,-0.00017274050188964551,0.048936263687985315,0.023392791586585027,0.010610497419963281,0.012706999711378173
7/7/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,19.0283,2.7371,0.08363468624179249,0.08793430411681302,0.9679721638628744,1.1377023892090976,-0.0037800057590114955,-0.003952093300809145,0.06590968927329044,0.023392791586585027,0.010643317727543289,0.012449146331978113
7/8/1999,-514.0,74.3231,3948.0522,13.6507,1.8329,18.9561,2.7371,0.08166665715638888,0.08805185764255419,0.9642993402143666,1.1333855499485805,-0.0037943484178829534,-0.005868470736312026,0.045109963115906426,0.023392791586585027,0.010667232318791865,0.012315202597192012
