,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4461,1.7404,-0.17840453938584777,-0.11617871447644479,0.8133733006042296,1.0776808330987897,0.02745974955277286,-0.07040543821315859,0.0023851769975857806,0.02745974955277286,0.010320284097061596,0.013974949175833213
6/28/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4845,1.7404,-0.169249475491131,-0.11253099370589359,0.822436744712991,1.0896894643024673,0.011143031252720537,-0.06391038039974206,0.009151727533377674,0.02745974955277286,0.010683963679259579,0.014034029523190453
6/29/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4692,1.7404,-0.16447099058307846,-0.10348980034199562,0.8188255287009064,1.084904775307252,-0.004390873869995815,-0.06802063185041907,0.013526541821262672,0.02745974955277286,0.010663499260862354,0.01400033275545143
6/30/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.5459,1.7404,-0.14743574330985054,-0.1086773580822773,0.8369288141993958,1.1088907652375144,0.022108843537415046,-0.043484125057322465,0.03593444155540637,0.02745974955277286,0.012012816703161944,0.014267016719017879
7/1/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.5075,1.7404,-0.16236805655060427,-0.13485695180780444,0.8278653700906344,1.0968821340338366,-0.010829408612764047,-0.03179948657078979,0.02922620968925127,0.02745974955277286,0.011240911385702077,0.014326763632795376
7/2/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.5075,1.7404,-0.16937030809671538,-0.14573614038411442,0.8278653700906344,1.0968821340338366,0.0,-0.02766612147589609,0.036066639097300124,0.02745974955277286,0.011226744263607601,0.014297663868296688
7/5/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.5075,1.7404,-0.17213462990936557,-0.1485791163141993,0.8278653700906344,1.0968821340338366,0.0,-0.02766612147589609,0.015812795041848737,0.02745974955277286,0.011226744263607601,0.014083158304944686
7/6/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4768,1.7404,-0.1710852565325196,-0.1436200648483692,0.820619335347432,1.0872814835663132,-0.008752672843905906,-0.03207126948775063,0.011315046976351884,0.02745974955277286,0.011329029484538235,0.01411774760214639
7/7/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4001,1.7404,-0.19748395015105735,-0.15400774169184284,0.8092585981197191,1.0632954936360508,-0.022060515416474802,-0.05139078760148419,-0.013147965403146111,0.02745974955277286,0.012187605689828563,0.0143926624889542
7/8/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4231,1.7404,-0.1852671664881591,-0.15237415208853977,0.8161119588022124,1.0704881633674201,0.0067645069262667334,-0.03880605396905634,-0.012918480925055653,0.02745974955277286,0.012311285842934758,0.014394434096593656
7/9/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4308,1.7404,-0.17929335215175946,-0.15541946750233226,0.817947739843601,1.0728961441035745,0.0022494230375975643,-0.028267150059479995,-0.012833055187892017,0.02745974955277286,0.012238971607983148,0.01439465864681906
7/12/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3924,1.7404,-0.19120732405111573,-0.16193019263780273,0.8115207042556755,1.0608875128998967,-0.011192724728926295,-0.034934000910332386,-0.03226358579375277,0.02745974955277286,0.012414119219284868,0.014416986685828281
7/13/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3771,1.7404,-0.18940521338389893,-0.15992991215016084,0.8078606798555128,1.0561028239046815,-0.004510081358330309,-0.03508671676333608,-0.032488182208852634,0.02745974955277286,0.01241590151919913,0.014418013981485813
7/14/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3464,1.7404,-0.19948329067291815,-0.16276343803076332,0.8128643606684804,1.046502173437158,-0.00909063989813741,-0.04385839595417007,-0.07891332470892631,0.02745974955277286,0.012514451309885408,0.013452605893831399
7/15/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3847,1.7404,-0.17641190354527092,-0.13906124534637576,0.822167703070346,1.0584795321637426,0.011445135070523582,-0.04338364139958162,-0.10886735822231586,0.02745974955277286,0.012540979213379112,0.012171626924778354
7/16/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4154,1.7404,-0.17037504858142238,-0.14984939759036142,0.834652981427175,1.0680801826312663,0.009070227789759855,-0.02414354695848442,-0.10783135677341826,0.02745974955277286,0.012595139145433665,0.01218750119120747
7/19/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.4001,1.7404,-0.1632170895577486,-0.1462112076391111,0.8309139784946238,1.0632954936360508,-0.004479709550857858,-0.01991813674622378,-0.13720564352415743,0.02745974955277286,0.01249867342608059,0.01152008229798061
7/20/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3539999999999996,1.7404,-0.16118544454170325,-0.12854820557709135,0.8196480938416422,1.048878881696219,-0.01355842475221336,-0.03745157124408105,-0.1521310480812984,0.02745974955277286,0.012731051720083687,0.011579825968279285
7/21/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3617,1.7404,-0.1531815204796212,-0.12804171494785632,0.8215298142717498,1.0512868624323732,0.0022957662492546493,-0.02883143146034961,-0.15018453915769248,0.02745974955277286,0.012709189864775615,0.011591586734385088
7/22/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3387,1.7404,-0.14504110009986948,-0.12931807124017303,0.8159090909090909,1.0440941927010037,-0.006841776482137019,-0.0180582924031647,-0.12615489308241956,0.02745974955277286,0.01221813766022851,0.01087799520332361
7/23/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3464,1.7404,-0.14462450794949133,-0.1426818669802158,0.8177908113391985,1.046502173437158,0.0023062868781262846,-0.002265951103160302,-0.11370077071801254,0.02745974955277286,0.01187526052880365,0.010820048610128037
7/26/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3694,1.7404,-0.12589825407943545,-0.1060004669624095,0.8234115347018574,1.0536948431685274,0.006873057614152467,-0.022257044194886944,-0.10583302372485537,0.022108843537415046,0.010226832596077156,0.01087576363497784
7/27/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3694,1.7404,-0.13874546291089407,-0.10932467665252277,0.8234115347018574,1.0536948431685274,0.0,-0.0330319988520591,-0.10772734494994962,0.022108843537415046,0.009846110979655187,0.010866962024883462
7/28/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3464,1.7404,-0.14148644141717337,-0.10998229816054805,0.8177908113391985,1.046502173437158,-0.006826141152727505,-0.03539720973135008,-0.11381812404004021,0.022108843537415046,0.009895434846288296,0.010883253526263258
7/29/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3479,1.7404,-0.11496774875753402,-0.06262556836205979,0.8181573802541545,1.0469712605935515,0.00044824288787959077,-0.05583913815956454,-0.12057054296146474,0.011445135070523582,0.008292132055910527,0.010812348726111178
7/30/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3322,1.7404,-0.0985526849722711,-0.05112944677397535,0.8143206256109482,1.0420614816899645,-0.004689506855043546,-0.04997861724875263,-0.1103457482312108,0.011445135070523582,0.008097093929546745,0.010665975082720044
8/2/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.3164,1.7404,-0.07399341039816831,-0.02063438878650814,0.8104594330400782,1.0371204303092847,-0.004741612148130403,-0.05448325017818956,-0.11090855473043626,0.011445135070523582,0.00809272390286535,0.010668473919406049
8/3/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.2613,1.7404,-0.1002317497103129,-0.03230701318766216,0.7969941348973607,1.019889295431091,-0.01661440115788204,-0.07019244476122599,-0.13458935916147008,0.011445135070523582,0.008617565561095178,0.010714667038216956
8/4/1999,-142.014,17787.1785,5.2410000000000005,70.9087,3.1746,1.7404,-0.12761747732893647,-0.04457268480351739,0.7758064516129033,1.0,-0.026584490847208153,-0.08691900598251268,-0.1610021671335694,0.011445135070523582,0.009945144670994072,0.011112464815098273
