,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.61,3.6009,0.2887485219057311,0.26635632923707875,0.9821703569350809,1.3355670342966168,0.004550227511375571,0.01768237908373127,0.08883970913689532,0.019762658975934766,0.010449117121169544,0.010573828073266477
6/28/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.6231,3.6009,0.2978973193455652,0.29857463236954174,0.9836647160147385,1.3375990817007153,0.001521486643438097,-0.0005215818999487754,0.09763114013314511,0.016643437862950083,0.009518255736038596,0.01052526507714028
6/29/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.6231,3.6009,0.29549893332532085,0.29617499474174447,0.9836647160147385,1.3375990817007153,0.0,-0.0005215818999487754,0.08694994516783705,0.016643437862950083,0.009518255736038596,0.010473073559380802
6/30/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.5188,3.6009,0.2966407403461242,0.29362699584468577,0.9717668799835736,1.3214202615291546,-0.012095418121093382,0.0023296858453936142,0.07380283110433239,0.016643437862950083,0.009315540468229437,0.010608731145895776
7/1/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.4667,3.6009,0.28388378370181666,0.2848846025536045,0.9658236656286004,1.3133386073494966,-0.006115884866413235,-0.0007789173049461695,0.05189464529755239,0.016643437862950083,0.009392367127533793,0.010507149984464788
7/2/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.5058,3.6009,0.29222308311684375,0.29705422116889224,0.9702839282251351,1.3194037259373015,0.004618092054755829,-0.0037247001499248755,0.0704370697574912,0.016643437862950083,0.009294300796807337,0.010370593082414028
7/5/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.5058,3.6009,0.2850193376843124,0.30147147691563925,0.9702839282251351,1.3194037259373015,0.0,-0.01264118309401352,0.0774063612296858,0.016643437862950083,0.009054769907715489,0.01032603668598798
7/6/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.4928,3.6009,0.28544400550939164,0.30516581150009836,0.9688009764666965,1.3173871903454482,-0.0015283688777069093,-0.01511057508320679,0.06535537770641531,0.016643437862950083,0.009049935687999791,0.010273471303082425
7/7/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.4146,3.6009,0.2807805293840089,0.304586066759007,0.9598804512736275,1.3052569531698388,-0.009207799547852336,-0.01824757904561891,0.05724337228295018,0.016643437862950083,0.009169202874716275,0.010349616345277769
7/8/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.3756,3.6009,0.2844830230346902,0.314449590528479,0.9554315959983118,1.2992073463942793,-0.0046348014165854545,-0.022797806556994482,0.04727727414817151,0.016643437862950083,0.009203773688097671,0.010360830046164973
7/9/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.4016,3.6009,0.26690391459074747,0.27476023885638456,0.9583974995151889,1.3032404175779857,0.0031042552175366556,-0.006162981889586749,0.06594940242076675,0.016643437862950083,0.008770998241021429,0.010178500018885466
7/12/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.4016,3.6009,0.2884703861607827,0.2944667668619452,0.9583974995151889,1.3032404175779857,0.0,-0.004632317224874671,0.08723390488515048,0.016643437862950083,0.008766195527620702,0.009831059035546525
7/13/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.4537,3.6009,0.3013700738916254,0.30939039408867,0.9643407138701618,1.3113220717576435,0.0062011997714719325,-0.006125232194502672,0.09397605952766086,0.016643437862950083,0.008704100117163284,0.009848091443033469
7/14/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.4798,3.6009,0.28827309603026285,0.3100436017805328,0.9673180247082578,1.3153706547535948,0.0030874055147449564,-0.01661815356426366,0.09189940896975313,0.016643437862950083,0.008135207628942072,0.009840020158964825
7/15/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.5188,3.6009,0.2990728315237283,0.33681529827985845,0.9717668799835736,1.3214202615291546,0.004599165074648193,-0.028233120016426416,0.0879137719656724,0.016643437862950083,0.007224058686863635,0.00980966142972003
7/16/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.4016,3.6009,0.2884703861607827,0.3384197773211053,0.9583974995151889,1.3032404175779857,-0.013757806263793082,-0.03731967504268208,0.035534246237659106,0.016643437862950083,0.007694764944610772,0.00893432626231845
7/19/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.3756,3.6009,0.2677049751017875,0.31895442643297156,0.9554315959983118,1.2992073463942793,-0.0030946486383546246,-0.038856119896261254,0.050653553777064264,0.016643437862950083,0.007699719506603557,0.008645417413013563
7/20/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.61,3.6009,0.33556703429661683,0.33556703429661683,0.9821703569350809,1.3229261097367975,0.02798605473040716,0.0,0.07141523873520739,0.02798605473040716,0.009742534241626135,0.009257270949132307
7/21/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.584,3.6009,0.3041034288926363,0.3298239217294865,0.9792044534182038,1.3189312109152926,-0.0030197444831591147,-0.019341277004101265,0.06477461609069923,0.02798605473040716,0.008982785685036378,0.009268087934350543
7/22/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.571,3.6009,0.3169337615045402,0.33294408678149434,0.9777215016597652,1.3119546915658964,-0.0015144454799627116,-0.012011250461084533,0.05142422532446811,0.02798605473040716,0.008795135514389055,0.009181939856845551
7/23/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.571,3.6009,0.3119546915658964,0.3119546915658964,0.9777215016597652,1.3021284353493459,0.0,0.0,0.044823424719320215,0.02798605473040716,0.00839311763531972,0.009155586320595361
7/26/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.6882,3.6009,0.31501914664971453,0.3031830359169958,0.9910908821281499,1.3199337617550098,0.013674017034185137,0.00908246225319398,0.05580264916757827,0.02798605473040716,0.008861690893307645,0.009295324763649804
7/27/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.6621,3.6009,0.29654687242736766,0.29070933556856127,0.9881135712900541,1.3159685824104037,-0.0030040744918394813,0.004522735443170056,0.04446963211266919,0.02798605473040716,0.008889767280859641,0.009265505252715694
7/28/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.5579,3.6009,0.27156696680633563,0.2812546432498293,0.976227142580108,1.3001382495480303,-0.012029415499705709,-0.007561085920376742,0.03996840442338079,0.02798605473040716,0.009285591153201626,0.009344005162849991
7/29/1999,237.0,67.2893,29994.6366,21.7433,18.0861,8.3756,3.6009,0.26064510302683663,0.2821987085898343,0.9554315959983118,1.2724427631678896,-0.0213019549188469,-0.01680987932572664,-0.000918492717664865,0.02798605473040716,0.010054797617849857,0.009455535294538603
