,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,17.180999999999997,5.8207,-0.10199921599372808,-0.08036586959362346,0.67588512981904,1.1383271937031245,-0.0018532612168782325,-0.023523862028201448,-0.28666625147910574,0.06102542680909018,0.028155902802528,0.028347025698703454
6/28/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,17.1067,5.8207,-0.11993970604122828,-0.06534074832416747,0.6729622344610543,1.1334044470357512,-0.0043245445550316175,-0.05841589608102149,-0.2724732600421035,0.06102542680909018,0.027103873790399566,0.028244650431437937
6/29/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,17.8071,5.8207,-0.10477047523766925,-0.08662668228504211,0.7005153422501966,1.1798094506135213,0.04094302232458613,-0.019864597093791292,-0.24709528480584497,0.06102542680909018,0.028718044433591904,0.028795432985958047
6/30/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,18.6349,5.8207,-0.06858099665117223,-0.09775578547508368,0.7330802517702595,1.2346553414782815,0.04648707538004504,0.03233580039000161,-0.21209494655662298,0.06102542680909018,0.03044692796685055,0.029488922039417723
7/1/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,19.0382,5.8207,-0.04741842999314527,-0.09786399411585167,0.7489457120377655,1.2613759838867835,0.02164218750838498,0.05591791458679962,-0.2099053373782479,0.06102542680909018,0.030735282372748,0.02952536171020267
7/2/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,19.6749,5.8207,0.006182878183491836,-0.0573130817224099,0.7739929189614476,1.3035605438210587,0.03344328770577065,0.0673563604997478,-0.1722000866722485,0.06102542680909018,0.03117529337961413,0.02985345738425327
7/5/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,19.6749,5.8207,-0.009295299478838781,-0.015171580351972636,0.7739929189614476,1.3035605438210587,0.0,0.005966806761358523,-0.1670025487522968,0.04648707538004504,0.02825999537231565,0.029851367135699577
7/6/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,19.3247,5.8207,-0.008521969339380653,-0.037925585404395945,0.7602163650668764,1.2803580420321734,-0.017799328077906407,0.03056272531410653,-0.19942083982368342,0.04648707538004504,0.026954713824247262,0.0297468959184068
7/7/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,19.2292,5.8207,-0.032765610695854375,-0.051985352554751896,0.7564594807238394,1.2740306893170434,-0.004941861969396721,0.02027367605626318,-0.22315051226527916,0.04648707538004504,0.02698202949992533,0.02952226836479743
7/8/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,18.9108,5.8207,-0.01700289532641308,-0.07381782834924822,0.7439339103068449,1.2529350965997932,-0.016558151145133482,0.06134315123079159,-0.25606608969315514,0.04648707538004504,0.02417012748546545,0.029304960087204533
7/9/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,18.8471,5.8207,-0.039256366861733505,-0.13825112656240435,0.7414280094413848,1.2487146529562982,-0.0033684455443449,0.11487657570792242,-0.2557819046227595,0.04648707538004504,0.020813410259972073,0.02930510522818056
7/12/1999,9292.0,80.6151,213174.3935,26.1479,22.1722,19.0382,5.8207,0.012352506394269769,-0.12195108981755731,0.7489457120377655,1.2613759838867835,0.010139490956168284,0.15295685087055255,-0.2232223001974769,0.04648707538004504,0.019766612826005538,0.029138743242722608
