,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1689.3,42707.227999999996,8.352,13.2872,9.4367,6.4774,-0.05495969155275149,-0.10083621250813679,0.8452189022642591,1.5050078147427515,-0.005176158046764523,0.051021317354598805,-0.006014451536792476,0.03519664281487067,0.014338590363938005,0.017409161319785416
6/28/1999,1689.3,42707.227999999996,8.352,13.2872,9.4244,6.4774,-0.056956452129362845,-0.08110190521934046,0.8441172255660648,1.5030461548275973,-0.001303421747009037,0.026276529712188745,0.003930758988015981,0.03519664281487067,0.013576036078280587,0.017350581773034283
6/29/1999,1689.3,42707.227999999996,8.352,13.2872,9.363,6.4774,-0.07182156133828999,-0.08965551425030982,0.8386177987962167,1.4932538037064207,-0.0065150036076567774,0.019590334418660316,-0.0052061198470039205,0.03519664281487067,0.013681813696098973,0.017368291377575958
6/30/1999,1689.3,42707.227999999996,8.352,13.2872,9.4899,6.4774,-0.057335280269392275,-0.08740352236493121,0.8499838779019777,1.5134923925871584,0.0135533482858059,0.03294801462904906,0.008276668083297967,0.03519664281487067,0.013950986256453251,0.017451228820331077
7/1/1999,1689.3,42707.227999999996,8.352,13.2872,9.269,6.4774,-0.08263145913954006,-0.09316204633854253,0.8301984809400975,1.478262256387356,-0.023277379108315177,0.011612424421015843,-0.029119095003666162,0.03519664281487067,0.014957452315667684,0.017605188292194273
7/2/1999,1689.3,42707.227999999996,8.352,13.2872,9.2853,6.4774,-0.06821808110304961,-0.07355671292811905,0.831658426483233,1.4808618544863001,0.001758550005394266,0.005762502572545625,-0.00786417207150425,0.03519664281487067,0.014876314833901259,0.017430827669238997
7/5/1999,1689.3,42707.227999999996,8.352,13.2872,9.2853,6.4774,-0.06090518331226291,-0.06007585335018961,0.831658426483233,1.4808618544863001,0.0,-0.0008823371173400929,-0.014320290439693406,0.03519664281487067,0.014806744990293587,0.017410788769788417
7/6/1999,1689.3,42707.227999999996,8.352,13.2872,9.3508,6.4774,-0.05193146101591806,-0.024576700800973295,0.8375250788191458,1.4913080922458612,0.007054160877946858,-0.028043988940398723,0.016910813132796187,0.02040561881805325,0.012572841768670791,0.017163372148062885
7/7/1999,1689.3,42707.227999999996,8.352,13.2872,9.3508,6.4774,-0.039209239242119165,-0.019049771895935153,0.8375250788191458,1.4913080922458612,0.0,-0.020550958416256537,0.023276173383963927,0.02040561881805325,0.012489534653276632,0.017142495523490717
7/8/1999,1689.3,42707.227999999996,8.352,13.2872,9.2485,6.4774,-0.04972052114586334,-0.01777567711972383,0.8283623531097736,1.4749928231954323,-0.010940240407237845,-0.032522961692156405,0.009826936725446211,0.02040561881805325,0.012665444552811652,0.017201359204777243
7/9/1999,1689.3,42707.227999999996,8.352,13.2872,9.3099,6.4774,0.023110905973888984,0.04693612906061806,0.8338617798796217,1.484785174316609,0.006638914418554354,-0.02275709322220698,0.026608296760249672,0.02040561881805325,0.012778763347441567,0.01717019104280737
7/12/1999,1689.3,42707.227999999996,8.352,13.2872,9.3221,6.4774,0.05424997738170645,0.04916086130462327,0.8349544998566926,1.4867308857771684,0.0013104329799460412,0.004850653760334556,0.017407722698797423,0.02040561881805325,0.011404298780075562,0.017124628093033126
7/13/1999,1689.3,42707.227999999996,8.352,13.2872,9.1667,6.4774,0.041481094346482505,0.07400927104162869,0.8210357552307253,1.461946987336927,-0.016670063612276187,-0.03028668147677971,0.006279159119600308,0.02040561881805325,0.011135368023114363,0.017242655070808126
7/14/1999,1689.3,42707.227999999996,8.352,13.2872,9.1463,6.4774,0.08338959762150133,0.12311810762469944,0.8192085841215249,1.4586935025995982,-0.0022254464529219975,-0.03537340350359108,0.016820455808782775,0.02040561881805325,0.011089562054523702,0.017167762276563265
7/15/1999,1689.3,42707.227999999996,8.352,13.2872,9.2812,6.4774,0.09671854136386737,0.13732024058515613,0.8312912009171682,1.4802079678479156,0.014749133529405434,-0.03569944310531137,0.03558238398625346,0.02040561881805325,0.011063878428444394,0.01725395568112089
7/16/1999,1689.3,42707.227999999996,8.352,13.2872,9.3671,6.4774,0.14042392587993247,0.1957096071198121,0.8389850243622815,1.4939076903448056,0.009255268715252285,-0.04623671241803429,0.05236490281990802,0.014749133529405434,0.010183982919529015,0.01725967295734722
7/19/1999,1689.3,42707.227999999996,8.352,13.2872,9.3385,6.4774,0.12741606403399697,0.19309195832478188,0.8364234021209516,1.489346432330707,-0.003053239529843932,-0.055046799898811116,0.05011919755307659,0.014749133529405434,0.009998959622117979,0.017265501051641954
7/20/1999,1689.3,42707.227999999996,8.352,13.2872,9.2281,6.4774,0.1428129140918153,0.21575499386989327,0.8265351820005732,1.4717393384581032,-0.011822027092145415,-0.05999735156003305,0.03437801241957539,0.014749133529405434,0.010165460601638537,0.01733707206160957
