,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/28/1999,279.306,49.5494,10321.2653,11.1155,35.4992,12.6492,4.716,0.12163156727998237,0.04057636887608074,0.9570112124926234,1.672555138308563,0.009867790764514162,0.07789452156351473,0.21921175143856808,0.034558424982078284,0.012511057930310448,0.02212040468500712
6/29/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.2668,4.716,0.21015424750750267,0.07043756670224122,1.0,1.754218014491987,0.04882522214843621,0.13052296103143557,0.26081502318862615,0.04882522214843621,0.01588114986482133,0.0228125890725066
6/30/1999,279.306,49.5494,10321.2653,11.1155,35.4992,14.0821,4.716,0.3164901324707621,0.10400403862873597,1.0,1.8620220024329615,0.06145415623963579,0.19246858381600784,0.3382973466129402,0.06145415623963579,0.019971167940910823,0.023928157860149978
7/1/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.9832,4.716,0.3072442902951378,0.06935783933362627,0.9929768997521676,1.848944835246205,-0.00702310024783237,0.22245729372475664,0.3105277462769098,0.06145415623963579,0.018157671518683693,0.02394584696268553
7/2/1999,279.306,49.5494,10321.2653,11.1155,35.4992,14.1315,4.716,0.2805491368764441,0.07234833038829214,1.0,1.8685539747183584,0.010605583843469324,0.19415408276223411,0.32442665816924254,0.06145415623963579,0.01725198364028525,0.02395042281016714
7/5/1999,279.306,49.5494,10321.2653,11.1155,35.4992,14.1315,4.716,0.24505510964661115,0.05132994422956627,1.0,1.8685539747183584,0.0,0.18426676276115206,0.3153289834973054,0.06145415623963579,0.01735450668864395,0.023956165896630997
7/6/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.4891,4.716,0.1859279252349595,0.04692156879983811,0.9545412730424937,1.7836118897762734,-0.0454587269575063,0.13277628485052073,0.2613118892888868,0.06145415623963579,0.020868531826286986,0.02475028384510796
7/7/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.6127,4.716,0.2070671691420971,0.0668587896253603,0.9632876906202456,1.799955043105728,0.009162953792321238,0.13142168474421312,0.2555524810920493,0.06145415623963579,0.02085800152089757,0.024727567890142715
7/8/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.588,4.716,0.20746803159961957,0.07793269529826818,0.9615398223826203,1.7966890569630294,-0.0018144820645427107,0.12017015242821683,0.2448011139815678,0.06145415623963579,0.020921937585131258,0.02473515603320534
7/9/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.5138,4.716,0.2240428249232358,0.09649194315371878,0.9562891412801188,1.7868778759189718,-0.005460700618192482,0.1163263283108642,0.28129325874656286,0.06145415623963579,0.020997837729796225,0.024294875988284757
7/12/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.5633,4.716,0.23670365541199745,0.10153820903959954,0.9597919541449952,1.7934230708203311,0.00366292234604626,0.1227060897780794,0.26533944081126215,0.06145415623963579,0.02093274475401787,0.024245564466922876
7/13/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.6621,4.716,0.25967895110504613,0.1230072747724904,0.9667834270954958,1.806487015391125,0.007284362950019663,0.12170150577185179,0.2515894391615823,0.06145415623963579,0.02092838255891718,0.024180112040632917
7/14/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.5385,4.716,0.2769158217401557,0.16274463569912756,0.9580370095177441,1.7901438620616703,-0.009046925436060338,0.0981911096690462,0.24588187657593008,0.06145415623963579,0.021111273932445742,0.024212163377973307
7/15/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.8844,4.716,0.3434349298500241,0.21195936139332372,0.9825142412341222,1.8358808906754112,0.02554935923477486,0.10848182921377014,0.23577264716877,0.06145415623963579,0.02146642848240752,0.02406623687172854
7/16/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.7362,4.716,0.3417140401258083,0.21381546816698904,0.9720270318083714,1.8162849738192204,-0.010673849788251477,0.10536904110470924,0.21461477924856975,0.06145415623963579,0.021559330770634107,0.024130432074194737
7/19/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.6868,4.716,0.32743654650023757,0.1980466893615369,0.968531295333121,1.8097530015338235,-0.0035963366870022107,0.10800068001327645,0.1991343887715855,0.06145415623963579,0.021505276729719167,0.024134165948499528
7/20/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.3162,4.716,0.32589214592958404,0.2225784610482715,0.9423061953791175,1.760749986777384,-0.027077183855978015,0.08450474809831743,0.11825663419549892,0.06145415623963579,0.022517899448860273,0.023874260135652244
7/21/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.8183,4.716,0.29439370521287067,0.16173481335768836,0.9778367476913279,1.8271407415243033,0.0377059521485108,0.11419033873295659,0.12994308703758217,0.06145415623963579,0.023662279036818248,0.024092264154491783
7/22/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.6943,4.716,0.23495567639711767,0.12956199442685934,0.969062024555072,1.810744697730999,-0.008973607462567812,0.09330491154116372,0.13587199946915285,0.06145415623963579,0.023840933144225522,0.024044349884355633
7/23/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.6447,4.716,0.20667332879365374,0.11207407341899756,0.9655521353005696,1.8041862802136774,-0.0036219448967819146,0.08506560636182914,0.049996152366294844,0.06145415623963579,0.02390721594533374,0.022020386900457628
7/26/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.4214,4.716,0.1972168948753401,0.11730966504616225,0.949750557265683,1.7746601787697678,-0.016365328662411027,0.07151753209427092,0.05282397238782566,0.06145415623963579,0.02426901182080762,0.021984137341750074
7/27/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.6695,4.716,0.24915471077401086,0.15591702458192458,0.9673070799278207,1.807465488972338,0.018485403907192888,0.08066122758751537,0.10000160942479153,0.06145415623963579,0.02445295464036906,0.021831267411487266
7/28/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.4958,4.716,0.24713992644204996,0.22597815439776725,0.9550153911474365,1.78449780504575,-0.012707121694282897,0.01726113305393917,0.09253847337019416,0.06145415623963579,0.022412346514551717,0.02188613866987642
7/29/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.2725,4.716,0.21287581102074404,0.28685917938408134,0.93921381311255,1.7549717036018406,-0.016545888350449678,-0.057491425284581066,0.08750870580523595,0.0377059521485108,0.017913418914791993,0.021939282000886604
7/30/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.3222,4.716,0.18579770000356044,0.24463274824651982,0.9427307787566783,1.7615433437351247,0.0037445846675456806,-0.047271010927398605,0.007928942152011897,0.0377059521485108,0.01793644670391673,0.019309475570634095
8/2/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.4214,4.716,0.21836617979466033,0.2828275492696921,0.949750557265683,1.7746601787697678,0.007446217591688953,-0.050249442734316974,0.02890129097543781,0.0377059521485108,0.017837085358953283,0.01925292747303148
8/3/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.4958,4.716,0.22241243444471603,0.2799923915111002,0.9550153911474365,1.78449780504575,0.005543385935893319,-0.0449846088525635,0.048502505535485296,0.0377059521485108,0.017913678952985155,0.019179741836434012
8/4/1999,279.306,49.5494,10321.2653,11.1155,35.4992,13.1981,4.716,0.19809548016957312,0.22451184197387408,0.9339489792307964,1.7451340773258581,-0.022058714563049198,-0.02157297373434852,0.01756320208476292,0.0377059521485108,0.0156641335016638,0.019375963088862583
