,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
4/1/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,57.0465,8.3797,1.072571708841214,0.9094188813602426,0.9912820904911014,2.4009368647438354,-0.008717909508898614,0.08544632561962717,0.2613009995953861,0.032564589192474847,0.014094542933467872,0.01808149466035801
4/2/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,54.9739,8.3797,0.8353325699176379,0.8034794395237888,0.9552670630879854,2.3137065921439723,-0.03633176443778319,0.01766204243629188,0.2627779143246327,0.032564589192474847,0.015548703324589063,0.018040472338301906
4/3/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,51.3715,8.3797,0.736174714166461,0.8281788102971048,0.8926691017269002,2.1620910686402834,-0.06552927843940493,-0.050325545626301094,0.18113866075616403,0.032564589192474847,0.021261908419232044,0.020042442157668715
4/4/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,51.3139,8.3797,0.760726197175366,0.8640147408007248,0.8916682016118661,2.1596668364190386,-0.0011212442696826308,-0.05541187060623198,0.2207044863605978,0.032564589192474847,0.021212111649431282,0.019503395000586392
4/5/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,51.2481,8.3797,0.7584684115895086,0.8589364388750875,0.8905248122443448,2.156897487805186,-0.0012823036253334363,-0.05404597230143915,0.2137024388626534,0.032564589192474847,0.021213656958158453,0.019511562916911727
4/8/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,52.3255,8.3797,0.7954370770941133,0.8634520100468026,0.9092465098821509,2.202242414804651,0.02102321842175603,-0.036499428257871336,0.24573846051290849,0.032564589192474847,0.021806107862760802,0.0196072406750111
4/9/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,53.1809,8.3797,0.8087080438191052,0.8375183231471939,0.9241105716599303,2.2382439467847357,0.016347669874153148,-0.015678907233286354,0.2614334746235094,0.032564589192474847,0.02213026935064378,0.019672047678119583
4/10/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,52.5229,8.3797,0.8183703426739508,0.8855687805958887,0.9126766779847154,2.210550460646209,-0.012372863189603844,-0.03563828517605239,0.26873343816956896,0.032564589192474847,0.02218337317149696,0.019582650097057713
4/11/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,51.0013,8.3797,0.8129476711325658,0.8872090915230861,0.8862362332792337,2.1465103261349907,-0.028970220608534603,-0.03934986362882931,0.21350477418679392,0.032564589192474847,0.022398108862449247,0.019961111230887358
4/12/2013,1307.0,10.9156,50976.7011,4.9071,10.9462,49.8992,8.3797,0.7737712260545933,0.8989040832939355,0.8670853302101542,2.1001258412212067,-0.021609253097470082,-0.06589740805774691,0.16705257200058,0.032564589192474847,0.02272945806656324,0.020121025123643194
