,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,345.827,14.1205,5945.3465,4.3499,14.6868,24.2661,5.2337,1.5215462149945447,1.353436899257027,0.9420289292452465,3.162160048997251,0.01036340622553844,0.07143140986299201,0.5517294300458497,0.05338023335621145,0.023016460475149946,0.03385733356597453
6/28/1999,345.827,14.1205,5945.3465,4.3499,14.6868,25.386,5.2337,1.696020645490171,1.3920625311965678,0.9855043207528126,3.3080962743846025,0.04615080297204743,0.12706946843131073,0.5036872501110616,0.05338023335621145,0.024700352484043772,0.03296056735092994
6/29/1999,345.827,14.1205,5945.3465,4.3499,14.6868,25.3031,5.2337,1.6872165758647424,1.3920625311965678,0.9822860780918811,3.297293423161626,-0.003265579453241907,0.1233889335328251,0.5174181863976828,0.05338023335621145,0.024750244378443313,0.032894872121976976
6/30/1999,345.827,14.1205,5945.3465,4.3499,14.6868,29.2022,5.2337,2.1150342414609695,1.4114948904486595,1.0,3.805392303782953,0.15409574320933017,0.2917440770033797,0.7512458695899875,0.15409574320933017,0.040711085015958486,0.037727474242089325
7/1/1999,345.827,14.1205,5945.3465,4.3499,14.6868,26.423000000000002,5.2337,1.818573592473279,1.3362810146566257,0.9048290882193808,3.443229648548978,-0.0951709117806192,0.2064360300798569,0.6167481475589387,0.15409574320933017,0.04620717037142175,0.03981149212790223
7/2/1999,345.827,14.1205,5945.3465,4.3499,14.6868,26.506,5.2337,1.9045443089297258,1.4181816189443,0.9076713398305607,3.4540455309555766,0.0031412027400370413,0.2011274447606446,0.625955415966335,0.15409574320933017,0.04622873929608352,0.0397927047702613
7/5/1999,345.827,14.1205,5945.3465,4.3499,14.6868,26.506,5.2337,1.9045443089297258,1.4318134499271284,0.9076713398305607,3.4540455309555766,0.0,0.19439437635183876,0.6469082413758822,0.15409574320933017,0.046270159853745205,0.03971543307587977
7/6/1999,345.827,14.1205,5945.3465,4.3499,14.6868,26.4645,5.2337,1.810558511485647,1.3964698760633385,0.9062502140249707,3.4486375897522774,-0.0015656832415301691,0.17279108723975645,0.6701587201413652,0.15409574320933017,0.04629823202126748,0.03961745911905512
7/7/1999,345.827,14.1205,5945.3465,4.3499,14.6868,26.2156,5.2337,1.784125062393135,1.47135225836599,0.8977268835909622,3.4162029737161026,-0.00940505205086073,0.126559377752949,0.6205076217439145,0.15409574320933017,0.046153843814288116,0.03965351050011489
7/8/1999,345.827,14.1205,5945.3465,4.3499,14.6868,25.8008,5.2337,1.7522027606511212,1.4778763893926143,0.8835224743341255,3.3621496240503523,-0.015822639954836015,0.1107102728904692,0.6072360757246353,0.15409574320933017,0.04638354634196664,0.039720039132196294
