,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,9.795,6.9348,-0.570564250953571,-0.5548686921829104,0.4385886356512783,1.9997958350347083,-0.0060882800608828,-0.03526051413375342,0.2812295618051015,0.029105421979947588,0.01712299898965265,0.0374298962985917
6/28/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,9.855,6.9348,-0.5587247570859266,-0.5346796220839116,0.4484641638225256,2.0120457329522257,0.006125574272588086,-0.05167436489607402,0.33067782878746965,0.029105421979947588,0.016245472435169224,0.03714710805916976
6/29/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.333,6.9348,-0.5297838452787258,-0.527098976109215,0.47798131186973813,2.1096365863617805,0.048503297818366375,-0.005677444187836889,0.44174689549323265,0.048503297818366375,0.019686729753305737,0.03722629781383692
6/30/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.512,6.9348,-0.5137385512073273,-0.5275696179110001,0.48761480656832723,2.1461821151490406,0.017323139456111525,0.029276412415548903,0.4667224780242778,0.048503297818366375,0.01962641247499117,0.037241510631233814
7/1/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.93,6.9348,-0.49299563966972826,-0.5234715650802487,0.5070043603302717,2.231523070641078,0.039764079147640796,0.06395405431714196,0.5776558891454966,0.048503297818366375,0.021319349538273222,0.037110074772054795
7/2/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.87,6.9348,-0.49577882920493566,-0.5262547546154561,0.5042211707950643,2.2192731727235606,-0.005489478499542622,0.06432977577597176,0.5824719755422914,0.048503297818366375,0.021312065368460992,0.037090391137197046
7/5/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.87,6.9348,-0.49577882920493566,-0.5234715650802487,0.5170773475406717,2.2192731727235606,0.0,0.05811350141146687,0.5422814982973894,0.048503297818366375,0.02131359926676967,0.03703078165479418
7/6/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,11.347999999999999,6.9348,-0.4601845685472362,-0.4970982779944819,0.545996920708237,2.3168640261331155,0.04397424103035874,0.07340143776012087,0.4961107448912325,0.048503297818366375,0.022444340682715384,0.036282695801514185
7/7/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.87,6.9348,-0.47700153964588154,-0.4913394919168591,0.524487334137515,2.2192731727235606,-0.042121959816707744,0.028187665531592687,0.3481334490884287,0.048503297818366375,0.0245656674038477,0.03608455358480307
7/8/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,11.169,6.9348,-0.4610856453558504,-0.48989143546441494,0.5483870967741935,2.280318497345856,0.027506899724011102,0.05646992054483535,0.3852164206870894,0.048503297818366375,0.02520060339736156,0.03618460386316745
7/9/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.99,6.9348,-0.46040163008788726,-0.47508224087985473,0.5492253873063468,2.2437729685585954,-0.016026501924970904,0.027967449256383947,0.32377740303541325,0.048503297818366375,0.02545141720915729,0.036157174076031855
7/12/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.751,6.9348,-0.4627186406796603,-0.4627186406796603,0.538870232068568,2.194977541853818,-0.021747042766151137,0.0,0.30441640378548884,0.048503297818366375,0.02593262986405586,0.03628306276529491
7/13/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.81,6.9348,-0.4581725226805674,-0.4761164853892036,0.5467327533886304,2.2070232748060437,0.0054878615942703934,0.034251817833907516,0.30209588051072034,0.048503297818366375,0.025132277831832785,0.03628184366727446
7/14/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.99,6.9348,-0.4441634634837144,-0.4623204531660936,0.5643421998562186,2.2437729685585954,0.016651248843663202,0.033769165647634436,0.3050706566916044,0.048503297818366375,0.025118113457046173,0.03629279791582322
7/15/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.690999999999999,6.9348,-0.45101160521721273,-0.44793057409879844,0.5592404666004079,2.1827276439363006,-0.027206551410373203,-0.005580876197563089,0.14747236234839534,0.048503297818366375,0.025792931979836693,0.034102086869047914
7/16/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.512,6.9348,-0.4501229272375372,-0.4313961395616468,0.5516083328960486,2.1461821151490406,-0.01674305490599559,-0.03293468261269539,0.2394764768305626,0.048503297818366375,0.025912554291631102,0.0320899548543736
7/19/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.452,6.9348,-0.4515401164926275,-0.4327543684735268,0.5571725571725572,2.133932217231523,-0.005707762557077722,-0.033117483811285875,0.166648063399933,0.048503297818366375,0.025914126254604673,0.03139912628522196
7/20/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.452,6.9348,-0.4428274428274428,-0.4332853563622795,0.5909425001413467,2.133932217231523,0.0,-0.016837550559683834,0.19862385321100917,0.048503297818366375,0.025676959784241983,0.03117249281494198
7/21/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.512,6.9348,-0.40566517781421385,-0.40566517781421385,0.6065781881130987,2.1461821151490406,0.00574052812858783,0.0,0.20550458715596331,0.048503297818366375,0.02558995791225164,0.031170926740343493
7/22/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.452,6.9348,-0.3523762314889398,-0.3634673771609146,0.6031159838430468,2.133932217231523,-0.005707762557077722,0.01742431616859741,0.19862385321100917,0.048503297818366375,0.02508803732068356,0.031189384995567875
7/23/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.572000000000001,6.9348,-0.34253731343283567,-0.3871268656716417,0.6100403923831508,2.158432013066558,0.01148105625717566,0.07275494672754945,0.16457369464639804,0.048503297818366375,0.0232570246711104,0.03083329957066883
7/26/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.452,6.9348,-0.3641175396970251,-0.40408833728782634,0.6031159838430468,2.133932217231523,-0.011350737797956922,0.0670750382848393,0.08019842910293518,0.048503297818366375,0.0233946435030166,0.029806652171466618
7/27/1999,0.0,22.715999999999998,21176.252,13.6951,17.2208,10.630999999999998,6.9348,-0.38655510675129834,-0.43133294864396987,0.6176863633722619,2.170477746018783,0.017125908916953536,0.07874175545408413,-0.011161752395126179,0.048503297818366375,0.02358218004664762,0.026397866289539034
