,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
12/22/2015,135.369,40.1119,12106.5062,12.6516,33.3019,52.41,6.4982,-0.2555397727272728,-0.22088068181818188,0.5968568500170823,1.2117919075144508,-0.01761949390815376,-0.04448495897903382,0.12059012187299545,0.033313964749176916,0.024305978124921676,0.04183800582105743
12/23/2015,135.369,40.1119,12106.5062,12.6516,33.3019,54.41,6.4982,-0.1954753807481887,-0.17566168859973375,0.6196332991686595,1.2580346820809247,0.03816065636328947,-0.02403587443946198,0.1411493288590604,0.03816065636328947,0.025555681256898544,0.04202532072284976
12/24/2015,135.369,40.1119,12106.5062,12.6516,33.3019,54.21,6.4982,-0.16174423998762955,-0.11334467295500228,0.6173556542535019,1.2534104046242776,-0.0036757948906450677,-0.05458667596791078,0.25341040462427755,0.03816065636328947,0.024655898368508206,0.04020777510967572
12/25/2015,135.369,40.1119,12106.5062,12.6516,33.3019,54.21,6.4982,-0.18664666166541644,-0.13968492123030762,0.6173556542535019,1.2534104046242776,0.0,-0.05458667596791078,0.24420472802386972,0.03816065636328947,0.024655898368508206,0.04020949447357447
12/28/2015,135.369,40.1119,12106.5062,12.6516,33.3019,52.89,6.4982,-0.21864381740286598,-0.15039149061899837,0.6023231978134609,1.2228901734104047,-0.02434975096845604,-0.08033385498174228,0.1740288568257493,0.03816065636328947,0.025076885575399794,0.04018487501452264
12/29/2015,135.369,40.1119,12106.5062,12.6516,33.3019,52.99,6.4982,-0.21040083445090152,-0.13470421695723434,0.6034620202710398,1.2252023121387283,0.0018907165815844618,-0.08748062682968827,0.21453128581251435,0.03816065636328947,0.024925000221050136,0.03993770859882272
12/30/2015,135.369,40.1119,12106.5062,12.6516,33.3019,51.66,6.4982,-0.21153846153846156,-0.11416361416361409,0.5883156815852408,1.194450867052023,-0.025099075297225992,-0.10992419021364586,0.14902135231316715,0.03816065636328947,0.025324738264032785,0.03995322272614284
12/31/2015,135.369,40.1119,12106.5062,12.6516,33.3019,50.9,6.4982,-0.21716394955398333,-0.10058443555828978,0.5796606309076414,1.176878612716763,-0.014711575687185396,-0.1296169630642955,0.136922046012955,0.03816065636328947,0.025228277254246485,0.040005373124885175
1/1/2016,135.369,40.1119,12106.5062,12.6516,33.3019,50.9,6.4982,-0.21195231459978336,-0.10063477318470349,0.5796606309076414,1.176878612716763,0.0,-0.12377345498364611,0.1495031616982836,0.03816065636328947,0.025265129915820566,0.039968575725545984
1/4/2016,135.369,40.1119,12106.5062,12.6516,33.3019,50.72,6.4982,-0.2123000465910856,-0.07532225500854173,0.5776107504839996,1.1727167630057804,-0.0035363457760314576,-0.1481357070876722,0.11350164654226136,0.03816065636328947,0.02426651334385443,0.03983993854914416
1/5/2016,135.369,40.1119,12106.5062,12.6516,33.3019,47.53,6.4982,-0.27776933596717823,-0.12429721926758852,0.5412823140872338,1.0989595375722543,-0.06289432176656151,-0.17525594308519865,0.05015466195315965,0.03816065636328947,0.026652725286739194,0.04066935690539068
1/6/2016,135.369,40.1119,12106.5062,12.6516,33.3019,44.62,6.4982,-0.32198753988755513,-0.12961555994529705,0.5081425805716888,1.0316763005780347,-0.061224489795918435,-0.22101955307262577,-0.0227770477441962,0.03816065636328947,0.028986607357326964,0.0414176487841757
1/7/2016,135.369,40.1119,12106.5062,12.6516,33.3019,45.64,6.4982,-0.32842848734549723,-0.17377869334902873,0.5197585696389933,1.0552601156069363,0.022859704168534334,-0.18717720391807657,-0.01701486108119743,0.03816065636328947,0.02985288560612056,0.041462887759462316
1/8/2016,135.369,40.1119,12106.5062,12.6516,33.3019,44.49,6.4982,-0.3537187681580477,-0.1647298082510169,0.5066621113768364,1.0286705202312139,-0.025197195442594134,-0.2262608695652174,0.007929315813321347,0.03816065636328947,0.029017832104594066,0.04110497233642727
