,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.0027,7.0383,0.059504810074671566,-0.07207080976710023,0.9772725123488117,2.4079954019060343,0.0073203064586353506,0.14179489257014066,0.15132688151278595,0.08576106979600184,0.02772963594264786,0.03165759004324626
6/28/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.0928,7.0383,0.058550369386851875,-0.039635038981377435,0.9801126602508534,2.414993514512734,0.002906198492389267,0.10223759961430479,0.10841054196358857,0.08576106979600184,0.026733927926143024,0.03126126925508202
6/29/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.6335,7.0383,0.06965695639677416,-0.046146042910037655,0.997156699880531,2.456989957203551,0.017389878042505025,0.12140537704546106,0.13496437259165184,0.08576106979600184,0.026841120587519217,0.031300455765973186
6/30/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.5434,7.0383,0.06420291224140029,-0.020934265394529028,0.9943165519784892,2.449991844596851,-0.0028482463211469966,0.08695757049472941,0.13173171449278476,0.08576106979600184,0.026372056038407095,0.031306158655934994
7/1/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.0477,7.0383,0.026638361753978712,-0.07915455606588173,0.9786910101911189,2.411490574684075,-0.015714856356638718,0.1148867255810948,0.11574411810154928,0.08576106979600184,0.024784723104126726,0.03138591606463803
7/2/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.4533,7.0383,0.03699490953209894,-0.0031189006699372523,0.9914764040764475,2.442993731990151,0.013063769619005683,0.04023931262112801,0.16806051738352168,0.033922381767538035,0.016801569421591785,0.031100168584932652
7/5/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.4533,7.0383,0.03851855765071788,-0.023970917927671143,0.9914764040764475,2.442993731990151,0.0,0.06402419428497974,0.16031297495905195,0.033922381767538035,0.015862417758954923,0.031098589639008065
7/6/1999,219.722,89.0087,25159.9328,27.7786,12.8074,32.3545,7.0383,0.05201806553144728,-0.02563835771443057,1.0,2.5129903921583856,0.02865200153878944,0.07969979510248226,0.16270587093783373,0.033922381767538035,0.016677106373326443,0.031125749311252265
7/7/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.1656,7.0383,0.06527052853036097,-0.040387364093339984,1.0,2.57598893971992,0.025069155758858708,0.11010473254541253,0.1673383477700774,0.033922381767538035,0.017221502460415046,0.03116817369366934
7/8/1999,219.722,89.0087,25159.9328,27.7786,12.8074,32.4447,7.0383,0.05571644258177044,-0.005866772526714414,0.9782636225486648,2.519996271815703,-0.021736377451335165,0.06194664196569133,0.13656808962313716,0.033922381767538035,0.017682273221582383,0.03132145677835881
7/9/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.994,7.0383,0.05559404797254941,0.04221518360882892,0.9646742407796031,2.484990174680968,-0.013891328938162362,0.012836950155911131,0.1667146811171929,0.033776297609426686,0.01654519392011652,0.03093408118014064
7/12/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.6786,7.0383,0.07199030834619236,0.06589241722840344,0.9551643871963722,2.4604928970322097,-0.009858098393448755,0.00572092550732739,0.15901274677671928,0.033776297609426686,0.016691178945841087,0.030966408195116774
7/13/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.4082,7.0383,0.09334521542676333,0.06981658178628236,0.9470113611694045,2.4394907921614926,-0.008535730745676817,0.021993147275017,0.20045406595422666,0.033776297609426686,0.015856547012518932,0.030449960339199802
7/14/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.1829,7.0383,0.15733118565310011,0.13893363222708022,0.9402181778710472,2.421991627119434,-0.007173285957170483,0.01615331473708914,0.2169363997174536,0.033776297609426686,0.015952333778386358,0.030326099549588363
7/15/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.4533,7.0383,0.17124440505537208,0.18131344350688527,0.9483712038980149,2.442993731990151,0.008671419271459646,-0.008523595923552452,0.2956808304669316,0.02865200153878944,0.014209598495018998,0.02946521291398534
7/16/1999,219.722,89.0087,25159.9328,27.7786,12.8074,31.0477,7.0383,0.15805983565894954,0.16478491314840316,0.9361416648575633,2.411490574684075,-0.01289530828243779,-0.005773664659920685,0.26260461484656483,0.02865200153878944,0.014074325063987456,0.029525984859305104
7/19/1999,219.722,89.0087,25159.9328,27.7786,12.8074,30.8224,7.0383,0.14870510541399717,0.17389862218296614,0.9293484815592059,2.3939914096420165,-0.007256576171503881,-0.021461407563558854,0.288788165146054,0.02865200153878944,0.014002798231306894,0.029286728064508057
7/20/1999,219.722,89.0087,25159.9328,27.7786,12.8074,29.9662,7.0383,0.13088108203984428,0.17509934674561567,0.9035325759220398,2.3274899222518233,-0.027778498754152725,-0.03762938412673933,0.1336533841782903,0.02865200153878944,0.015031342784975152,0.026570464333634056
7/21/1999,219.722,89.0087,25159.9328,27.7786,12.8074,30.7323,7.0383,0.20752752390906282,0.21637996746638577,0.9266318112743325,2.3869932970353167,0.025565470430017667,-0.007277695945422158,0.12070468195592632,0.02865200153878944,0.01612416292525269,0.026359236411298843
7/22/1999,219.722,89.0087,25159.9328,27.7786,12.8074,32.1292,7.0383,0.31780204996534156,0.28268439639225806,0.9687507537930868,2.495491227116327,0.045453805930568025,0.027378249608288163,0.22171691053448095,0.045453805930568025,0.018866131530699357,0.0263275609905911
7/23/1999,219.722,89.0087,25159.9328,27.7786,12.8074,32.9854,7.0383,0.40160618679357496,0.3077844820260047,0.994566659430253,2.56199271450652,0.026648656051193376,0.07174095277703763,0.29181254944349155,0.045453805930568025,0.019193696528490945,0.026150654733290073
7/26/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.1656,7.0383,0.3728619918867455,0.2833305737229903,1.0,2.57598893971992,0.005463023034433467,0.06976489144493847,0.24201775081451493,0.045453805930568025,0.01917938346653616,0.025609636699646793
7/27/1999,219.722,89.0087,25159.9328,27.7786,12.8074,34.5175,7.0383,0.3260609832463186,0.1944940664845698,1.0,2.6809916970228893,0.04076211496249127,0.11014447074563871,0.31029024347654444,0.045453805930568025,0.020838853358503304,0.02593051179369286
7/28/1999,219.722,89.0087,25159.9328,27.7786,12.8074,35.1033,7.0383,0.39639041155832055,0.25836363202405876,1.0,2.726491079542365,0.01697110161512283,0.10968751481815153,0.3212524747630625,0.045453805930568025,0.020826794758451634,0.02597278468808429
7/29/1999,219.722,89.0087,25159.9328,27.7786,12.8074,34.157,7.0383,0.46807010908340696,0.3557374089897105,0.9730424205131711,2.652991479545472,-0.026957579486828864,0.0828572696665546,0.2435514229647615,0.045453805930568025,0.021926536989210467,0.026004244520064883
7/30/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.8866,7.0383,0.4344627315520335,0.31428849605472586,0.9653394410212146,2.6319893746747547,-0.007916386099481643,0.09143672478154596,0.2626397743489617,0.045453805930568025,0.021639663617380556,0.02582382371971284
8/2/1999,219.722,89.0087,25159.9328,27.7786,12.8074,32.8052,7.0383,0.4375068467939476,0.37826729007182003,0.9345332205234266,2.5479964892931206,-0.031912319323862626,0.04298118162482156,0.23267112812862845,0.045453805930568025,0.022926361940195535,0.0261740844023002
8/3/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.0305,7.0383,0.5031628287976702,0.4313870938381723,0.9409514205217175,2.5654956543351797,0.0068678136393012235,0.05014418200951898,0.21849591996340512,0.045453805930568025,0.022941572299160672,0.026107884885664134
8/4/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.1656,7.0383,0.600192994306668,0.5610585737720739,0.9448000615326764,2.57598893971992,0.004090159095381463,0.025069155758858708,0.22550964981321142,0.045453805930568025,0.022158740552179517,0.026099717318868967
8/5/1999,219.722,89.0087,25159.9328,27.7786,12.8074,32.67,7.0383,0.5796802924366824,0.6036438538977051,0.9306817307774484,2.5374954368577622,-0.014943194152977624,-0.014943194152977624,0.22139973082099607,0.045453805930568025,0.021739119749989138,0.026134153093999593
8/6/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.2107,7.0383,0.45244342981098074,0.41894303182975134,0.9460848410263424,2.5794918795485793,0.016550352004897517,0.02360940307661985,0.24161432630477053,0.045453805930568025,0.021472316377442218,0.02618143952762483
8/9/1999,219.722,89.0087,25159.9328,27.7786,12.8074,32.7601,7.0383,0.4053373485706442,0.37247331754693036,0.9332484410297609,2.544493549464462,-0.013567916364304322,0.023945114709007953,0.19465179798922772,0.045453805930568025,0.021460966455511564,0.026125107008516793
8/10/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.0305,7.0383,0.3903539603231061,0.33344838762633167,0.9409514205217175,2.5654956543351797,0.00825394305878202,0.04267549702322726,0.1812723072191349,0.045453805930568025,0.021351882266097626,0.026048165417613203
8/11/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.391,7.0383,0.4717990761310342,0.38440177721358304,0.9512211102659864,2.593495871812596,0.010914155099075007,0.06313001063416546,0.22166366656422398,0.045453805930568025,0.021284296520637177,0.025860420754870602
8/12/1999,219.722,89.0087,25159.9328,27.7786,12.8074,33.8866,7.0383,0.4907200077424918,0.37178037718252477,0.9653394410212146,2.6319893746747547,0.014842322781587924,0.08670457205712112,0.2459453993933265,0.045453805930568025,0.021293421880123828,0.025876325849261285
8/13/1999,219.722,89.0087,25159.9328,27.7786,12.8074,35.1033,7.0383,0.5116398243045388,0.3544612867108776,1.0,2.726491079542365,0.0359050480130787,0.11604505727538927,0.26763325148057215,0.045453805930568025,0.022381983524455227,0.026130073218345755
8/16/1999,219.722,89.0087,25159.9328,27.7786,12.8074,35.1033,7.0383,0.6205013387498846,0.43327947557935564,1.0,2.726491079542365,0.0,0.1306248127880647,0.1689527367905772,0.045453805930568025,0.022026742820247715,0.024024670041368427
8/17/1999,219.722,89.0087,25159.9328,27.7786,12.8074,34.6076,7.0383,0.6902698953825717,0.5053969308313715,0.9858788205097526,2.687989809629589,-0.014121179490247382,0.12280678986710969,0.10927127906790379,0.045453805930568025,0.022284195681520073,0.02366374791677098
8/18/1999,219.722,89.0087,25159.9328,27.7786,12.8074,34.7428,7.0383,1.0030094607761182,0.7276265040097316,0.9897303102557311,2.6984908620649484,0.0039066563413818756,0.1593995902049643,0.1745328785230611,0.045453805930568025,0.020930969214825092,0.022639908371301146
