,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,633.352,11062.56,6.7381,22.0787,22.1276,1.9587,-0.19777542526502012,-0.15852995344925092,0.7110365614616873,1.0476984119468566,-0.010079229093316822,-0.04663917863343969,-0.004180824013861106,0.0375390482550757,0.018080747913597643,0.020598544861631995
6/28/1999,633.352,11062.56,6.7381,22.0787,22.1726,1.9587,-0.20771962924054344,-0.15457482008733003,0.7124825675927532,1.0498290735883182,0.0020336593213903242,-0.0628616350872151,-0.012153938000659337,0.0375390482550757,0.01743431804076765,0.020560516853479947
6/29/1999,633.352,11062.56,6.7381,22.0787,23.7049,1.9587,-0.1502462701013042,-0.15185939303561058,0.7617206830290293,1.122380469881914,0.06910781775705144,0.0019019522483187945,0.07992036664145852,0.06910781775705144,0.023488495987640082,0.02213050558317232
6/30/1999,633.352,11062.56,6.7381,22.0787,23.5246,1.9587,-0.14988634844230508,-0.1726311148693821,0.7559270184638915,1.113843618905124,-0.007606022383557787,0.02749047835354146,0.07170646816032344,0.06910781775705144,0.022361898050862167,0.022159331050140008
7/1/1999,633.352,11062.56,6.7381,22.0787,23.9753,1.9587,-0.1076069276379702,-0.15283086990020944,0.7704095732032571,1.1351833789452752,0.019158667947595243,0.053382424660483485,0.09000436450926563,0.06910781775705144,0.02261315700047687,0.022272717289422456
7/2/1999,633.352,11062.56,6.7381,22.0787,23.9302,1.9587,-0.11371927394474957,-0.12540415618854328,0.7689603537252331,1.1330479825001656,-0.0018811026347950177,0.013360322172206285,0.08573269330236011,0.06910781775705144,0.02116814251737215,0.022276976855587535
7/5/1999,633.352,11062.56,6.7381,22.0787,23.9302,1.9587,-0.12675295671752362,-0.1448417549455001,0.7689603537252331,1.1330479825001656,0.0,0.021152574196163787,0.05557491519741675,0.06910781775705144,0.021080747605608026,0.022007209448983704
7/6/1999,633.352,11062.56,6.7381,22.0787,23.5246,1.9587,-0.14014817847208771,-0.14838315867962526,0.7559270184638915,1.113843618905124,-0.01694929419729041,0.009669818406561559,0.04389538237617252,0.06910781775705144,0.021404372957007645,0.02210740779847776
7/7/1999,633.352,11062.56,6.7381,22.0787,23.5246,1.9587,-0.14574043140387827,-0.18174522478030353,0.7559270184638915,1.113843618905124,0.0,0.0440019349312788,0.03974753925914798,0.06910781775705144,0.019982217450599873,0.022104191037827275
7/8/1999,633.352,11062.56,6.7381,22.0787,24.1555,1.9587,-0.1127326021318954,-0.15742747368189058,0.7762000244214369,1.1437154951184174,0.026818734431191205,0.053045726218137856,0.05712422648379434,0.06910781775705144,0.02041792527312858,0.02231730974365666
7/9/1999,633.352,11062.56,6.7381,22.0787,23.0739,1.9587,-0.1552385031906598,-0.15853716578616905,0.7414444637245261,1.0925038588649727,-0.04477655192399255,0.003920152455207493,0.057674060424373286,0.06910781775705144,0.022894753061715116,0.022300739586461032
7/12/1999,633.352,11062.56,6.7381,22.0787,23.3894,1.9587,-0.1351801045649168,-0.15350854489118304,0.7515825733767777,1.1074421643734433,0.013673457889650242,0.02165224494074791,0.0721361221505612,0.06910781775705144,0.02304889061204608,0.02235599792002379
7/13/1999,633.352,11062.56,6.7381,22.0787,23.6147,1.9587,-0.12102894704518297,-0.13612592727692308,0.7588222440729815,1.1181096769916952,0.009632568599451163,0.017475903848059637,0.07361017658077063,0.06910781775705144,0.022954005658897,0.022363575211972585
7/14/1999,633.352,11062.56,6.7381,22.0787,23.4345,1.9587,-0.1262825483938318,-0.12796402899155912,0.7530317928548017,1.1095775608185527,-0.007630840112302861,0.0019282238962949894,0.09913277582090796,0.06910781775705144,0.0229753834306712,0.022016729083713656
7/15/1999,633.352,11062.56,6.7381,22.0787,23.2993,1.9587,-0.1413561820526995,-0.12142620232172474,0.7486873477676879,1.1031761062868721,-0.005769271800123765,-0.022684468605416952,0.05710824569204087,0.06910781775705144,0.022590374679032434,0.02164974975419378
7/16/1999,633.352,11062.56,6.7381,22.0787,24.8315,1.9587,-0.09237944508002882,-0.12861628208736464,0.797922249857006,1.1757227677768203,0.06576163232371779,0.04158539603441258,0.10852931197657179,0.06910781775705144,0.02686753417752636,0.023060082711221612
7/19/1999,633.352,11062.56,6.7381,22.0787,25.2371,1.9587,-0.08652248665279161,-0.14361415256537868,0.8109555851183476,1.1949271313718621,0.01633409177858791,0.06666582135098365,0.0894448977125073,0.06910781775705144,0.02693582966873321,0.02276580138915953
7/20/1999,633.352,11062.56,6.7381,22.0787,25.0118,1.9587,-0.0917350570121287,-0.1555595903841963,0.8037159144221439,1.1842596187536103,-0.008927333172194962,0.07558204539395041,0.08182058036081163,0.06910781775705144,0.02668073683963599,0.022800378718898246
7/21/1999,633.352,11062.56,6.7381,22.0787,25.147,1.9587,-0.12659159899693662,-0.18763675768795285,0.8080603595092576,1.1906610732852907,0.005405448628247322,0.07514515122234866,0.08555542605039479,0.06910781775705144,0.02667935000110754,0.02280562966295512
7/22/1999,633.352,11062.56,6.7381,22.0787,24.471,1.9587,-0.14071415779734042,-0.20401498684963648,0.7863381340736885,1.158653800626888,-0.026881934226746673,0.07952515186405695,0.06464159546142745,0.06910781775705144,0.026435989938595493,0.02305745302550085
7/23/1999,633.352,11062.56,6.7381,22.0787,23.6147,1.9587,-0.146630384897533,-0.19222832941244483,0.7588222440729815,1.1181096769916952,-0.03499244003105717,0.056449051353515634,0.06490045320285898,0.06910781775705144,0.027526896891691317,0.023051485090449287
7/26/1999,633.352,11062.56,6.7381,22.0787,23.8401,1.9587,-0.16809968803869157,-0.22785737715214915,0.7660651281161431,1.1287819244135946,0.009544902116054743,0.07739203528624872,0.06001227190267833,0.06910781775705144,0.027394427914590704,0.023016760852287082
7/27/1999,633.352,11062.56,6.7381,22.0787,24.471,1.9587,-0.16179991573813057,-0.24052653392567835,0.7863381340736885,1.158653800626888,0.026463815168560556,0.10365947160008293,0.11711160616463379,0.06910781775705144,0.027826203605360283,0.022966366068044655
7/28/1999,633.352,11062.56,6.7381,22.0787,23.795,1.9587,-0.16707213340847593,-0.17022602291382993,0.7646159086381193,1.1266465279684852,-0.027624535164071706,0.003800901923231237,0.09072823700362598,0.06576163232371779,0.024503688271274013,0.023256803102072333
7/29/1999,633.352,11062.56,6.7381,22.0787,23.2542,1.9587,-0.1528030777750251,-0.14295186604683696,0.747238128289664,1.101040709841763,-0.022727463752889254,-0.011494350594696612,0.03603410943890517,0.06576163232371779,0.024970441950041746,0.023191056220055958
7/30/1999,633.352,11062.56,6.7381,22.0787,22.5331,1.9587,-0.22461149880937636,-0.17498382678834434,0.7240666833760708,1.0668980407382507,-0.03100945205597272,-0.06015357472064997,0.018187487008937797,0.06576163232371779,0.02541603453446704,0.023463579537253604
8/2/1999,633.352,11062.56,6.7381,22.0787,23.2091,1.9587,-0.18502508927850336,-0.15970405536847354,0.74578890881164,1.0989053133966533,0.030000310654104245,-0.030133471512983623,0.0258029727782616,0.06576163232371779,0.026397158172952732,0.023597558768737148
8/3/1999,633.352,11062.56,6.7381,22.0787,23.0289,1.9587,-0.17315108037657,-0.14079005005134404,0.7399984575934602,1.0903731972235111,-0.0077641959403854655,-0.03766370527617813,0.025996417974284203,0.06576163232371779,0.02643493930844321,0.02359646735555957
8/4/1999,633.352,11062.56,6.7381,22.0787,22.6233,1.9587,-0.24023991751995677,-0.20997148796550347,0.7269651223321187,1.0711688336284695,-0.01761265192866357,-0.038313085025887705,0.00792590018444761,0.06576163232371779,0.026454717338970247,0.023708708998451077
8/5/1999,633.352,11062.56,6.7381,22.0787,22.0374,1.9587,-0.2632391879964695,-0.2135186819652839,0.7081381225056395,1.0434276190566378,-0.02589807852965742,-0.06321892827083131,-0.025984185845049468,0.06576163232371779,0.02697840271142009,0.023917087379986303
8/6/1999,633.352,11062.56,6.7381,22.0787,21.9924,1.9587,-0.28611633183690555,-0.21590108645197315,0.7066921163745734,1.041296957415176,-0.0020419831740586813,-0.0895489640040571,-0.06335604770017034,0.06576163232371779,0.026117599458225508,0.023419927227434634
