,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
11/29/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.03,8.9249,0.21836982968369822,0.31326034063260333,0.8148901545972336,1.2080820265379977,0.024028629856850836,-0.0722556739231125,0.029820051413881776,0.04153354632587836,0.021513416445585132,0.019394876527332322
11/30/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.02,8.9249,0.20747889022919197,0.2870928829915562,0.8144833197721726,1.1572254335260115,-0.0004992511233150587,-0.061855670103092786,0.010600706713780994,0.04153354632587836,0.02143706454709029,0.019259970166865217
12/3/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,19.84,8.9249,0.14682080924855478,0.24277456647398843,0.807160292921074,1.1259931895573212,-0.00899100899100902,-0.07720930232558143,0.014314928425357865,0.04153354632587836,0.021342178394662722,0.019225953519497012
12/4/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,19.69,8.9249,0.11748013620885356,0.24177071509648118,0.8010577705451588,1.0975473801560758,-0.007560483870967638,-0.10009140767824487,0.007676560900716556,0.04153354632587836,0.020787591616449712,0.019251422408963836
12/5/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.03,8.9249,0.116499442586399,0.2502787068004457,0.8148901545972336,1.1152561247216035,0.017267648552564685,-0.10699955416852425,0.03194229778464708,0.04153354632587836,0.02028575622687836,0.019347664514070755
12/6/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.07,8.9249,0.09254218835057149,0.2035928143712573,0.8165174938974777,1.1174832962138084,0.001997004493260013,-0.09226594301221158,0.055760126249342346,0.04153354632587836,0.0202317851376849,0.01915510057208654
12/7/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.01,8.9249,0.06776947705442926,0.12059765208111006,0.8140764849471116,1.114142538975501,-0.002989536621823552,-0.04714285714285704,0.029850746268656803,0.04153354632587836,0.017298353558507958,0.01897026047496895
12/10/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,19.47,8.9249,0.0840757238307348,0.12639198218262804,0.7921074043938161,1.0456498388829214,-0.026986506746626837,-0.03756796836381615,0.022047244094488105,0.04153354632587836,0.01644040972082897,0.01912035511386291
12/11/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,19.14,8.9249,-0.14781834372217273,-0.11398040961709721,0.7786818551668023,1.0279269602577874,-0.016949152542372836,-0.038190954773869246,0.000522739153162588,0.04153354632587836,0.016469280949538236,0.01924009012342169
12/12/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,19.33,8.9249,-0.13935886019590393,-0.10329474621549417,0.7864117168429617,1.0381310418904401,0.009926854754440884,-0.04021847070506468,0.013102725366876289,0.04153354632587836,0.016386370437040727,0.019275455361527177
12/13/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,19.03,8.9249,-0.16498464238701172,-0.12329969284774023,0.7742066720911311,1.0220193340494093,-0.015519917227107993,-0.04754754754754753,-0.011428571428571344,0.04153354632587836,0.016609671543383702,0.01934687284945058
12/14/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,18.85,8.9249,-0.16960352422907476,-0.1374449339207049,0.7668836452400326,1.0123523093447906,-0.009458749343142392,-0.03728294177732361,-0.04411764705882337,0.04153354632587836,0.016197471035719682,0.01912687197239774
12/17/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,18.7,8.9249,-0.18554006968641124,-0.15200348432055755,0.7607811228641171,1.0042964554242748,-0.007957559681697757,-0.039548022598870025,-0.06030150753768837,0.04153354632587836,0.016233891261506785,0.019108750580475425
12/18/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,18.35,8.9249,-0.2021739130434782,-0.1778260869565217,0.7465419039869814,1.0,-0.018716577540106805,-0.029613960867265976,-0.09068384539147667,0.04153354632587836,0.015532364348884577,0.01914345683745638
12/19/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,18.26,8.9249,-0.20608695652173903,-0.17826086956521747,0.7428803905614322,1.0,-0.004904632152588517,-0.033862433862433705,-0.07637835103692459,0.04153354632587836,0.015550609422808427,0.01899477735805433
12/20/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,18.79,8.9249,-0.18304347826086964,-0.18913043478260871,0.7644426362896665,1.029025191675794,0.029025191675793982,0.007506702412868771,-0.011052631578947425,0.04153354632587836,0.01665498730946027,0.018738080851513492
12/21/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.71,8.9249,-0.06585475868290491,-0.15877311682453776,0.8425549227013833,1.1341730558598029,0.10218201170835561,0.11045576407506719,0.09634727368978302,0.10218201170835561,0.027741831648597445,0.022715898262551073
12/24/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,21.14,8.9249,-0.0674900749889723,-0.17865019850022057,0.8600488201790074,1.1577217962760131,0.020762916465475678,0.13533834586466154,0.0628456510809452,0.10218201170835561,0.027890281737933995,0.021892320571696273
12/25/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,21.14,8.9249,-0.049460431654676174,-0.15557553956834524,0.8600488201790074,1.1577217962760131,0.0,0.12566560170394037,0.05964912280701751,0.10218201170835561,0.027919800378571016,0.021891579080702567
12/26/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,21.15,8.9249,-0.05326768128916748,-0.15935541629364358,0.8604556550040684,1.1582694414019714,0.00047303689687794304,0.12619808306709257,0.06441872169099128,0.10218201170835561,0.027914900277725762,0.021881817265049144
12/27/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,21.04,8.9249,-0.04839439167797377,-0.11533242876526462,0.8559804719283971,1.1522453450164292,-0.005200945626477549,0.0756646216768917,0.06802030456852792,0.10218201170835561,0.026783025472103834,0.02186171279608746
12/28/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,21.12,8.9249,-0.04477611940298498,-0.09407507914970592,0.8592351505288853,1.1566265060240963,0.0038022813688214363,0.05441837244133807,0.08697889861039632,0.10218201170835561,0.026380086099546722,0.02177933220385081
12/31/2007,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.84,8.9249,-0.0683951721054985,-0.10505140813589631,0.8478437754271766,1.1412924424972617,-0.013257575757575801,0.040959040959041015,0.06871794871794878,0.10218201170835561,0.02660684602692167,0.021857189807518402
1/1/2008,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.84,8.9249,-0.05956678700361007,-0.10469314079422387,0.8478437754271766,1.1412924424972617,0.0,0.05040322580645151,0.05518987341772141,0.10218201170835561,0.026489242772969906,0.02180768694984101
1/2/2008,334.30400000000003,84.554,33429.8383,14.6923,72.7706,20.6,8.9249,-0.07039711191335729,-0.1114620938628158,0.838079739625712,1.1281489594742606,-0.011516314779270509,0.04621635347892328,0.001458434613514914,0.10218201170835561,0.0265794962939532,0.02123773822517326
