,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/22/1999,451.5,22628.7131,13.6343,22.7237,14.915,16.6206,0.5824933687002651,0.5288063660477453,0.9633146031130918,2.310254027261462,-0.019201683435260186,0.03511694080088823,0.42223705540192613,0.03386082509847288,0.020257325363718683,0.02365066544986458
6/23/1999,451.5,22628.7131,13.6343,22.7237,14.977,16.6206,0.6165137614678899,0.5271451699946033,0.9673189950268037,2.3198574969021064,0.004156889037881362,0.0585200367517138,0.4492935939616798,0.03386082509847288,0.019740365324031384,0.023506484841113017
6/24/1999,451.5,22628.7131,13.6343,22.7237,14.470999999999998,16.6206,0.5765333914369755,0.5631332389149144,0.9346379900536071,2.241480793060718,-0.03378513721038945,0.00857262336214104,0.4045423663010774,0.03386082509847288,0.021101678737434477,0.024014796258560518
6/25/1999,451.5,22628.7131,13.6343,22.7237,14.624,16.6206,0.5868055555555554,0.48372395833333326,0.9445197959051864,2.265179677819083,0.010572869877686575,0.06947491589878596,0.4278461238039444,0.03386082509847288,0.018140673545798437,0.02397608224040361
6/28/1999,451.5,22628.7131,13.6343,22.7237,14.685,16.6206,0.6171126527915429,0.49058473736372643,0.9484596008525481,2.274628252788104,0.004171225382932242,0.08488475177304977,0.4169239675800849,0.03386082509847288,0.01787691571239399,0.0239648641399376
6/29/1999,451.5,22628.7131,13.6343,22.7237,14.869000000000002,16.6206,0.6530294608115623,0.5048360200111173,0.9603436026609832,2.303128872366791,0.01252979230507334,0.09847813238770708,0.44317189168203464,0.03386082509847288,0.017944321775505163,0.0239319929896836
6/30/1999,451.5,22628.7131,13.6343,22.7237,14.9,16.6206,0.6475011057054401,0.5339451570101723,0.962345798617839,2.307930607187113,0.0020848745712556127,0.07402868882001012,0.4461807240609532,0.03386082509847288,0.017336693548864187,0.02392483626495008
7/1/1999,451.5,22628.7131,13.6343,22.7237,15.207,16.6206,0.654373368146214,0.5258920800696256,0.9821739972873476,2.3554832713754648,0.020604026845637557,0.08420076999857407,0.4051931251155054,0.03386082509847288,0.01766601957356265,0.023323764587887458
7/2/1999,451.5,22628.7131,13.6343,22.7237,15.099,16.6206,0.6471037416821208,0.550125449983637,0.9751986049215269,2.3387546468401488,-0.007101992503452448,0.06256157635467985,0.4131024801123069,0.03386082509847288,0.017695535392553276,0.023263720115652566
7/5/1999,451.5,22628.7131,13.6343,22.7237,15.099,16.6206,0.6362158647594278,0.5681621153012568,0.9751986049215269,2.3387546468401488,0.0,0.0433971391057979,0.3700208692496145,0.03386082509847288,0.01735079008631061,0.023040151592327716
7/6/1999,451.5,22628.7131,13.6343,22.7237,14.977,16.6206,0.5973762798634814,0.595669795221843,0.9673189950268037,2.3198574969021064,-0.008080005298364168,0.0010694472294634494,0.3349674659060522,0.031161089283294974,0.015871122245143615,0.023042313296313146
7/7/1999,451.5,22628.7131,13.6343,22.7237,15.115,16.6206,0.6356454929120225,0.577534898820474,0.97623199638313,2.341232961586121,0.009214128330106153,0.036836328714501265,0.3417665335108744,0.031161089283294974,0.014828626257849852,0.023048619271201106
7/8/1999,451.5,22628.7131,13.6343,22.7237,15.099,16.6206,0.7355172413793105,0.6862068965517243,0.9751986049215269,2.3387546468401488,-0.0010585511081706578,0.029243353783231063,0.35319949811794227,0.031161089283294974,0.014804437444649144,0.02298781639357722
7/9/1999,451.5,22628.7131,13.6343,22.7237,15.665999999999999,16.6206,0.7755865351921112,0.6539725716876346,1.0,2.4265799256505574,0.037552155771905404,0.07352840402932914,0.4274259681093393,0.037552155771905404,0.016661757778239326,0.023179234734837486
7/12/1999,451.5,22628.7131,13.6343,22.7237,15.36,16.6206,0.7730578321597599,0.7216899457462771,0.980467253925699,2.3791821561338287,-0.019532746074301,0.029835735836406307,0.376590786879369,0.037552155771905404,0.01681824101217231,0.023356632137013316
7/13/1999,451.5,22628.7131,13.6343,22.7237,14.960999999999999,16.6206,0.836381490119062,0.8326991530624768,0.9549980850248947,2.3173791821561336,-0.025976562500000022,0.002009242515571552,0.2630645842127477,0.037552155771905404,0.017859050339210068,0.02254824758482128
7/14/1999,451.5,22628.7131,13.6343,22.7237,14.946,16.6206,0.8289280469897209,0.7913607440039159,0.9540405974722329,2.315055762081784,-0.0010026067776217618,0.020971377826354054,0.2505020080321285,0.037552155771905404,0.01727988518002026,0.02254729185959234
7/15/1999,451.5,22628.7131,13.6343,22.7237,14.470999999999998,16.6206,0.8230032753842276,0.8635676492819351,0.9237201583046086,2.241480793060718,-0.031781078549444786,-0.021767051984046604,0.12195689254147912,0.037552155771905404,0.01854955183044929,0.02083469125903574
7/16/1999,451.5,22628.7131,13.6343,22.7237,14.18,16.6206,0.7725,0.8452500000000001,0.9051448997829695,2.1964064436183395,-0.02010918388501126,-0.0394255520932123,0.11785573512022074,0.037552155771905404,0.019018966775290986,0.020891179813145994
7/19/1999,451.5,22628.7131,13.6343,22.7237,14.44,16.6206,0.7996011964107679,0.8970588235294121,0.9217413506957743,2.236679058240396,0.01833568406205921,-0.05137301274471173,0.126189362034004,0.037552155771905404,0.018092963217130782,0.020963911847053165
7/20/1999,451.5,22628.7131,13.6343,22.7237,14.225999999999999,16.6206,0.7782499999999999,0.9008750000000001,0.9080811949444657,2.203531598513011,-0.01481994459833802,-0.06450976523969232,0.1082028511334423,0.037552155771905404,0.018291490789008238,0.021071922432283945
7/21/1999,451.5,22628.7131,13.6343,22.7237,14.44,16.6206,0.8133869144794676,0.8730377998241869,0.9217413506957743,2.236679058240396,0.015042879235203088,-0.031847133757961776,0.13835238470634592,0.037552155771905404,0.018302355530656265,0.021062396341395933
7/22/1999,451.5,22628.7131,13.6343,22.7237,14.578,16.6206,0.8829759752002064,0.9345130457246187,0.930550236180263,2.2580545229244113,0.00955678670360105,-0.026640849302263514,0.170359666024406,0.037552155771905404,0.018421582033317632,0.020919315692678787
7/23/1999,451.5,22628.7131,13.6343,22.7237,14.609000000000002,16.6206,0.9426861702127662,0.9243351063829786,0.9325290437890976,2.2628562577447338,0.002126491974207889,0.009536314007325242,0.19785175467366356,0.037552155771905404,0.016836607926483272,0.02070055799007482
7/26/1999,451.5,22628.7131,13.6343,22.7237,14.379000000000001,16.6206,0.8486757521213681,0.8801748521470816,0.9178475679816164,2.2272304832713754,-0.01574371962488874,-0.016753282275711157,0.15586816720257257,0.037552155771905404,0.01703441526447006,0.020719085152516633
7/27/1999,451.5,22628.7131,13.6343,22.7237,14.655,16.6206,0.8635554425228891,0.8673702950152595,0.9354653389505937,2.269981412639405,0.01919465887752958,-0.0020429009193054792,0.16512959134997618,0.037552155771905404,0.017555239471020122,0.020798186905620103
7/28/1999,451.5,22628.7131,13.6343,22.7237,14.9,16.6206,0.912463098446926,0.9084841483763317,0.9511043023107367,2.307930607187113,0.016717843739338267,0.0020848745712556127,0.18178934010152292,0.037552155771905404,0.01772705725324142,0.020873588419668916
7/29/1999,451.5,22628.7131,13.6343,22.7237,14.455,16.6206,0.8912730603166297,0.9494962710977366,0.9226988382484362,2.2390024783147457,-0.02986577181208061,-0.02986577181208061,0.11673362175525326,0.037552155771905404,0.018894272649870036,0.02104878411269632
7/30/1999,451.5,22628.7131,13.6343,22.7237,14.425,16.6206,0.8458093410108765,0.9458733205374281,0.9207838631431126,2.234355638166047,-0.0020754064337599187,-0.051423686460182805,0.10918877354863521,0.037552155771905404,0.01821733929543852,0.0210519029901781
8/2/1999,451.5,22628.7131,13.6343,22.7237,14.455,16.6206,0.9191449814126393,1.0046468401486988,0.9226988382484362,2.2390024783147457,0.0020797227036395416,-0.04265183124710248,0.0652173913043479,0.037552155771905404,0.018207835333961725,0.020368094899673388
8/3/1999,451.5,22628.7131,13.6343,22.7237,14.272,16.6206,1.0,1.1158912556053813,0.911017490105962,2.2106567534076826,-0.012659979245935649,-0.054771839194648675,0.047025163230870914,0.037552155771905404,0.018350270065909967,0.020437991501655133
