,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,762.0,26.1483,60546.9042,11.5633,18.5829,41.5917,10.4589,0.18852784596348537,0.1350848566766587,0.9368175183797032,1.700980712918582,0.008161434977578486,0.047082814093123426,0.22198065007066003,0.035103467029886426,0.017676230020717276,0.019619357311044004
6/28/1999,762.0,26.1483,60546.9042,11.5633,18.5829,41.5917,10.4589,0.19230978720476566,0.16764755628051242,0.9368175183797032,1.700980712918582,0.0,0.021121297082840274,0.18550262800852835,0.035103467029886426,0.016868410803420126,0.019306887555856727
6/29/1999,762.0,26.1483,60546.9042,11.5633,18.5829,41.7039,10.4589,0.20575411855184234,0.1776369429329756,0.9393447275479313,1.7055693696935987,0.002697653618390028,0.02387592864473098,0.16753873934405572,0.035103467029886426,0.016869639240551747,0.019208075071789527
6/30/1999,762.0,26.1483,60546.9042,11.5633,18.5829,42.2365,10.4589,0.21595322337794687,0.20492697630364476,0.9513410876459565,1.727351175383206,0.012770987845261539,0.009150967063686455,0.18244936239309073,0.035103467029886426,0.016004189600687394,0.01924709517373233
7/1/1999,762.0,26.1483,60546.9042,11.5633,18.5829,43.4368,10.4589,0.2347261031345138,0.18227764622945886,0.9783768199509875,1.7764399875672758,0.02841854793839449,0.04436221649992644,0.18624358564714294,0.035103467029886426,0.017022602971424928,0.01931287261471915
7/2/1999,762.0,26.1483,60546.9042,11.5633,18.5829,43.2493,10.4589,0.23328761302943102,0.19668475517775308,0.9741535425976646,1.7687717777159777,-0.004316616325327871,0.030586884050546104,0.2057536988661548,0.035103467029886426,0.017005088387265364,0.019104586692554847
7/5/1999,762.0,26.1483,60546.9042,11.5633,18.5829,43.2493,10.4589,0.2281080866192262,0.18741090748008005,0.9741535425976646,1.7687717777159777,0.0,0.03427388015620769,0.21717925048687947,0.035103467029886426,0.016968989330736702,0.019041714857955812
7/6/1999,762.0,26.1483,60546.9042,11.5633,18.5829,42.6116,10.4589,0.19991439561615443,0.19225787194260002,0.9597898947671906,1.742691684797723,-0.014744747313829243,0.006421868837048983,0.2068539707714967,0.035103467029886426,0.01714524910707621,0.019139741822441523
7/7/1999,762.0,26.1483,60546.9042,11.5633,18.5829,45.0123,10.4589,0.2701632701435175,0.19158140086121755,1.0,1.8408733988777832,0.05633911892536303,0.0659475460304304,0.254904639369262,0.05633911892536303,0.021009674320556854,0.02022126813427965
7/8/1999,762.0,26.1483,60546.9042,11.5633,18.5829,44.7122,10.4589,0.2982862651497995,0.1902994825693829,0.9933329334426367,1.8286001734037856,-0.006667066557363266,0.09072236370910303,0.18712099489172807,0.05633911892536303,0.01980800763900075,0.019374151014021707
