,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/2/2000,-805.7180000000001,26626.7604,6.3553,160.3926,38.013000000000005,2.0507,3.295739631596791,3.8732060119787555,0.7093036274070758,4.38847841145232,0.02521710987647663,-0.11849824919416552,-0.14805351980098147,0.07261480535197995,0.039175759361851435,0.05763445511374586
6/5/2000,-805.7180000000001,26626.7604,6.3553,160.3926,38.013000000000005,2.0507,3.3884784114523203,4.1511198337566375,0.7093036274070758,4.235903721863161,0.0,-0.14805351980098147,-0.2077984328109368,0.07261480535197995,0.03812466779107206,0.056800536589422065
6/6/2000,-805.7180000000001,26626.7604,6.3553,160.3926,39.509,2.0507,3.402607532872743,4.333073322932917,0.7372182415285864,4.372399291722001,0.03935495751453444,-0.174470841430034,-0.16358286053010418,0.040249677141627416,0.035237751294138725,0.0570117651834134
6/7/2000,-805.7180000000001,26626.7604,6.3553,160.3926,42.001000000000005,2.0507,3.553941233871843,4.013444649246449,0.7837177190625467,4.648185037627269,0.06307423624996855,-0.09165423127662775,-0.15113482487519947,0.06307423624996855,0.037989447148259296,0.057259969228232316
6/8/2000,-805.7180000000001,26626.7604,6.3553,160.3926,41.378,2.0507,3.5792386011509523,3.6274900398406364,0.7720928496790566,4.548032534622995,-0.014832980167138965,-0.010427129669488555,-0.22790715032094344,0.06307423624996855,0.03181209608765994,0.056260054167156584
6/9/2000,-805.7180000000001,26626.7604,6.3553,160.3926,43.248000000000005,2.0507,3.6269391248528935,3.653578688349202,0.806986117330945,4.753572213673336,0.04519309778142988,-0.005724532726394838,-0.17380506628968784,0.06307423624996855,0.03214155331885723,0.056514182464912945
6/12/2000,-805.7180000000001,26626.7604,6.3553,160.3926,43.871,2.0507,3.822048801934492,3.541217850076941,0.818610986714435,4.805674224997262,0.01440529041805405,0.0618404492206408,-0.10089355248596132,0.06307423624996855,0.030106944132757392,0.05590251701426058
6/13/2000,-805.7180000000001,26626.7604,6.3553,160.3926,44.12,2.0507,3.816068114834625,3.435105337845214,0.8232572025675474,4.832949939752437,0.0056757311207857875,0.08589712035441788,-0.02479996463463152,0.06307423624996855,0.029761414496373057,0.05512683648538851
6/14/2000,-805.7180000000001,26626.7604,6.3553,160.3926,44.494,2.0507,3.824243738479888,3.5472189092486177,0.830235856097925,4.873918282396758,0.008476881233000944,0.06092181501704874,-0.1086224857761039,0.06307423624996855,0.0290933768351731,0.053563022594191684
6/15/2000,-805.7180000000001,26626.7604,6.3553,160.3926,45.927,2.0507,3.913555151385471,3.5735530116614944,0.856974921630094,5.03089056851791,0.03220658965253742,0.07434092025544459,-0.0647184604419101,0.06307423624996855,0.029581892141834047,0.053679836446343145
6/16/2000,-805.7180000000001,26626.7604,6.3553,160.3926,46.114,2.0507,3.7742002277668494,3.309659385029506,0.8604642483952828,5.05137473984007,0.004071678968798231,0.10779061666706702,-0.019872898467555133,0.06307423624996855,0.028769066680223505,0.05340841826988781
6/19/2000,-805.7180000000001,26626.7604,6.3553,160.3926,46.736999999999995,2.0507,3.7170972951150585,3.025333064190553,0.8720891177787728,5.119618797239566,0.013509996964045534,0.17185266905699148,-0.02470733081530041,0.06307423624996855,0.026692073145594835,0.05338568116076375
6/20/2000,-805.7180000000001,26626.7604,6.3553,160.3926,47.174,2.0507,3.35064096652218,2.60924098496726,0.8802433198984924,5.1674882243400155,0.009350193636733284,0.2054171457774372,-0.02697908502124502,0.06307423624996855,0.025983065062449646,0.053378882537886044
6/21/2000,-805.7180000000001,26626.7604,6.3553,160.3926,46.955,2.0507,3.330443604168588,2.586276860647422,0.8761568890879236,5.143498740278234,-0.004642387755967259,0.20750398601038933,0.01823741163204229,0.06307423624996855,0.025934031637147418,0.05300286677600437
6/22/2000,-805.7180000000001,26626.7604,6.3553,160.3926,47.983999999999995,2.0507,3.503003003003003,2.6959459459459465,0.8953575160471712,5.256216453061671,0.021914599084229547,0.21836278691854538,-0.019093176335909123,0.06307423624996855,0.026070754234653545,0.052527271975568675
6/23/2000,-805.7180000000001,26626.7604,6.3553,160.3926,47.733999999999995,2.0507,3.402287189892096,2.459835838790003,0.8906926406926406,5.228831197283382,-0.005210070023341062,0.272397707583633,-0.02172398245685947,0.06307423624996855,0.02286726315999895,0.052531294409299226
6/26/2000,-805.7180000000001,26626.7604,6.3553,160.3926,50.227,2.0507,3.112248239724906,2.0255444571802848,0.9372107777280191,5.50191696790448,0.05222692420496933,0.3591762732045245,0.10715072962130212,0.06307423624996855,0.023626488079814954,0.05211639616074404
6/27/2000,-805.7180000000001,26626.7604,6.3553,160.3926,51.972,2.0507,2.861218424962853,1.7454680534918277,0.9697716077026423,5.6930660532369375,0.034742270093774286,0.40639714239324576,0.303111601434195,0.06307423624996855,0.023741075870398764,0.04978944841560705
6/28/2000,-805.7180000000001,26626.7604,6.3553,160.3926,53.468,2.0507,2.620285733631255,1.5991604035479723,0.9976862218241529,5.856939423814219,0.02878473023935979,0.3928673769765807,0.218754986209569,0.06307423624996855,0.023372361063320614,0.048396616359942794
6/29/2000,-805.7180000000001,26626.7604,6.3553,160.3926,56.458999999999996,2.0507,3.2335782843431318,1.78501799640072,1.0,6.184576623945667,0.055940001496221914,0.520126006300315,0.3644690415196481,0.06307423624996855,0.022104130722398377,0.048184765768503376
6/30/2000,-805.7180000000001,26626.7604,6.3553,160.3926,51.785,2.0507,2.8830983803239354,1.7802939412117582,0.9172142616766149,5.672581881914777,-0.0827857383233851,0.39665030476293195,0.3446458246780224,0.06307423624996855,0.031315222276773635,0.048554472128041204
7/3/2000,-805.7180000000001,26626.7604,6.3553,160.3926,50.102,2.0507,2.8286718630597587,1.9048601558917935,0.8874050195717246,5.488224340015336,-0.03249975861736021,0.31802278167995124,0.26414856306613155,0.06307423624996855,0.03300013068691634,0.04869893135125643
7/4/2000,-805.7180000000001,26626.7604,6.3553,160.3926,50.102,2.0507,2.5892255892255887,1.723189340210617,0.8874050195717246,5.488224340015336,0.0,0.31802278167995124,0.17715332926084293,0.06307423624996855,0.03300013068691634,0.04789301168416099
7/5/2000,-805.7180000000001,26626.7604,6.3553,160.3926,50.85,2.0507,2.6428110896196,1.8303603409986384,0.9006535716183426,5.570161025303976,0.014929543730789252,0.2870485205902453,0.13017580512524174,0.06307423624996855,0.03247923966770816,0.0474269187736792
