,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-113.931,11949.855,32.8092,10.7134,11.312999999999999,1.8046,-0.40457894736842115,-0.500842105263158,0.5876883116883116,1.81008,0.016898876404494168,0.19285111767186836,0.12780380819459647,0.10629999999999984,0.03324717826852793,0.03851780507135374
6/28/1999,-113.931,11949.855,32.8092,10.7134,11.687999999999999,1.8046,-0.3595616438356165,-0.4726027397260274,0.6071688311688311,1.8700799999999997,0.03314770617873242,0.21433766233766227,0.12993039443155419,0.10629999999999984,0.03364686514039044,0.038541837001531215
6/29/1999,-113.931,11949.855,32.8092,10.7134,12.062999999999999,1.8046,-0.3468514808598193,-0.478856462179869,0.6266493506493506,1.9300799999999998,0.03208418891170428,0.25329870129870113,0.16618329466357284,0.10629999999999984,0.03390624574797973,0.03871760846208172
6/30/1999,-113.931,11949.855,32.8092,10.7134,12.375,1.8046,-0.3497451526456833,-0.4777993799590142,0.6428571428571429,1.98,0.02586421288236762,0.24522036627087962,0.1963457076566124,0.10629999999999984,0.033729072420824464,0.03882038207144636
7/1/1999,-113.931,11949.855,32.8092,10.7134,12.312999999999999,1.8046,-0.36036363636363644,-0.4675324675324676,0.6417031478007088,1.9700799999999998,-0.005010101010101131,0.20126829268292679,0.21609876543209872,0.10629999999999984,0.03356509007390386,0.03870737327621792
7/2/1999,-113.931,11949.855,32.8092,10.7134,12.297,1.8046,-0.35913070669168223,-0.48858661663539715,0.663590739841347,1.9675200000000002,-0.0012994396166651212,0.25313359828798543,0.30292434837889415,0.10629999999999984,0.03151714688209365,0.037611810586883
7/5/1999,-113.931,11949.855,32.8092,10.7134,12.297,1.8046,-0.336409260158653,-0.45825913334412605,0.6738082191780822,1.9675200000000002,0.0,0.22492280107580442,0.3710558590701305,0.10629999999999984,0.03148786418645221,0.036963960795938576
7/6/1999,-113.931,11949.855,32.8092,10.7134,12.405999999999999,1.8046,-0.3202191780821918,-0.4178082191780822,0.6989295774647887,1.9849599999999998,0.008863950557046252,0.1676235294117645,0.42794659300184157,0.10629999999999984,0.02948798669971846,0.036660351344412534
7/7/1999,-113.931,11949.855,32.8092,10.7134,12.187999999999999,1.8046,-0.2960203315427713,-0.4223993530872754,0.6866478873239436,1.9500799999999998,-0.017572142511687927,0.21879999999999988,0.3829569953477818,0.10629999999999984,0.025994380490349515,0.0367679631456205
7/8/1999,-113.931,11949.855,32.8092,10.7134,12.25,1.8046,-0.3098591549295775,-0.4436619718309859,0.7153284671532847,1.96,0.0050869707909420026,0.240506329113924,0.34246575342465757,0.10629999999999984,0.02551990423712239,0.036572399754414
7/9/1999,-113.931,11949.855,32.8092,10.7134,12.0,1.8046,-0.2992700729927007,-0.4178686131386862,0.7058823529411765,1.92,-0.020408163265306145,0.20373156786036728,0.26315789473684204,0.10629999999999984,0.02640417408567498,0.0364230569658124
7/12/1999,-113.931,11949.855,32.8092,10.7134,12.344000000000001,1.8046,-0.2575037593984961,-0.39470676691729334,0.7261176470588236,1.9750400000000001,0.02866666666666684,0.22667196661035494,0.13508045977011496,0.10629999999999984,0.02674458627631351,0.03185734111010741
7/13/1999,-113.931,11949.855,32.8092,10.7134,11.969000000000001,1.8046,-0.27187005718457224,-0.39165348582552617,0.7040588235294118,1.9150400000000003,-0.030379131561892425,0.19690000000000007,0.19320107666234687,0.10629999999999984,0.027972044396638404,0.030466684291685645
7/14/1999,-113.931,11949.855,32.8092,10.7134,11.875,1.8046,-0.2761794465439473,-0.32567353407290023,0.6985294117647058,1.9,-0.007853621856462656,0.07339781252824751,0.3285970015663462,0.03314770617873242,0.017079406822517695,0.0269154247280603
7/15/1999,-113.931,11949.855,32.8092,10.7134,12.0,1.8046,-0.2727272727272727,-0.32951515151515154,0.7058823529411765,1.92,0.010526315789473717,0.08469673687064994,0.31506849315068486,0.03314770617873242,0.017125438190117505,0.0268472288233516
7/16/1999,-113.931,11949.855,32.8092,10.7134,14.25,1.8046,-0.12307692307692308,-0.32307692307692304,0.8382352941176471,2.28,0.1875,0.2954545454545454,0.5833333333333333,0.1875,0.04339330268581023,0.03526841906668551
7/19/1999,-113.931,11949.855,32.8092,10.7134,13.405999999999999,1.8046,-0.13859795669215447,-0.29923536593201827,0.7885882352941176,2.1449599999999998,-0.05922807017543863,0.22923161562442695,0.46417649628658775,0.1875,0.045995659963370135,0.03624376457381955
7/20/1999,-113.931,11949.855,32.8092,10.7134,13.219000000000001,1.8046,-0.14716129032258052,-0.2862580645161291,0.7775882352941177,2.11504,-0.01394897806952089,0.1948838470577603,0.42908108108108123,0.1875,0.04629988272995769,0.03633348144852531
7/21/1999,-113.931,11949.855,32.8092,10.7134,13.125,1.8046,-0.12406567004805136,-0.2627469300587294,0.7720588235294118,2.1,-0.0071109766245556205,0.18810536797320543,0.5441176470588236,0.1875,0.04638299459930093,0.03461883857546613
7/22/1999,-113.931,11949.855,32.8092,10.7134,12.687999999999999,1.8046,-0.15587785243829422,-0.2639877586321602,0.7463529411764706,2.03008,-0.033295238095238155,0.14688601645123378,0.4981697957255875,0.1875,0.047283645879607136,0.03497220348567553
7/23/1999,-113.931,11949.855,32.8092,10.7134,11.375,1.8046,-0.24947215624175234,-0.2659672736869886,0.6691176470588235,1.82,-0.10348360655737698,0.022471910112359605,0.295410545495957,0.1875,0.05313594688343015,0.037424047673561556
7/26/1999,-113.931,11949.855,32.8092,10.7134,11.875,1.8046,-0.25924770756658966,-0.2943047844800699,0.6985294117647058,1.9,0.04395604395604402,0.0496773623265272,0.3380281690140845,0.1875,0.053830234640446825,0.03774209804759178
7/27/1999,-113.931,11949.855,32.8092,10.7134,11.969000000000001,1.8046,-0.29594117647058815,-0.31247058823529417,0.7401063566658422,1.9150400000000003,0.00791578947368432,0.024041752224504,0.3391138957261135,0.1875,0.053418322243338846,0.03774286440510867
7/28/1999,-113.931,11949.855,32.8092,10.7134,12.280999999999999,1.8046,-0.2187162033208221,-0.2325847700235385,0.7593989611674498,1.9649599999999998,0.026067340629960523,0.01807178977037216,0.39858786015260206,0.1875,0.053267195834615144,0.03771647905890467
7/29/1999,-113.931,11949.855,32.8092,10.7134,12.905999999999999,1.8046,-0.13781815752555293,-0.17329146903600778,0.7980460054415037,2.0649599999999997,0.050891621203485116,0.042909090909090786,0.48021562105746063,0.1875,0.05409812104599583,0.03809729297020394
7/30/1999,-113.931,11949.855,32.8092,10.7134,12.25,1.8046,-0.22532093846834877,-0.22133687472332897,0.7574820677714568,1.96,-0.05082907174957374,-0.005116543490619629,0.3586956521739131,0.1875,0.055360462440601416,0.03861990251383535
8/2/1999,-113.931,11949.855,32.8092,10.7134,12.0,1.8046,-0.19159256265157643,-0.17158447857720294,0.7420232500618352,1.92,-0.020408163265306145,-0.024152232251768768,0.3616248723476685,0.1875,0.055559351375845833,0.038596076970594785
8/3/1999,-113.931,11949.855,32.8092,10.7134,12.0,1.8046,-0.19999999999999996,-0.18019999999999992,0.7420232500618352,1.92,0.0,-0.024152232251768768,0.33333333333333326,0.1875,0.055559351375845833,0.03855029458957472
8/4/1999,-113.931,11949.855,32.8092,10.7134,11.75,1.8046,-0.2199429064595365,-0.17639248489676695,0.7265644323522137,1.88,-0.02083333333333337,-0.05287763985168459,0.28767123287671237,0.1875,0.05570651376699237,0.03867325428189695
8/5/1999,-113.931,11949.855,32.8092,10.7134,11.25,1.8046,-0.3043532030670295,-0.24635171902052944,0.7484531967267647,1.8,-0.04255319148936165,-0.07696094519199204,0.21621621621621623,0.1875,0.05633725726509791,0.039109746076576274
8/6/1999,-113.931,11949.855,32.8092,10.7134,10.780999999999999,1.8046,-0.2827489854301112,-0.18501763023085616,0.7202217917028524,1.7249599999999998,-0.041688888888889,-0.11991836734693884,0.16162051503070773,0.1875,0.056949156863253095,0.03952819141661561
8/9/1999,-113.931,11949.855,32.8092,10.7134,11.625,1.8046,-0.22339501636715886,-0.19834324270158332,0.786482646640958,1.86,0.07828587329561287,-0.03125,0.2525589914879862,0.1875,0.05959005538090676,0.04064326137860293
8/10/1999,-113.931,11949.855,32.8092,10.7134,12.125,1.8046,-0.17969014275082873,-0.16487382450443122,0.8325894389892193,1.94,0.043010752688172005,-0.017741412832145254,0.2278481012658229,0.1875,0.06001451552540803,0.040230419348983866
8/11/1999,-113.931,11949.855,32.8092,10.7134,12.437999999999999,1.8046,-0.14591773673006936,-0.17812263956602337,0.8728421052631579,1.9900799999999998,0.02581443298969055,0.0391845601136267,0.2838563170933113,0.1875,0.05980779265423707,0.040213414040613286
8/12/1999,-113.931,11949.855,32.8092,10.7134,12.625,1.8046,-0.11403508771929827,-0.16666666666666663,0.8859649122807017,2.02,0.015034571474513703,0.06315789473684208,0.3224049439614538,0.1875,0.05979979272322645,0.04015716693606052
8/13/1999,-113.931,11949.855,32.8092,10.7134,12.405999999999999,1.8046,-0.07459346561241231,-0.10487841265105169,0.8705964912280701,1.9849599999999998,-0.017346534653465473,0.03383333333333316,0.3058947368421052,0.1875,0.05996967792636384,0.04023815824889378
8/16/1999,-113.931,11949.855,32.8092,10.7134,12.562999999999999,1.8046,0.0075386959659955455,0.1428342288876412,0.8816140350877192,2.01008,0.012655166854747657,-0.11838596491228082,0.3311082856537402,0.07828587329561287,0.04278058670316627,0.04022199397281803
