,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,950.0,13.5347,50114.8915,6.4339,25.4043,18.3327,3.0624,-0.11099095604102527,-0.10158329898407004,0.8619000380816263,1.4527048978977313,-0.001051656495205,-0.010471373747078627,-0.04142243881013763,0.032129742962056396,0.019372754438478253,0.02625028343006855
6/28/1999,950.0,13.5347,50114.8915,6.4339,25.4043,18.3133,3.0624,-0.10780421024938969,-0.09458689181091395,0.8609879596240734,1.45116761888159,-0.0010582183748164553,-0.014598108111016472,-0.014598108111016472,0.032129742962056396,0.01935704193111826,0.02600630345518549
6/29/1999,950.0,13.5347,50114.8915,6.4339,25.4043,18.9909,3.0624,-0.07565270720168216,-0.09542861592975505,0.8928448855435565,1.5048614467855812,0.03700043138047193,0.021862186972009257,0.05812443934320277,0.03700043138047193,0.021019368964503453,0.026037391447289518
6/30/1999,950.0,13.5347,50114.8915,6.4339,25.4043,19.7265,3.0624,-0.015157188431410673,-0.08661963744564427,0.9274286439650026,1.5631512635007172,0.03873434118446206,0.07823952861695216,0.09911019239234009,0.03873434118446206,0.022157036210200647,0.026461816558192894
7/1/1999,950.0,13.5347,50114.8915,6.4339,25.4043,19.1651,3.0624,-0.07233925148599207,-0.10417433057755232,0.9010347859201414,1.5186652614562945,-0.028459179276607682,0.0355371364967525,0.06325693901214424,0.03873434118446206,0.023156210155394465,0.026733204918710528
7/2/1999,950.0,13.5347,50114.8915,6.4339,25.4043,19.2425,3.0624,-0.09532630312034263,-0.12262753818740857,0.9178480119056704,1.5247985292835804,0.004038590980480095,0.031117041228606146,0.07677457261968046,0.03873434118446206,0.023115530403194886,0.026705163073316013
7/5/1999,950.0,13.5347,50114.8915,6.4339,25.4043,19.2425,3.0624,-0.08215198809432955,-0.09969568037853926,0.938338128443946,1.5247985292835804,0.0,0.01948640243288624,0.12284970706999965,0.03873434118446206,0.02301014052018434,0.026145021928561864
7/6/1999,950.0,13.5347,50114.8915,6.4339,25.4043,19.0876,3.0624,-0.0692153898668747,-0.06166187155605396,0.9455719968493482,1.5125240695103686,-0.008049889567363966,-0.008049889567363966,0.09774557165861508,0.03873434118446206,0.02269671840831655,0.02612683252519138
7/7/1999,950.0,13.5347,50114.8915,6.4339,25.4043,18.7198,3.0624,-0.05461285174635888,-0.0506989475385331,0.9273517187399375,1.4833791611528007,-0.01926905425511849,-0.004122932548823566,0.039665437419469374,0.03873434118446206,0.022515770313899983,0.025897642088313803
7/8/1999,950.0,13.5347,50114.8915,6.4339,25.4043,19.4361,3.0624,-0.014641392351799065,-0.06077090378151484,0.9628361809742251,1.5401396229704352,0.038264297695488114,0.04911422741846683,0.08878394729766081,0.03873434118446206,0.023726033438454745,0.026289352767333143
7/9/1999,950.0,13.5347,50114.8915,6.4339,25.4043,19.9201,3.0624,-0.00643915966721853,-0.07209763980607697,0.9868128384102091,1.578492357187572,0.024902115136267167,0.07076011761101286,0.10989708987781155,0.03873434118446206,0.024222785468143365,0.02644810646883766
7/12/1999,950.0,13.5347,50114.8915,6.4339,25.4043,20.0749,3.0624,0.05870223291037768,0.0005115548101972678,0.99448140570585,1.5907588928421437,0.00777104532607753,0.05816092559892483,0.14942285230057495,0.03873434118446206,0.023960892593913204,0.02619694920861366
