,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/28/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.5,12.537,0.02522531114396065,0.02522531114396065,0.9780284765500614,1.4094663694768583,0.006931434994380092,0.0,0.2556944282210023,0.010407915616540864,0.007769629612543326,0.017218370877742223
6/29/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.315,12.537,0.0164036049783034,0.02522531114396065,0.9696128826820726,1.397338403041825,-0.008604651162790633,-0.008604651162790633,0.2502932895354295,0.010407915616540864,0.007994855157098047,0.017259219868407193
6/30/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.5,12.537,0.03955130064790646,0.04317764239435262,0.9780284765500614,1.4094663694768583,0.008679333802486422,-0.0034762456546928444,0.26114500234631643,0.010407915616540864,0.008198131656571078,0.017263872587365007
7/1/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.24,12.537,0.016316570170821443,0.03942772381453663,0.9662011554382931,1.392421659892487,-0.012093023255814073,-0.022234497997514313,0.2118445826439206,0.010407915616540864,0.008429707560033311,0.017094594210524547
7/2/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.351999999999997,12.537,0.019918796274181805,0.041175065679484035,0.9712960014556701,1.3997639963288315,0.005273069679849307,-0.02041565353030239,0.2285385500575372,0.010407915616540864,0.008488529067876982,0.01703181073823672
7/5/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.351999999999997,12.537,0.007740230319048358,0.02699641306399836,0.9712960014556701,1.3997639963288315,0.0,-0.018750000000000266,0.23115954563800933,0.010407915616540864,0.008489110499280658,0.017022746084023377
7/6/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.76,12.537,0.03584519445899015,0.03408387680297076,0.9898557976618296,1.4265110790612299,0.019108280254777288,0.001703263821755785,0.2736318407960199,0.019108280254777288,0.00953670924971175,0.016971106599245753
7/7/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.5,12.537,0.02346836768696159,0.03584519445899015,0.9780284765500614,1.4094663694768583,-0.01194852941176483,-0.01194852941176483,0.2638880724237258,0.019108280254777288,0.009882724173622638,0.01705823521702039
7/8/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.649,12.537,0.044936769958490164,0.04850854329568488,0.9848064413410362,1.4192342992002098,0.006930232558139515,-0.00340652764351157,0.272647110693081,0.019108280254777288,0.010010065879185206,0.017055247328247855
7/9/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.649,12.537,0.0252415230157228,0.018185262360295606,0.9848064413410362,1.4192342992002098,0.0,0.006930232558139515,0.27820747475940255,0.019108280254777288,0.009736483076076524,0.0170297812924957
7/12/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.686,12.537,0.013127773884606286,0.0009810791871056601,0.986489560114634,1.4216598924872164,0.0017090858700170575,0.01213478950807434,0.24775604142692753,0.019108280254777288,0.009700357675262455,0.016794739852349836
7/13/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.538,12.537,0.007908652721231757,0.009640132902803078,0.979757085020243,1.4119575193391896,-0.00682467951673893,-0.0017149478563150966,0.1558441558441559,0.019108280254777288,0.009716439180318935,0.014372488979870954
7/14/1999,166.5,51.6381,8800.6452,16.7114,13.123,22.206,12.537,0.03742116327960754,0.0009810791871056601,1.0,1.455749311655959,0.031014950320364054,0.03640436852422302,0.1441084033180482,0.031014950320364054,0.011697699534825336,0.013963345035199144
7/15/1999,166.5,51.6381,8800.6452,16.7114,13.123,22.095,12.537,0.060882508282517955,0.039467998271474736,0.9950013509862199,1.4484725317949387,-0.00499864901378011,0.020601413460205942,0.1212890129408779,0.031014950320364054,0.01161161606903859,0.01389179634063647
7/16/1999,166.5,51.6381,8800.6452,16.7114,13.123,22.169,12.537,0.07189826902620644,0.05212261870225321,0.9983337836620734,1.4533237183689522,0.0033491740212718835,0.018795955882352944,0.11050443320142267,0.031014950320364054,0.011586743074337751,0.013819380799929675
7/19/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.983,12.537,0.057383357383357536,0.057383357383357536,0.989957669098442,1.4411301953585944,-0.008390094275790516,0.0,0.16355263854337587,0.031014950320364054,0.011552747301302995,0.011945074191043514
7/20/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.872,12.537,0.06500462579734134,0.06500462579734134,0.9849590200846619,1.4338534154975742,-0.005049356320793397,0.0,0.15541468568409922,0.031014950320364054,0.011552747301302995,0.01198255229210139
7/21/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.872,12.537,0.10386595336630666,0.10760068638336517,0.9849590200846619,1.4338534154975742,0.0,-0.0033719128770618445,0.1599490878235046,0.031014950320364054,0.011527695236218095,0.011959633462387022
7/22/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.76,12.537,0.1355215780410166,0.12195376506809996,0.9799153381968838,1.4265110790612299,-0.00512070226773953,0.012093023255814073,0.1540093338990245,0.031014950320364054,0.01063705845615111,0.01199375270579922
7/23/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.612,12.537,0.09672181061605589,0.07784431137724535,0.973250472845177,1.4168087059132028,-0.0068014705882354365,0.017514124293785294,0.14841383707954692,0.031014950320364054,0.010380271429858045,0.012037211345196473
7/26/1999,166.5,51.6381,8800.6452,16.7114,13.123,21.872,12.537,0.12435099984578213,0.09761990438492774,0.9849590200846619,1.4338534154975742,0.012030353507310743,0.02435369052079439,0.14208135345412765,0.031014950320364054,0.010625170728499762,0.011942016284000967
