,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
9/28/2000,174.0,51.4249,35678.0936,22.6662,20.8299,6.654,6.8953,-0.05254164886800505,-0.09782144382742408,0.9308897593732512,1.3231258699542652,-0.018439297831538526,0.05018939393939381,0.08814390842191333,0.03884246363354982,0.016279067657752867,0.019210683348608263
9/29/2000,174.0,51.4249,35678.0936,22.6662,20.8299,6.417000000000001,6.8953,-0.06457725947521864,-0.07201166180758012,0.8977336317851149,1.2759992046132433,-0.0356176735798015,0.008011310084825585,0.04938675388389213,0.03884246363354982,0.01825830666327593,0.019772099279234377
10/2/2000,174.0,51.4249,35678.0936,22.6662,20.8299,6.27,6.8953,-0.07617504051863877,-0.07293354943273911,0.8771684387241186,1.2467687413004573,-0.022907900888265664,-0.0034965034965036557,0.030402629416598215,0.03884246363354982,0.01879234024837268,0.019987104623402693
10/3/2000,174.0,51.4249,35678.0936,22.6662,20.8299,6.159,6.8953,-0.08047178262167809,-0.06061510898775735,0.8616396194739787,1.224696758798966,-0.017703349282296665,-0.021137952956134964,0.0,0.03884246363354982,0.019185343066829414,0.020064196987569054
10/4/2000,174.0,51.4249,35678.0936,22.6662,20.8299,6.07,6.8953,-0.09077291791491904,-0.067555422408628,0.8491885842193622,1.2069994034599325,-0.014450397791849201,-0.02489959839357414,-0.036354976980472964,0.03884246363354982,0.01930010193775288,0.019937110376331297
10/5/2000,174.0,51.4249,35678.0936,22.6662,20.8299,5.989,6.8953,-0.1087797619047619,-0.07470238095238091,0.8378567431449356,1.1908928216345198,-0.013344316309719995,-0.03682856223866193,-0.028705806033084702,0.03884246363354982,0.01948661341895363,0.019830606315865695
10/6/2000,174.0,51.4249,35678.0936,22.6662,20.8299,5.79,6.8953,-0.1486546096162329,-0.06616674018526691,0.8100167879127029,1.1513223304831974,-0.03322758390382363,-0.08833254605573926,-0.04502721425037104,0.03884246363354982,0.01990441861017109,0.020158028876164105
10/9/2000,174.0,51.4249,35678.0936,22.6662,20.8299,5.834,6.8953,-0.11726433651081869,-0.045695264033893124,0.8161723559037493,1.160071584808113,0.007599309153713207,-0.07499603615030925,-0.03298524780374601,0.03884246363354982,0.020056953634710675,0.02017567337185643
10/10/2000,174.0,51.4249,35678.0936,22.6662,20.8299,5.782,6.8953,-0.15898181818181822,-0.08479999999999988,0.8088975937325126,1.1497315569695765,-0.008913267055193574,-0.08105530832803565,-0.047446457990115376,0.03884246363354982,0.020089116135312637,0.020186949116324335
10/11/2000,174.0,51.4249,35678.0936,22.6662,20.8299,5.7010000000000005,6.8953,-0.17172744442830146,-0.09123928519540891,0.7975657526580863,1.133624975144164,-0.014008993427879535,-0.08856914468425248,-0.03861720067453611,0.03884246363354982,0.02020864318645899,0.020056029833022227
