,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,19.6973,3.1698,0.34868673312883436,0.29242440841367223,0.8921242260780556,1.437538771429197,0.013282507935038046,0.04353239102333162,0.1361947831704755,0.03245277223160792,0.013990247574927329,0.01918099627288762
6/28/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,20.2138,3.1698,0.3840518185801929,0.31493070771253295,0.9155173897486762,1.4752337232978887,0.02622186797175252,0.05256635232734341,0.14742912934391428,0.03245277223160792,0.014590686603762847,0.019340100628356192
6/29/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,20.4721,3.1698,0.37987490058101137,0.2944217522006982,0.9272162361690468,1.4940848483079237,0.012778398915592515,0.06601646506251213,0.10216156558722989,0.03245277223160792,0.014744937728046345,0.01821319794570392
6/30/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,21.7868,3.1698,0.4777123633305298,0.3216649936243523,0.9867612357387755,1.5900336444778538,0.06421910795668251,0.11806877723094922,0.17294139815338228,0.06421910795668251,0.019783559180264657,0.019840462762166874
7/1/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,21.0825,3.1698,0.4321864067117285,0.3205461770999627,0.9548622905824965,1.5386327643207975,-0.03232691354398076,0.0845409509699524,0.10989734140563301,0.06421910795668251,0.021394085999606172,0.020156774060253325
7/2/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,21.0825,3.1698,0.4321864067117285,0.3269250365137055,0.9548622905824965,1.5386327643207975,0.0,0.079327292274612,0.11400264200792587,0.06421910795668251,0.021411653989560617,0.02014578146635999
7/5/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,21.0825,3.1698,0.39704323163781896,0.3363705038831606,0.9548622905824965,1.5386327643207975,0.0,0.04540112759025927,0.07545119724129479,0.06421910795668251,0.020391404111815187,0.019672582371006837
7/6/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,20.9651,3.1698,0.3871311366944554,0.34208680693396865,0.94954504486143,1.5300647346027252,-0.005568599549389264,0.03356290332917555,0.051825949097185076,0.06421910795668251,0.020444790995956422,0.019591247183931407
7/7/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,21.4345,3.1698,0.41385724556901904,0.3627632698561374,0.9708049694054558,1.5643222571722584,0.022389590319149555,0.037492921069317786,0.09866987877700617,0.06421910795668251,0.02062012812517955,0.019564597440305174
7/8/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,21.2694,3.1698,0.37773027594247965,0.3412942090944424,0.9633273095370736,1.5522730092467578,-0.007702535631808449,0.027164858090781285,0.0497808576166785,0.06421910795668251,0.02072702686586736,0.019020300030912606
7/9/1999,2414.0,54.7995,273060.9,8.732999999999999,15.9945,21.1751,3.1698,0.3493684921555382,0.3165377311599098,0.9590563021137637,1.5453908524970625,-0.0044335994433317705,0.024937197179076387,0.08017486762500381,0.06421910795668251,0.02075195604957276,0.01854859391058128
