,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
12/16/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.6046,6.1411,0.6963783427317873,0.6298803547636032,1.0,2.7673223851760778,0.017657174690575594,0.04079930638701956,0.08659408108550792,0.026578338255247802,0.0164162386032247,0.019104683936837133
12/17/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.4993,6.1411,0.6714316279318553,0.6031799096039152,0.9916459070498073,2.7442039167471677,-0.008354092950192737,0.0425727130929443,0.08129174019862284,0.026578338255247802,0.016358218094668413,0.01913497331727712
12/18/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.718,6.1411,0.6633968976431504,0.5595621125323706,1.0,2.792219197330289,0.017496979830870618,0.06657944834410978,0.08725945303617078,0.026578338255247802,0.016593449199961884,0.019197188299657546
12/21/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.9043,6.1411,0.6877632164063929,0.49705720787883534,1.0,2.8331211030122065,0.014648529643025654,0.12738725515891747,0.1346135246586302,0.026578338255247802,0.013456471928743746,0.01889695805675596
12/22/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.7747,6.1411,0.5738979375600619,0.4162087573614568,0.9899568360933952,2.804667603407394,-0.010043163906604757,0.11134599993040317,0.15109164796943575,0.026578338255247802,0.013893822685045756,0.018660523258004803
12/23/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.7342,6.1411,0.5735415868622338,0.4103821963003693,0.9868183473725812,2.7957758847808902,-0.0031703288531237384,0.11568452224500159,0.15418150837026778,0.026578338255247802,0.013748921230540534,0.018644522161132496
12/24/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.8476,6.1411,0.533126491646778,0.3736276849642002,0.9956061157908604,2.8206726969351013,0.00890515305241002,0.11611502041525501,0.13366511365240719,0.026578338255247802,0.01375370991987402,0.018394408226025838
12/25/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.8476,6.1411,0.6409640708620183,0.47024638217976067,0.9956061157908604,2.8206726969351013,0.0,0.11611502041525501,0.13447596845832566,0.026578338255247802,0.01375370991987402,0.018392826379402854
12/28/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.8638,6.1411,0.6599522549841923,0.4310342602748565,0.996861511279186,2.8242293843857027,0.0012609358946418237,0.15996681635376642,0.13509459268671464,0.026578338255247802,0.009934356541638522,0.01839225766659515
12/29/2009,14795.0,29.3446,67939.643,8.0127,25.3326,13.0987,6.1411,0.73309076475258,0.4672929346387935,1.0,2.8758013524194252,0.018260545095539316,0.18114844271312358,0.21669546155418073,0.026578338255247802,0.010076487845867444,0.01724183974411355
12/30/2009,14795.0,29.3446,67939.643,8.0127,25.3326,13.0501,6.1411,0.7831659493065519,0.5440869030539044,0.9962897081389758,2.865131290067621,-0.0037102918610242286,0.15483522707160824,0.21676985044567942,0.026578338255247802,0.01005697517255695,0.017241440542305995
12/31/2009,14795.0,29.3446,67939.643,8.0127,25.3326,12.8962,6.1411,0.7582929988410934,0.546240370850092,0.9845404505790651,2.831342759286906,-0.011793013080359516,0.1371407912952236,0.1818798343047765,0.026578338255247802,0.01084168649371122,0.017248016780657356
1/1/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.8962,6.1411,0.8467200320765256,0.6147236979651454,0.9845404505790651,2.831342759286906,0.0,0.14367556158600947,0.17144466245185663,0.026578338255247802,0.010596826556991156,0.01723366751781365
1/4/2010,14795.0,29.3446,67939.643,8.0127,25.3326,13.2121,6.1411,0.922710867920135,0.6845858315385063,1.0,2.9006981645736363,0.02449558784758299,0.14135524110644626,0.19224487217665165,0.02449558784758299,0.010407231866580328,0.017445736619988755
1/5/2010,14795.0,29.3446,67939.643,8.0127,25.3326,13.1554,6.1411,0.9100121958301877,0.7077211220163773,0.9957084793484761,2.888249758496531,-0.004291520651523939,0.11845673816750413,0.15751592580860874,0.02449558784758299,0.010405333474198019,0.01722510936994289
1/6/2010,14795.0,29.3446,67939.643,8.0127,25.3326,13.3499,6.1411,0.938251350252628,0.713601254428248,1.0,2.930951962764556,0.014784803198686358,0.1310982325928185,0.16302510759151811,0.02449558784758299,0.010591553843772436,0.017269488144438988
1/7/2010,14795.0,29.3446,67939.643,8.0127,25.3326,13.2445,6.1411,1.108661041235472,0.882964496099347,0.9921048097738561,2.9078115394748396,-0.007895190226143933,0.11986234769888982,0.1645256873554728,0.02449558784758299,0.010989044784084622,0.017256239749825545
1/8/2010,14795.0,29.3446,67939.643,8.0127,25.3326,13.3013,6.1411,0.9746878665063317,0.7810686025623896,0.9963595232923093,2.920281900412751,0.00428857261504767,0.1087096048211651,0.1490609720278513,0.02449558784758299,0.010798111011615612,0.01714742039175694
1/11/2010,14795.0,29.3446,67939.643,8.0127,25.3326,13.3418,6.1411,1.1134185556558793,0.9247889242661851,0.9993932538820515,2.929173619039255,0.0030448151684421276,0.09800016459550642,0.12194219497632797,0.02449558784758299,0.010652715732466124,0.016848192005234307
1/12/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.8719,6.1411,1.124952538175815,1.0219892695006192,0.9641944883482273,2.8260077281110036,-0.035220135214138915,0.05092176809653659,0.0736514609346981,0.02449558784758299,0.013688406246803194,0.01746608921394822
1/13/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.799000000000001,6.1411,1.1018145988997454,1.033976516955415,0.9587337732866914,2.810002634583297,-0.005663499561059271,0.03335244108219837,0.08665936510362293,0.02449558784758299,0.01364297387574878,0.01732273494382687
1/14/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.8233,6.1411,1.1509107987520548,1.1142272468046563,0.9605540116405367,2.815337665759199,0.0018985858270175182,0.017350808435015797,0.05956669751454258,0.02449558784758299,0.013142867502068029,0.016999065333968583
1/15/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.5803,6.1411,0.9153053301463088,0.9029733721054154,0.9423516281020832,2.7619873540001754,-0.018949880296023625,0.0064803629003222785,0.047197689227772566,0.02449558784758299,0.013707254060048557,0.01715366904886314
1/18/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.5803,6.1411,1.0686179396530462,1.0912603798404996,0.9423516281020832,2.7619873540001754,0.0,-0.010827174083975488,0.055748573346760644,0.02449558784758299,0.013135759869827514,0.01711561258389992
1/19/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.7909,6.1411,1.2136478488110485,1.2332733377176281,0.9581270271687429,2.808224290857996,0.016740459289524168,-0.008787768418279107,0.06043823941501758,0.02449558784758299,0.013263185479663406,0.01717251011569578
1/20/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.5317,6.1411,1.1334184542049712,1.1747871978209057,0.9387111513943925,2.751317291648371,-0.02026440672665719,-0.01902197311874243,0.0728184845605293,0.02449558784758299,0.013813358892267903,0.016882444941079724
1/21/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.2968,6.1411,1.0461587100853622,1.1189410453100823,0.9211155139738874,2.699745323614648,-0.018744464039196718,-0.03434844748786736,0.061542313037923346,0.02449558784758299,0.014353227232591645,0.017028271558833116
1/22/2010,14795.0,29.3446,67939.643,8.0127,25.3326,11.9403,6.1411,1.0635823165462654,1.2203864366942034,0.8944111940913415,2.6214762448406077,-0.02899128228482195,-0.07062019365484595,0.04687130119150962,0.02449558784758299,0.01532079534211715,0.01732435419074478
1/25/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.1672,6.1411,1.0463520468229675,1.1607857647414983,0.9114075760867122,2.6712918240098356,0.019002872624640732,-0.052959307574955705,0.10930590884640279,0.02449558784758299,0.016072477925461754,0.016726478542967455
1/26/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.1591,6.1411,0.983734133846706,1.098704604039547,0.9108008299687639,2.669513480284535,-0.0006657242422248855,-0.05478163528661817,0.0690916444655465,0.02449558784758299,0.01605564131208821,0.016111965144785464
1/27/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.07,6.1411,1.0137811368603704,1.1854113485826785,0.9041266226713309,2.6499516993062264,-0.007327844988527121,-0.07853451105834919,0.09558950339932282,0.02449558784758299,0.015352429611485427,0.015606231301286314
1/28/2010,14795.0,29.3446,67939.643,8.0127,25.3326,11.7864,6.1411,1.106708134484423,1.3325826228394733,0.882883017850321,2.587687714059893,-0.023496271748135844,-0.09683450701527196,0.07617717150135594,0.02449558784758299,0.015944041930029844,0.015896973497477793
1/29/2010,14795.0,29.3446,67939.643,8.0127,25.3326,11.8917,6.1411,1.072338497464406,1.2473903420873778,0.8907707173836509,2.610806182488803,0.008934025656688993,-0.07789116173756616,0.08659539473684208,0.02449558784758299,0.016124598747290268,0.015923741753290536
2/1/2010,14795.0,29.3446,67939.643,8.0127,25.3326,11.915999999999999,6.1411,1.0622339136755388,1.2318715170814443,0.892590955737496,2.616141213664705,0.0020434420646331386,-0.0760068857492906,0.07764935699169784,0.02449558784758299,0.01615436897327311,0.01588304198764369
2/2/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.1834,6.1411,1.111434612318464,1.2897126616061834,0.9126210683226093,2.6748485114604375,0.022440416247063055,-0.07786044610622078,0.06591426071741036,0.022440416247063055,0.015980738890555585,0.01557315124117265
2/3/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.9205,6.1411,1.2391771515718695,1.2798863124328448,0.967834965055918,2.8366777904628084,0.06050035293924516,-0.017855785456922568,0.12720721663874923,0.06050035293924516,0.021252073839430827,0.017276292063177774
2/4/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.4021,6.1411,1.2785412456365979,1.4526731581848247,0.9290032135072174,2.7228637920435586,-0.04012228628923031,-0.07099678649278263,0.04863489164531698,0.06050035293924516,0.022594084509238502,0.017650900114812573
2/5/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.3373,6.1411,1.2799985215575393,1.447653896619911,0.9241492445636298,2.7086370422411523,-0.005224921585860409,-0.06849635697836831,0.03888678371437004,0.06050035293924516,0.02257419576810506,0.01766276146199076
2/8/2010,14795.0,29.3446,67939.643,8.0127,25.3326,11.9889,6.1411,1.2487760958865568,1.4949449477613341,0.8980516707990321,2.632146307192412,-0.028239566193575705,-0.09866704758181533,0.0033895751732448964,0.06050035293924516,0.02314822940355074,0.018021297910105604
2/9/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.2806,6.1411,1.3034907058315985,1.502541593982706,0.9199020217379905,2.6961886361640466,0.02433083935974123,-0.07953949242231184,0.0469662480711357,0.06050035293924516,0.02395541890003114,0.01811498669410359
2/10/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.0052,6.1411,1.3540531001215732,1.524000941213381,0.8992726537277433,2.63572494950382,-0.022425614383661974,-0.06733271700370569,0.0006751631644315026,0.06050035293924516,0.02326558285656001,0.018128902523127353
2/11/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.3292,6.1411,1.275137938033991,1.3618313004004357,0.9235424984456813,2.7068586985158514,0.02698830506780392,-0.03670599265567631,0.008614272040837978,0.06050035293924516,0.024156770472209165,0.018291502217564346
2/12/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.5398,6.1411,1.3346365802800118,1.3874180816204946,0.9393178975123408,2.7530956353736715,0.01708140025305771,-0.02210819367869421,0.03544857768052512,0.06050035293924516,0.024488607255458487,0.018370177344422377
2/15/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.5398,6.1411,1.4360005439322414,1.4438681352837186,0.9393178975123408,2.7530956353736715,0.0,-0.0032193190941391947,0.04595083785835241,0.06050035293924516,0.024132156938584084,0.01831880345173449
2/16/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.8395,6.1411,1.569904525529913,1.5180240587658371,0.9617675038764335,2.8188943532098003,0.02389990270977216,0.020603642202491113,0.07676889660435582,0.06050035293924516,0.024683393864411235,0.018527547392256934
2/17/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.8152,6.1411,1.6761892828801739,1.6711147308190286,0.9599472655225882,2.8135593220338984,-0.0018925970637484468,0.0018997881306241915,0.11960301235344506,0.06050035293924516,0.024432723299965695,0.017759264877779627
2/18/2010,14795.0,29.3446,67939.643,8.0127,25.3326,12.8719,6.1411,1.6483211258332648,1.5783268866759936,0.9641944883482273,2.8260077281110036,0.0044244334852361344,0.027147154815388097,0.1198019974249227,0.06050035293924516,0.02397984607639079,0.017759651312765443
